Date,KINDEX 레버리지
2016-10-14,4135.0
2016-10-17,4145.0
2016-10-18,4200.0
2016-10-19,4210.0
2016-10-20,4215.0
2016-10-21,4195.0
2016-10-24,4245.0
2016-10-25,4230.0
2016-10-26,4135.0
2016-10-27,4175.0
2016-10-28,4170.0
2016-10-31,4160.0
2016-11-01,4155.0
2016-11-02,4040.0
2016-11-03,4065.0
2016-11-04,4040.0
2016-11-07,4110.0
2016-11-08,4115.0
2016-11-09,3965.0
2016-11-10,4085.0
2016-11-11,4025.0
2016-11-14,3970.0
2016-11-15,3940.0
2016-11-16,3960.0
2016-11-17,3965.0
2016-11-18,3960.0
2016-11-21,3945.0
2016-11-22,4015.0
2016-11-23,4045.0
2016-11-24,4020.0
2016-11-25,4020.0
2016-11-28,4025.0
2016-11-29,4025.0
2016-11-30,4060.0
2016-12-01,4070.0
2016-12-02,4025.0
2016-12-05,4010.0
2016-12-06,4095.0
2016-12-07,4115.0
2016-12-08,4245.0
2016-12-09,4265.0
2016-12-12,4265.0
2016-12-13,4280.0
2016-12-14,4290.0
2016-12-15,4300.0
2016-12-16,4310.0
2016-12-19,4310.0
2016-12-20,4325.0
2016-12-21,4320.0
2016-12-22,4320.0
2016-12-23,4300.0
2016-12-26,4300.0
2016-12-27,4310.0
2016-12-28,4350.0
2016-12-29,4355.0
2017-01-02,4385.0
2017-01-03,4450.0
2017-01-04,4460.0
2017-01-05,4435.0
2017-01-06,4465.0
2017-01-09,4485.0
2017-01-10,4475.0
2017-01-11,4640.0
2017-01-12,4660.0
2017-01-13,4635.0
2017-01-16,4605.0
2017-01-17,4620.0
2017-01-18,4620.0
2017-01-19,4620.0
2017-01-20,4595.0
2017-01-23,4605.0
2017-01-24,4600.0
2017-01-25,4635.0
2017-01-26,4710.0
2017-01-31,4675.0
2017-02-01,4705.0
2017-02-02,4660.0
2017-02-03,4660.0
2017-02-06,4700.0
2017-02-07,4670.0
2017-02-08,4635.0
2017-02-09,4635.0
2017-02-10,4660.0
2017-02-13,4655.0
2017-02-14,4635.0
2017-02-15,4665.0
2017-02-16,4665.0
2017-02-17,4660.0
2017-02-20,4690.0
2017-02-21,4765.0
2017-02-22,4785.0
2017-02-23,4790.0
2017-02-24,4735.0
2017-02-27,4685.0
2017-02-28,4700.0
2017-03-02,4780.0
2017-03-03,4700.0
2017-03-06,4705.0
2017-03-07,4755.0
2017-03-08,4770.0
2017-03-09,4755.0
2017-03-10,4760.0
2017-03-13,4850.0
2017-03-14,4945.0
2017-03-15,4950.0
2017-03-16,5040.0
2017-03-17,5090.0
2017-03-20,5060.0
2017-03-21,5165.0
2017-03-22,5135.0
2017-03-23,5145.0
2017-03-24,5130.0
2017-03-27,5075.0
2017-03-28,5095.0
2017-03-29,5115.0
2017-03-30,5115.0
2017-03-31,5095.0
2017-04-03,5115.0
2017-04-04,5095.0
2017-04-05,5075.0
2017-04-06,5035.0
2017-04-07,5015.0
2017-04-10,4965.0
2017-04-11,4915.0
2017-04-12,4910.0
2017-04-13,4995.0
2017-04-14,4975.0
2017-04-17,4995.0
2017-04-18,4990.0
2017-04-19,4945.0
2017-04-20,4975.0
2017-04-21,5045.0
2017-04-24,5100.0
2017-04-25,5210.0
2017-04-26,5295.0
2017-04-27,5310.0
2017-04-28,5330.0
2017-05-02,5410.0
2017-05-04,5500.0
2017-05-08,5790.0
2017-05-10,5680.0
2017-05-11,5780.0
2017-05-12,5755.0
2017-05-15,5760.0
2017-05-16,5785.0
2017-05-17,5770.0
2017-05-18,5740.0
2017-05-19,5755.0
2017-05-22,5825.0
2017-05-23,5860.0
2017-05-24,5885.0
2017-05-25,6005.0
2017-05-26,6095.0
2017-05-29,6070.0
2017-05-30,6005.0
2017-05-31,6005.0
2017-06-01,5980.0
2017-06-02,6115.0
2017-06-05,6105.0
2017-06-07,6025.0
2017-06-08,6065.0
2017-06-09,6160.0
2017-06-12,6045.0
2017-06-13,6120.0
2017-06-14,6120.0
2017-06-15,6065.0
2017-06-16,6065.0
2017-06-19,6105.0
2017-06-20,6155.0
2017-06-21,6085.0
2017-06-22,6145.0
2017-06-23,6190.0
2017-06-26,6250.0
2017-06-27,6250.0
2017-06-28,6215.0
2017-06-29,6285.0
2017-06-30,6260.0
2017-07-03,6290.0
2017-07-04,6210.0
2017-07-05,6260.0
2017-07-06,6260.0
2017-07-07,6215.0
2017-07-10,6265.0
2017-07-11,6325.0
2017-07-12,6330.0
2017-07-13,6475.0
2017-07-14,6490.0
2017-07-17,6535.0
2017-07-18,6540.0
2017-07-19,6545.0
2017-07-20,6625.0
2017-07-21,6675.0
2017-07-24,6675.0
2017-07-25,6605.0
2017-07-26,6580.0
2017-07-27,6610.0
2017-07-28,6360.0
2017-07-31,6375.0
2017-08-01,6475.0
2017-08-02,6500.0
2017-08-03,6285.0
2017-08-04,6340.0
2017-08-07,6350.0
2017-08-08,6325.0
2017-08-09,6175.0
2017-08-10,6110.0
2017-08-11,5900.0
2017-08-14,5990.0
2017-08-16,6065.0
2017-08-17,6125.0
2017-08-18,6115.0
2017-08-21,6105.0
2017-08-22,6130.0
2017-08-23,6155.0
2017-08-24,6190.0
2017-08-25,6225.0
2017-08-28,6155.0
2017-08-29,6105.0
2017-08-30,6145.0
2017-08-31,6095.0
2017-09-01,6080.0
2017-09-04,5940.0
2017-09-05,5945.0
2017-09-06,5890.0
2017-09-07,6050.0
2017-09-08,6050.0
2017-09-11,6165.0
2017-09-12,6185.0
2017-09-13,6165.0
2017-09-14,6220.0
2017-09-15,6270.0
2017-09-18,6485.0
2017-09-19,6470.0
2017-09-20,6470.0
2017-09-21,6470.0
2017-09-22,6395.0
2017-09-25,6395.0
2017-09-26,6330.0
2017-09-27,6310.0
2017-09-28,6320.0
2017-09-29,6395.0
2017-10-10,6630.0
2017-10-11,6795.0
2017-10-12,6890.0
2017-10-13,6845.0
2017-10-16,6870.0
2017-10-17,6890.0
2017-10-18,6885.0
2017-10-19,6840.0
2017-10-20,6885.0
2017-10-23,6925.0
2017-10-24,6940.0
2017-10-25,6935.0
2017-10-26,6845.0
2017-10-27,6910.0
2017-10-30,6960.0
2017-10-31,7105.0
2017-11-01,7320.0
2017-11-02,7295.0
2017-11-03,7320.0
2017-11-06,7265.0
2017-11-07,7250.0
2017-11-08,7275.0
2017-11-09,7240.0
2017-11-10,7215.0
2017-11-13,7145.0
2017-11-14,7125.0
2017-11-15,7060.0
2017-11-16,7130.0
2017-11-17,7130.0
