Date,TIGER 은행
2017-02-28,7750.0
2017-03-02,7930.0
2017-03-03,7865.0
2017-03-06,7850.0
2017-03-07,7910.0
2017-03-08,8005.0
2017-03-09,8000.0
2017-03-10,8075.0
2017-03-13,8295.0
2017-03-14,8415.0
2017-03-15,8370.0
2017-03-16,8375.0
2017-03-17,8440.0
2017-03-20,8315.0
2017-03-21,8260.0
2017-03-22,8080.0
2017-03-23,8215.0
2017-03-24,8250.0
2017-03-27,8055.0
2017-03-28,8060.0
2017-03-29,8040.0
2017-03-30,8040.0
2017-03-31,7960.0
2017-04-03,7985.0
2017-04-04,7910.0
2017-04-05,8055.0
2017-04-06,8025.0
2017-04-07,8045.0
2017-04-10,7850.0
2017-04-11,7830.0
2017-04-12,7790.0
2017-04-13,7920.0
2017-04-14,7965.0
2017-04-17,8090.0
2017-04-18,8085.0
2017-04-19,8085.0
2017-04-20,8090.0
2017-04-21,8170.0
2017-04-24,8430.0
2017-04-25,8455.0
2017-04-26,8470.0
2017-04-27,8230.0
2017-04-28,8125.0
2017-05-02,8275.0
2017-05-04,8340.0
2017-05-08,8570.0
2017-05-10,8510.0
2017-05-11,8755.0
2017-05-12,8620.0
2017-05-15,8695.0
2017-05-16,8650.0
2017-05-17,8535.0
2017-05-18,8525.0
2017-05-19,8460.0
2017-05-22,8530.0
2017-05-23,8620.0
2017-05-24,8515.0
2017-05-25,8510.0
2017-05-26,8540.0
2017-05-29,8580.0
2017-05-30,8515.0
2017-05-31,8530.0
2017-06-01,8430.0
2017-06-02,8675.0
2017-06-05,8720.0
2017-06-07,8730.0
2017-06-08,8775.0
2017-06-09,8875.0
2017-06-12,9025.0
2017-06-13,8950.0
2017-06-14,8980.0
2017-06-15,8875.0
2017-06-16,8925.0
2017-06-19,8905.0
2017-06-20,8895.0
2017-06-21,8700.0
2017-06-22,8815.0
2017-06-23,8905.0
2017-06-26,8835.0
2017-06-27,8825.0
2017-06-28,9100.0
2017-06-29,9350.0
2017-06-30,9335.0
2017-07-03,9330.0
2017-07-04,9365.0
2017-07-05,9295.0
2017-07-06,9345.0
2017-07-07,9285.0
2017-07-10,9430.0
2017-07-11,9455.0
2017-07-12,9360.0
2017-07-13,9325.0
2017-07-14,9420.0
2017-07-17,9425.0
2017-07-18,9480.0
2017-07-19,9425.0
2017-07-20,9535.0
2017-07-21,9780.0
2017-07-24,9840.0
2017-07-25,9860.0
2017-07-26,9970.0
2017-07-27,9955.0
2017-07-28,9805.0
2017-07-31,9870.0
2017-08-01,10015.0
2017-08-02,9860.0
2017-08-03,9795.0
2017-08-04,9800.0
2017-08-07,9900.0
2017-08-08,9895.0
2017-08-09,9730.0
2017-08-10,9660.0
2017-08-11,9505.0
2017-08-14,9580.0
2017-08-16,9630.0
2017-08-17,9630.0
2017-08-18,9535.0
2017-08-21,9510.0
2017-08-22,9475.0
2017-08-23,9440.0
2017-08-24,9415.0
2017-08-25,9680.0
2017-08-28,9625.0
2017-08-29,9540.0
2017-08-30,9535.0
2017-08-31,9410.0
2017-09-01,9375.0
2017-09-04,9190.0
2017-09-05,8710.0
2017-09-06,8660.0
2017-09-07,8865.0
2017-09-08,8760.0
2017-09-11,8865.0
2017-09-12,8880.0
2017-09-13,8885.0
2017-09-14,8975.0
2017-09-15,9050.0
2017-09-18,9205.0
2017-09-19,9230.0
2017-09-20,9265.0
2017-09-21,9340.0
2017-09-22,9460.0
2017-09-25,9160.0
2017-09-26,9080.0
2017-09-27,8985.0
2017-09-28,9170.0
2017-09-29,9145.0
2017-10-10,9325.0
2017-10-11,9285.0
2017-10-12,9360.0
2017-10-13,9265.0
2017-10-16,9180.0
2017-10-17,9115.0
2017-10-18,9070.0
2017-10-19,9210.0
2017-10-20,9160.0
2017-10-23,9100.0
2017-10-24,9220.0
2017-10-25,9415.0
2017-10-26,9360.0
2017-10-27,9305.0
2017-10-30,9320.0
2017-10-31,9185.0
2017-11-01,9165.0
2017-11-02,9170.0
2017-11-03,9235.0
2017-11-06,9020.0
2017-11-07,8930.0
2017-11-08,8845.0
2017-11-09,9015.0
2017-11-10,8815.0
2017-11-13,8740.0
2017-11-14,8800.0
2017-11-15,8895.0
2017-11-16,9035.0
2017-11-17,8875.0
2017-11-20,8890.0
2017-11-21,8795.0
2017-11-22,8905.0
2017-11-23,8910.0
2017-11-24,8875.0
2017-11-27,8945.0
2017-11-28,9035.0
2017-11-29,9065.0
2017-11-30,9095.0
2017-12-01,8850.0
2017-12-04,8950.0
2017-12-05,9035.0
2017-12-06,9050.0
2017-12-07,8970.0
2017-12-08,8970.0
2017-12-11,8950.0
2017-12-12,8895.0
2017-12-13,9090.0
2017-12-14,9245.0
2017-12-15,9340.0
2017-12-18,9320.0
