Date,KBSTAR 200
2016-12-09,26175.0
2016-12-12,26140.0
2016-12-13,26195.0
2016-12-14,26225.0
2016-12-15,26225.0
2016-12-16,26270.0
2016-12-19,26290.0
2016-12-20,26380.0
2016-12-21,26315.0
2016-12-22,26290.0
2016-12-23,26260.0
2016-12-26,26290.0
2016-12-27,26345.0
2016-12-28,26455.0
2016-12-29,26480.0
2017-01-02,26560.0
2017-01-03,26760.0
2017-01-04,26800.0
2017-01-05,26670.0
2017-01-06,26795.0
2017-01-09,26865.0
2017-01-10,26835.0
2017-01-11,27305.0
2017-01-12,27380.0
2017-01-13,27300.0
2017-01-16,27150.0
2017-01-17,27235.0
2017-01-18,27220.0
2017-01-19,27270.0
2017-01-20,27230.0
2017-01-23,27195.0
2017-01-24,27200.0
2017-01-25,27330.0
2017-01-26,27510.0
2017-01-31,27415.0
2017-02-01,27470.0
2017-02-02,27310.0
2017-02-03,27375.0
2017-02-06,27445.0
2017-02-07,27370.0
2017-02-08,27275.0
2017-02-09,27325.0
2017-02-10,27365.0
2017-02-13,27375.0
2017-02-14,27325.0
2017-02-15,27410.0
2017-02-16,27385.0
2017-02-17,27385.0
2017-02-20,27470.0
2017-02-21,27735.0
2017-02-22,27780.0
2017-02-23,27775.0
2017-02-24,27585.0
2017-02-27,27475.0
2017-02-28,27580.0
2017-03-02,27765.0
2017-03-03,27505.0
2017-03-06,27550.0
2017-03-07,27685.0
2017-03-08,27720.0
2017-03-09,27695.0
2017-03-10,27720.0
2017-03-13,28010.0
2017-03-14,28275.0
2017-03-15,28300.0
2017-03-16,28515.0
2017-03-17,28620.0
2017-03-20,28580.0
2017-03-21,28890.0
2017-03-22,28750.0
2017-03-23,28840.0
2017-03-24,28790.0
2017-03-27,28615.0
2017-03-28,28690.0
2017-03-29,28750.0
2017-03-30,28725.0
2017-03-31,28710.0
2017-04-03,28745.0
2017-04-04,28665.0
2017-04-05,28605.0
2017-04-06,28495.0
2017-04-07,28465.0
2017-04-10,28305.0
2017-04-11,28180.0
2017-04-12,28190.0
2017-04-13,28455.0
2017-04-14,28350.0
2017-04-17,28395.0
2017-04-18,28395.0
2017-04-19,28255.0
2017-04-20,28360.0
2017-04-21,28610.0
2017-04-24,28750.0
2017-04-25,29050.0
2017-04-26,29250.0
2017-04-27,28825.0
2017-04-28,28870.0
2017-05-02,29090.0
2017-05-04,29395.0
