Date,KODEX 중국본토 A50
2017-02-20,13390.0
2017-02-21,13355.0
2017-02-22,13305.0
2017-02-23,13185.0
2017-02-24,13105.0
2017-02-27,13070.0
2017-02-28,13135.0
2017-03-02,13075.0
2017-03-03,13035.0
2017-03-06,13160.0
2017-03-07,13060.0
2017-03-08,12990.0
2017-03-09,13050.0
2017-03-10,13050.0
2017-03-13,13000.0
2017-03-14,13010.0
2017-03-15,13040.0
2017-03-16,13030.0
2017-03-17,12920.0
2017-03-20,12745.0
2017-03-21,12745.0
2017-03-22,12650.0
2017-03-23,12690.0
2017-03-24,12790.0
2017-03-27,12840.0
2017-03-28,12765.0
2017-03-29,12760.0
2017-03-30,12705.0
2017-03-31,12770.0
2017-04-03,12700.0
2017-04-04,12835.0
2017-04-05,12905.0
2017-04-06,13000.0
2017-04-07,13025.0
2017-04-10,13025.0
2017-04-11,12970.0
2017-04-12,13090.0
2017-04-13,12995.0
2017-04-14,12945.0
2017-04-17,12850.0
2017-04-18,12945.0
2017-04-19,12805.0
2017-04-20,12910.0
2017-04-21,12915.0
2017-04-24,12925.0
2017-04-25,12860.0
2017-04-26,12790.0
2017-04-27,12820.0
2017-04-28,12815.0
2017-05-02,12775.0
2017-05-04,12775.0
2017-05-08,12625.0
2017-05-10,12705.0
2017-05-11,12705.0
2017-05-12,12950.0
2017-05-15,13015.0
2017-05-16,12910.0
2017-05-17,12935.0
2017-05-18,12890.0
2017-05-19,12930.0
2017-05-22,12950.0
2017-05-23,13175.0
2017-05-24,13200.0
2017-05-25,13450.0
2017-05-26,13515.0
2017-05-29,13535.0
2017-05-30,13650.0
2017-05-31,13655.0
2017-06-01,13780.0
2017-06-02,13740.0
2017-06-05,13605.0
2017-06-07,13900.0
2017-06-08,13950.0
2017-06-09,14100.0
2017-06-12,14180.0
2017-06-13,14115.0
2017-06-14,13860.0
2017-06-15,13770.0
2017-06-16,13920.0
2017-06-19,13990.0
2017-06-20,13990.0
2017-06-21,14190.0
2017-06-22,14410.0
2017-06-23,14265.0
2017-06-26,14470.0
2017-06-27,14550.0
2017-06-28,14605.0
2017-06-29,14650.0
2017-06-30,14655.0
2017-07-03,14615.0
2017-07-04,14455.0
2017-07-05,14595.0
2017-07-06,14740.0
2017-07-07,14665.0
2017-07-10,14670.0
2017-07-11,14940.0
2017-07-12,14855.0
2017-07-13,14930.0
2017-07-14,14955.0
2017-07-17,15020.0
2017-07-18,14915.0
2017-07-19,15065.0
2017-07-20,15180.0
2017-07-21,15075.0
2017-07-24,15030.0
2017-07-25,15085.0
2017-07-26,15095.0
2017-07-27,15015.0
2017-07-28,15020.0
2017-07-31,15115.0
2017-08-01,15285.0
2017-08-02,15390.0
2017-08-03,15290.0
2017-08-04,15030.0
2017-08-07,15105.0
2017-08-08,15065.0
2017-08-09,15180.0
2017-08-10,15170.0
2017-08-11,14875.0
2017-08-14,15005.0
2017-08-16,15015.0
2017-08-17,15010.0
2017-08-18,15150.0
2017-08-21,15120.0
2017-08-22,15245.0
2017-08-23,15360.0
2017-08-24,15240.0
2017-08-25,15530.0
2017-08-28,15635.0
2017-08-29,15815.0
2017-08-30,15830.0
2017-08-31,15665.0
2017-09-01,15600.0
2017-09-04,15855.0
2017-09-05,16040.0
2017-09-06,16020.0
2017-09-07,15895.0
2017-09-08,15920.0
2017-09-11,15805.0
2017-09-12,15715.0
2017-09-13,15760.0
2017-09-14,15700.0
2017-09-15,15635.0
2017-09-18,15610.0
2017-09-19,15595.0
2017-09-20,15625.0
2017-09-21,15705.0
2017-09-22,15675.0
2017-09-25,15550.0
2017-09-26,15580.0
2017-09-27,15595.0
2017-09-28,15600.0
2017-09-29,15600.0
2017-10-10,15875.0
2017-10-11,16030.0
2017-10-12,16000.0
2017-10-13,16015.0
2017-10-16,16030.0
2017-10-17,16100.0
2017-10-18,16110.0
2017-10-19,16150.0
2017-10-20,16135.0
2017-10-23,16065.0
2017-10-24,16065.0
2017-10-25,16145.0
2017-10-26,16250.0
2017-10-27,16495.0
2017-10-30,16430.0
2017-10-31,16440.0
2017-11-01,16420.0
2017-11-02,16355.0
2017-11-03,16295.0
2017-11-06,16330.0
2017-11-07,16475.0
2017-11-08,16495.0
2017-11-09,16545.0
2017-11-10,16750.0
2017-11-13,16880.0
2017-11-14,16750.0
2017-11-15,16600.0
2017-11-16,16680.0
2017-11-17,16750.0
2017-11-20,16935.0
2017-11-21,17250.0
2017-11-22,17315.0
2017-11-23,16870.0
2017-11-24,16865.0
2017-11-27,16580.0
2017-11-28,16490.0
2017-11-29,16480.0
2017-11-30,16390.0
2017-12-01,16195.0
2017-12-04,16415.0
2017-12-05,16525.0
2017-12-06,16360.0
2017-12-07,16250.0
2017-12-08,16395.0
2017-12-11,16545.0
2017-12-12,16450.0
2017-12-13,16420.0
2017-12-14,16345.0
2017-12-15,16220.0
2017-12-18,16190.0
2017-12-19,16385.0
2017-12-20,16445.0
2017-12-21,16685.0
2017-12-22,16500.0
2017-12-26,16570.0
2017-12-27,16350.0
2017-12-28,16395.0
2018-01-02,16635.0
2018-01-03,16775.0
2018-01-04,16730.0
2018-01-05,16850.0
2018-01-08,16980.0
2018-01-09,17020.0
2018-01-10,17260.0
2018-01-11,17315.0
2018-01-12,17385.0
2018-01-15,17850.0
2018-01-16,17800.0
2018-01-17,18010.0
2018-01-18,18100.0
2018-01-19,18255.0
2018-01-22,18390.0
2018-01-23,18700.0
2018-01-24,18770.0
2018-01-25,18705.0
2018-01-26,18835.0
2018-01-29,18440.0
2018-01-30,18165.0
2018-01-31,18340.0
2018-02-01,18560.0
2018-02-02,18755.0
2018-02-05,18910.0
2018-02-06,18520.0
2018-02-07,18065.0
2018-02-08,17465.0
2018-02-09,16510.0
2018-02-12,16895.0
2018-02-13,17040.0
2018-02-14,17045.0
2018-02-19,17280.0
2018-02-20,17420.0
2018-02-21,17440.0
2018-02-22,17520.0
2018-02-23,17585.0
2018-02-26,17690.0
2018-02-27,17360.0
2018-02-28,17225.0
2018-03-02,17070.0
2018-03-05,17045.0
2018-03-06,17080.0
2018-03-07,17060.0
2018-03-08,17095.0
2018-03-09,17185.0
2018-03-12,17200.0
2018-03-13,17155.0
2018-03-14,16960.0
2018-03-15,17105.0
2018-03-16,17085.0
2018-03-19,17030.0
2018-03-20,17035.0
2018-03-21,17150.0
2018-03-22,16965.0
2018-03-23,16365.0
2018-03-26,16260.0
2018-03-27,16280.0
2018-03-28,15940.0
2018-03-29,16155.0
2018-03-30,16235.0
2018-04-02,15995.0
2018-04-03,15740.0
2018-04-04,15825.0
2018-04-05,16190.0
2018-04-06,16200.0
2018-04-09,15950.0
2018-04-10,16225.0
2018-04-11,16465.0
2018-04-12,16300.0
2018-04-13,16150.0
2018-04-16,15805.0
2018-04-17,15665.0
2018-04-18,15535.0
2018-04-19,15695.0
2018-04-20,15585.0
2018-04-23,15655.0
2018-04-24,16160.0
2018-04-25,16110.0
2018-04-26,15720.0
2018-04-27,15485.0
2018-04-30,15510.0
2018-05-02,15450.0
2018-05-03,15550.0
2018-05-04,15550.0
2018-05-08,15995.0
2018-05-09,15940.0
