Date,KOSEF 국고채10년레버리지
2016-12-29,124770.0
2017-01-02,124840.0
2017-01-03,124725.0
2017-01-04,124085.0
2017-01-05,124715.0
2017-01-06,124565.0
2017-01-09,123260.0
2017-01-10,124050.0
2017-01-11,123670.0
2017-01-12,124815.0
2017-01-13,124120.0
2017-01-16,123940.0
2017-01-17,124150.0
2017-01-18,123615.0
2017-01-19,122700.0
2017-01-20,123415.0
2017-01-23,123675.0
2017-01-24,124130.0
2017-01-25,123650.0
2017-01-26,122350.0
2017-01-31,122900.0
2017-02-01,122535.0
2017-02-02,123055.0
2017-02-03,122605.0
2017-02-06,123065.0
2017-02-07,123650.0
2017-02-08,123445.0
2017-02-09,123875.0
2017-02-10,123295.0
2017-02-13,123115.0
2017-02-14,123550.0
2017-02-15,123225.0
2017-02-16,123555.0
2017-02-17,123680.0
2017-02-20,122855.0
2017-02-21,122555.0
2017-02-22,121360.0
2017-02-23,122280.0
2017-02-24,123190.0
2017-02-27,123000.0
2017-02-28,123225.0
2017-03-02,121985.0
2017-03-03,121725.0
2017-03-06,121170.0
2017-03-07,120200.0
2017-03-08,120590.0
2017-03-09,120200.0
2017-03-10,119930.0
2017-03-13,120350.0
2017-03-14,120720.0
2017-03-15,120815.0
2017-03-16,123010.0
2017-03-17,122990.0
2017-03-20,122900.0
2017-03-21,123140.0
2017-03-22,123645.0
2017-03-23,123750.0
2017-03-24,123170.0
2017-03-27,123685.0
2017-03-28,123770.0
2017-03-29,123400.0
2017-03-30,123040.0
2017-03-31,123420.0
2017-04-03,123310.0
2017-04-04,124170.0
2017-04-05,124140.0
2017-04-06,123475.0
2017-04-07,123120.0
2017-04-10,122075.0
2017-04-11,122360.0
2017-04-12,122680.0
2017-04-13,123700.0
2017-04-14,123525.0
2017-04-17,123560.0
2017-04-18,123505.0
2017-04-19,124250.0
2017-04-20,124110.0
2017-04-21,123930.0
2017-04-24,122720.0
2017-04-25,123270.0
2017-04-26,122910.0
2017-04-27,123225.0
2017-04-28,123320.0
2017-05-02,122460.0
2017-05-04,122940.0
2017-05-08,122315.0
2017-05-10,121550.0
2017-05-11,121170.0
2017-05-12,121485.0
2017-05-15,121500.0
2017-05-16,121485.0
2017-05-17,121970.0
2017-05-18,122610.0
2017-05-19,122695.0
2017-05-22,121890.0
2017-05-23,122150.0
2017-05-24,121890.0
2017-05-25,122505.0
2017-05-26,122895.0
2017-05-29,122450.0
2017-05-30,123210.0
2017-05-31,123425.0
2017-06-01,123780.0
2017-06-02,123500.0
2017-06-05,124200.0
2017-06-07,124535.0
2017-06-08,124200.0
2017-06-09,124380.0
2017-06-12,123000.0
2017-06-13,123015.0
2017-06-14,124255.0
2017-06-15,125125.0
2017-06-16,124485.0
2017-06-19,124495.0
2017-06-20,124700.0
2017-06-21,124905.0
2017-06-22,125060.0
2017-06-23,125050.0
2017-06-26,124930.0
2017-06-27,125085.0
2017-06-28,124110.0
2017-06-29,123945.0
2017-06-30,123450.0
2017-07-03,122845.0
2017-07-04,122145.0
2017-07-05,122150.0
2017-07-06,122040.0
2017-07-07,121115.0
2017-07-10,121500.0
2017-07-11,122000.0
2017-07-12,122260.0
2017-07-13,122990.0
2017-07-14,122760.0
2017-07-17,122380.0
2017-07-18,122760.0
2017-07-19,122545.0
2017-07-20,122960.0
2017-07-21,122760.0
2017-07-24,123485.0
2017-07-25,123620.0
2017-07-26,122795.0
2017-07-27,123510.0
2017-07-28,123200.0
2017-07-31,123325.0
2017-08-01,122700.0
2017-08-02,122950.0
2017-08-03,122995.0
2017-08-04,123065.0
2017-08-07,122375.0
2017-08-08,121865.0
2017-08-09,121255.0
2017-08-10,121195.0
2017-08-11,122030.0
2017-08-14,122210.0
2017-08-16,121400.0
2017-08-17,121790.0
2017-08-18,121600.0
2017-08-21,122000.0
2017-08-22,122065.0
2017-08-23,121895.0
2017-08-24,122410.0
2017-08-25,122925.0
2017-08-28,123010.0
2017-08-29,122845.0
2017-08-30,123260.0
2017-08-31,123050.0
2017-09-01,122810.0
2017-09-04,122290.0
2017-09-05,121925.0
2017-09-06,122625.0
2017-09-07,122680.0
2017-09-08,123490.0
2017-09-11,123360.0
2017-09-12,123190.0
2017-09-13,123550.0
2017-09-14,123520.0
2017-09-15,123500.0
2017-09-18,123135.0
2017-09-19,122650.0
2017-09-20,122450.0
2017-09-21,122480.0
2017-09-22,122845.0
2017-09-25,123085.0
2017-09-26,122315.0
2017-09-27,121515.0
2017-09-28,120565.0
2017-09-29,120700.0
2017-10-10,120170.0
2017-10-11,120165.0
2017-10-12,120625.0
2017-10-13,120860.0
2017-10-16,120800.0
2017-10-17,120440.0
2017-10-18,120620.0
2017-10-19,120000.0
2017-10-20,119350.0
2017-10-23,119505.0
2017-10-24,119135.0
2017-10-25,118620.0
2017-10-26,117735.0
2017-10-27,117595.0
2017-10-30,118300.0
2017-10-31,117335.0
2017-11-01,117635.0
2017-11-02,117905.0
2017-11-03,118255.0
2017-11-06,118000.0
2017-11-07,118085.0
2017-11-08,118090.0
2017-11-09,118085.0
2017-11-10,117845.0
2017-11-13,116890.0
2017-11-14,116885.0
2017-11-15,117340.0
2017-11-16,117840.0
2017-11-17,117745.0
2017-11-20,117930.0
2017-11-21,118105.0
2017-11-22,118190.0
2017-11-23,118705.0
2017-11-24,118320.0
2017-11-27,118330.0
2017-11-28,119480.0
2017-11-29,119450.0
2017-11-30,119690.0
2017-12-01,119350.0
2017-12-04,119500.0
2017-12-05,119280.0
2017-12-06,119735.0
2017-12-07,119775.0
2017-12-08,119380.0
2017-12-11,119450.0
2017-12-12,120000.0
2017-12-13,120250.0
2017-12-14,120010.0
2017-12-15,120400.0
2017-12-18,120595.0
2017-12-19,120000.0
2017-12-20,120055.0
2017-12-21,119410.0
2017-12-22,119335.0
2017-12-26,119440.0
2017-12-27,119060.0
2017-12-28,119810.0
2018-01-02,119455.0
2018-01-03,119075.0
2018-01-04,118795.0
2018-01-05,118830.0
2018-01-08,118475.0
2018-01-09,117990.0
2018-01-10,116500.0
2018-01-11,117225.0
2018-01-12,116955.0
2018-01-15,115995.0
2018-01-16,116580.0
2018-01-17,116645.0
2018-01-18,116830.0
2018-01-19,116715.0
2018-01-22,116585.0
2018-01-23,116355.0
2018-01-24,116740.0
2018-01-25,116540.0
2018-01-26,116230.0
2018-01-29,114950.0
2018-01-30,114285.0
2018-01-31,114485.0
2018-02-01,114785.0
