Date,KOSEF 미국달러선물인버스
2016-11-03,11025.0
2016-11-04,10985.0
2016-11-07,10990.0
2016-11-08,11065.0
2016-11-09,10930.0
2016-11-10,10925.0
2016-11-11,10780.0
2016-11-14,10715.0
2016-11-15,10715.0
2016-11-16,10725.0
2016-11-17,10660.0
2016-11-18,10600.0
2016-11-21,10570.0
2016-11-22,10660.0
2016-11-23,10640.0
2016-11-24,10620.0
2016-11-25,10645.0
2016-11-28,10700.0
2016-11-29,10710.0
2016-11-30,10715.0
2016-12-01,10730.0
2016-12-02,10675.0
2016-12-05,10660.0
2016-12-06,10715.0
2016-12-07,10740.0
2016-12-08,10825.0
2016-12-09,10740.0
2016-12-12,10735.0
2016-12-13,10750.0
2016-12-14,10725.0
2016-12-15,10635.0
2016-12-16,10585.0
2016-12-19,10570.0
2016-12-20,10510.0
2016-12-21,10510.0
2016-12-22,10445.0
2016-12-23,10430.0
2016-12-26,10440.0
2016-12-27,10390.0
2016-12-28,10370.0
2016-12-29,10375.0
2017-01-02,10375.0
2017-01-03,10420.0
2017-01-04,10390.0
2017-01-05,10555.0
2017-01-06,10495.0
2017-01-09,10370.0
2017-01-10,10470.0
2017-01-11,10475.0
2017-01-12,10585.0
2017-01-13,10660.0
2017-01-16,10600.0
2017-01-17,10665.0
2017-01-18,10740.0
2017-01-19,10640.0
2017-01-20,10705.0
2017-01-23,10745.0
2017-01-24,10745.0
2017-01-25,10745.0
2017-01-26,10815.0
2017-01-31,10780.0
2017-02-01,10815.0
2017-02-02,10910.0
2017-02-03,10895.0
2017-02-06,10995.0
2017-02-07,10930.0
2017-02-08,10895.0
2017-02-09,10930.0
2017-02-10,10875.0
2017-02-13,10865.0
2017-02-14,10995.0
2017-02-15,10965.0
2017-02-16,10955.0
2017-02-17,10930.0
2017-02-20,10900.0
2017-02-21,10925.0
2017-02-22,10960.0
2017-02-23,11005.0
2017-02-24,11060.0
2017-02-27,11040.0
2017-02-28,11065.0
2017-03-02,10955.0
2017-03-03,10820.0
2017-03-06,10805.0
2017-03-07,10905.0
2017-03-08,10915.0
2017-03-09,10805.0
2017-03-10,10805.0
2017-03-13,10915.0
2017-03-14,10885.0
2017-03-15,10935.0
2017-03-16,11040.0
2017-03-17,11040.0
2017-03-20,11160.0
2017-03-21,11165.0
2017-03-22,11130.0
2017-03-23,11145.0
2017-03-24,11135.0
2017-03-27,11240.0
2017-03-28,11240.0
2017-03-29,11220.0
2017-03-30,11170.0
2017-03-31,11190.0
2017-04-03,11210.0
2017-04-04,11150.0
2017-04-05,11110.0
2017-04-06,11020.0
2017-04-07,11020.0
2017-04-10,10945.0
