Date,TIGER 미국MSCI리츠(합성 H)
2018-04-26,11450.0
2018-04-27,11495.0
2018-04-30,11800.0
2018-05-02,11780.0
2018-05-03,11740.0
2018-05-04,11765.0
2018-05-08,11935.0
2018-05-09,11875.0
2018-05-10,11970.0
2018-05-11,12060.0
2018-05-14,12040.0
2018-05-15,11970.0
2018-05-16,11805.0
2018-05-17,11760.0
2018-05-18,11700.0
2018-05-21,11715.0
2018-05-23,11780.0
2018-05-24,11965.0
2018-05-25,11950.0
2018-05-28,11970.0
2018-05-29,12030.0
2018-05-30,12035.0
2018-05-31,12245.0
2018-06-01,12130.0
2018-06-04,12245.0
2018-06-05,12330.0
2018-06-07,12330.0
2018-06-08,12290.0
2018-06-11,12340.0
2018-06-12,12365.0
2018-06-14,12250.0
2018-06-15,12275.0
2018-06-18,12300.0
2018-06-19,12230.0
2018-06-20,12330.0
2018-06-21,12380.0
2018-06-22,12470.0
2018-06-25,12630.0
2018-06-26,12625.0
2018-06-27,12675.0
2018-06-28,12625.0
2018-06-29,12735.0
2018-07-02,12665.0
2018-07-03,12565.0
2018-07-04,12785.0
2018-07-05,12800.0
2018-07-06,12825.0
2018-07-09,13020.0
2018-07-10,12910.0
2018-07-11,12890.0
2018-07-12,12850.0
2018-07-13,12925.0
2018-07-16,12820.0
2018-07-17,12700.0
2018-07-18,12640.0
2018-07-19,12580.0
2018-07-20,12840.0
2018-07-23,12720.0
2018-07-24,12710.0
2018-07-25,12635.0
2018-07-26,12730.0
2018-07-27,12755.0
2018-07-30,12520.0
2018-07-31,12540.0
2018-08-01,12650.0
2018-08-02,12810.0
2018-08-03,12790.0
2018-08-06,12870.0
2018-08-07,12870.0
2018-08-08,12850.0
2018-08-09,12850.0
2018-08-10,12850.0
2018-08-13,12735.0
2018-08-14,12630.0
2018-08-16,12915.0
2018-08-17,12945.0
2018-08-20,13145.0
2018-08-21,13105.0
2018-08-22,13050.0
2018-08-23,12985.0
2018-08-24,12970.0
2018-08-27,13040.0
2018-08-28,12975.0
2018-08-29,13165.0
2018-08-30,13150.0
2018-08-31,13100.0
2018-09-03,13140.0
2018-09-04,13135.0
2018-09-05,12910.0
2018-09-06,13080.0
2018-09-07,13080.0
2018-09-10,12975.0
2018-09-11,13030.0
2018-09-12,13020.0
2018-09-13,13025.0
2018-09-14,13020.0
2018-09-17,12985.0
2018-09-18,13035.0
2018-09-19,12900.0
2018-09-20,12805.0
2018-09-21,12925.0
2018-09-27,12535.0
