Date,TIGER 단기통안채
2016-10-18,101125.0
2016-10-19,101125.0
2016-10-20,101135.0
2016-10-21,101135.0
2016-10-24,101140.0
2016-10-25,101135.0
2016-10-26,101140.0
2016-10-27,101150.0
2016-10-28,101160.0
2016-10-31,101155.0
2016-11-01,101160.0
2016-11-02,101165.0
2016-11-03,101175.0
2016-11-04,101180.0
2016-11-07,101180.0
2016-11-08,101185.0
2016-11-09,101190.0
2016-11-10,101205.0
2016-11-11,101200.0
2016-11-14,101205.0
2016-11-15,101205.0
2016-11-16,101205.0
2016-11-17,101205.0
2016-11-18,101215.0
2016-11-21,101210.0
2016-11-22,101215.0
2016-11-23,101215.0
2016-11-24,101215.0
2016-11-25,101210.0
2016-11-28,101215.0
2016-11-29,101225.0
2016-11-30,101240.0
2016-12-01,101245.0
2016-12-02,101255.0
2016-12-05,101275.0
2016-12-06,101280.0
2016-12-07,101280.0
2016-12-08,101295.0
2016-12-09,101305.0
2016-12-12,101305.0
2016-12-13,101310.0
2016-12-14,101320.0
2016-12-15,101330.0
2016-12-16,101330.0
2016-12-19,101335.0
2016-12-20,101345.0
2016-12-21,101340.0
2016-12-22,101355.0
2016-12-23,101355.0
2016-12-26,101355.0
2016-12-27,101360.0
2016-12-28,100035.0
2016-12-29,100035.0
2017-01-02,100035.0
2017-01-03,100050.0
2017-01-04,100050.0
2017-01-05,100065.0
2017-01-06,100075.0
2017-01-09,100075.0
2017-01-10,100075.0
2017-01-11,100075.0
2017-01-12,100085.0
2017-01-13,100090.0
2017-01-16,100095.0
2017-01-17,100100.0
2017-01-18,100105.0
2017-01-19,100115.0
2017-01-20,100115.0
2017-01-23,100120.0
2017-01-24,100125.0
2017-01-25,100135.0
2017-01-26,100135.0
2017-01-31,100140.0
2017-02-01,100145.0
2017-02-02,100165.0
2017-02-03,100165.0
2017-02-06,100165.0
2017-02-07,100170.0
2017-02-08,100175.0
2017-02-09,100190.0
2017-02-10,100185.0
2017-02-13,100190.0
2017-02-14,100200.0
2017-02-15,100195.0
2017-02-16,100210.0
2017-02-17,100210.0
2017-02-20,100220.0
2017-02-21,100220.0
2017-02-22,100225.0
2017-02-23,100225.0
2017-02-24,100235.0
2017-02-27,100240.0
2017-02-28,100245.0
2017-03-02,100255.0
2017-03-03,100265.0
2017-03-06,100260.0
2017-03-07,100265.0
2017-03-08,100265.0
2017-03-09,100280.0
2017-03-10,100280.0
2017-03-13,100280.0
2017-03-14,100280.0
2017-03-15,100290.0
2017-03-16,100300.0
2017-03-17,100305.0
2017-03-20,100305.0
2017-03-21,100315.0
2017-03-22,100310.0
2017-03-23,100325.0
2017-03-24,100330.0
2017-03-27,100330.0
2017-03-28,100335.0
2017-03-29,100340.0
2017-03-30,100355.0
2017-03-31,100355.0
2017-04-03,100360.0
2017-04-04,100360.0
2017-04-05,100370.0
2017-04-06,100380.0
2017-04-07,100385.0
2017-04-10,100385.0
2017-04-11,100390.0
2017-04-12,100395.0
2017-04-13,100405.0
2017-04-14,100405.0
2017-04-17,100405.0
2017-04-18,100410.0
2017-04-19,100415.0
2017-04-20,100420.0
2017-04-21,100420.0
2017-04-24,100430.0
2017-04-25,100440.0
2017-04-26,100435.0
2017-04-27,100450.0
2017-04-28,100460.0
2017-05-02,100475.0
2017-05-04,100480.0
2017-05-08,100485.0
2017-05-10,100490.0
2017-05-11,100500.0
2017-05-12,100500.0
2017-05-15,100510.0
2017-05-16,100515.0
2017-05-17,100515.0
2017-05-18,100525.0
2017-05-19,100530.0
2017-05-22,100530.0
2017-05-23,100535.0
2017-05-24,100540.0
2017-05-25,100545.0
2017-05-26,100555.0
2017-05-29,100555.0
2017-05-30,100555.0
2017-05-31,100560.0
2017-06-01,100570.0
2017-06-02,100580.0
2017-06-05,100580.0
2017-06-07,100590.0
2017-06-08,100595.0
2017-06-09,100595.0
2017-06-12,100595.0
2017-06-13,100600.0
2017-06-14,100610.0
2017-06-15,100615.0
2017-06-16,100620.0
2017-06-19,100620.0
2017-06-20,100630.0
2017-06-21,100630.0
2017-06-22,100645.0
2017-06-23,100640.0
2017-06-26,100645.0
2017-06-27,100645.0
2017-06-28,100650.0
2017-06-29,100655.0
2017-06-30,100665.0
2017-07-03,100670.0
2017-07-04,100670.0
2017-07-05,100675.0
2017-07-06,100690.0
2017-07-07,100695.0
2017-07-10,100695.0
