Date,KOSEF 200 선물
2017-01-02,11250.0
2017-01-03,11340.0
2017-01-04,11350.0
2017-01-05,11310.0
2017-01-06,11335.0
2017-01-09,11380.0
2017-01-10,11370.0
2017-01-11,11585.0
2017-01-12,11645.0
2017-01-13,11575.0
2017-01-16,11510.0
2017-01-17,11550.0
2017-01-18,11550.0
2017-01-19,11555.0
2017-01-20,11535.0
2017-01-23,11530.0
2017-01-24,11535.0
2017-01-25,11570.0
2017-01-26,11670.0
2017-01-31,11605.0
2017-02-01,11645.0
2017-02-02,11590.0
2017-02-03,11605.0
2017-02-06,11630.0
2017-02-07,11610.0
2017-02-08,11550.0
2017-02-09,11575.0
2017-02-10,11595.0
2017-02-13,11600.0
2017-02-14,11570.0
2017-02-15,11600.0
2017-02-16,11600.0
2017-02-17,11595.0
2017-02-20,11635.0
2017-02-21,11745.0
2017-02-22,11765.0
2017-02-23,11765.0
2017-02-24,11675.0
2017-02-27,11630.0
2017-02-28,11640.0
2017-03-02,11760.0
2017-03-03,11640.0
2017-03-06,11660.0
2017-03-07,11720.0
2017-03-08,11735.0
2017-03-09,11705.0
2017-03-10,11720.0
2017-03-13,11860.0
2017-03-14,11960.0
2017-03-15,11975.0
2017-03-16,12060.0
2017-03-17,12120.0
2017-03-20,12100.0
2017-03-21,12220.0
2017-03-22,12160.0
2017-03-23,12185.0
2017-03-24,12165.0
2017-03-27,12085.0
2017-03-28,12115.0
2017-03-29,12145.0
2017-03-30,12140.0
2017-03-31,12115.0
2017-04-03,12140.0
2017-04-04,12115.0
2017-04-05,12090.0
2017-04-06,12035.0
2017-04-07,12025.0
2017-04-10,11950.0
2017-04-11,11895.0
2017-04-12,11890.0
2017-04-13,12015.0
2017-04-14,11960.0
2017-04-17,11990.0
2017-04-18,11990.0
2017-04-19,11930.0
2017-04-20,11975.0
2017-04-21,12085.0
2017-04-24,12145.0
2017-04-25,12275.0
2017-04-26,12355.0
2017-04-27,12375.0
2017-04-28,12390.0
2017-05-02,12470.0
2017-05-04,12610.0
2017-05-08,12945.0
2017-05-10,12795.0
2017-05-11,12930.0
2017-05-12,12870.0
2017-05-15,12905.0
2017-05-16,12930.0
2017-05-17,12940.0
2017-05-18,12880.0
2017-05-19,12865.0
2017-05-22,12955.0
2017-05-23,13005.0
2017-05-24,13020.0
2017-05-25,13175.0
2017-05-26,13255.0
2017-05-29,13240.0
2017-05-30,13155.0
2017-05-31,13155.0
2017-06-01,13125.0
2017-06-02,13280.0
2017-06-05,13265.0
2017-06-07,13180.0
2017-06-08,13240.0
2017-06-09,13325.0
2017-06-12,13195.0
2017-06-13,13275.0
2017-06-14,13280.0
2017-06-15,13215.0
2017-06-16,13225.0
2017-06-19,13295.0
2017-06-20,13325.0
2017-06-21,13245.0
2017-06-22,13330.0
2017-06-23,13370.0
2017-06-26,13440.0
