Date,TIGER 200 에너지화학
2018-07-31,14390.0
2018-08-01,14230.0
2018-08-02,14070.0
2018-08-03,14280.0
2018-08-06,14155.0
2018-08-07,14345.0
2018-08-08,14170.0
2018-08-09,14265.0
2018-08-10,14200.0
2018-08-13,14040.0
2018-08-14,14310.0
2018-08-16,14245.0
2018-08-17,14290.0
2018-08-20,14280.0
2018-08-21,14240.0
2018-08-22,13905.0
2018-08-23,13925.0
2018-08-24,14100.0
2018-08-27,14160.0
2018-08-28,14125.0
2018-08-29,14220.0
2018-08-30,14045.0
2018-08-31,13995.0
2018-09-03,14080.0
2018-09-04,14030.0
2018-09-05,13845.0
2018-09-06,13840.0
2018-09-07,13815.0
2018-09-10,13965.0
2018-09-11,13870.0
2018-09-12,13975.0
2018-09-13,14095.0
2018-09-14,14165.0
2018-09-17,14045.0
2018-09-18,14155.0
2018-09-19,14110.0
2018-09-20,14000.0
2018-09-21,14100.0
2018-09-27,14320.0
2018-09-28,14460.0
2018-10-01,14480.0
2018-10-02,14385.0
