Date,TIGER 로우볼
2017-10-10,13445.0
2017-10-11,13525.0
2017-10-12,13545.0
2017-10-13,13560.0
2017-10-16,13655.0
2017-10-17,13540.0
2017-10-18,13545.0
2017-10-19,13640.0
2017-10-20,13705.0
2017-10-23,13590.0
2017-10-24,13620.0
2017-10-25,13740.0
2017-10-26,13760.0
2017-10-27,13800.0
2017-10-30,13715.0
2017-10-31,13780.0
2017-11-01,13750.0
2017-11-02,13680.0
2017-11-03,13780.0
2017-11-06,13740.0
2017-11-07,13780.0
2017-11-08,13785.0
2017-11-09,13810.0
2017-11-10,13760.0
2017-11-13,13655.0
2017-11-14,13665.0
2017-11-15,13680.0
2017-11-16,13705.0
2017-11-17,13705.0
2017-11-20,13750.0
2017-11-21,13730.0
2017-11-22,13725.0
2017-11-23,13725.0
2017-11-24,13815.0
2017-11-27,13875.0
2017-11-28,13875.0
2017-11-29,13920.0
2017-11-30,13985.0
2017-12-01,13765.0
2017-12-04,13870.0
2017-12-05,14000.0
2017-12-06,13940.0
2017-12-07,13875.0
2017-12-08,13775.0
2017-12-11,13810.0
2017-12-12,13750.0
2017-12-13,13920.0
2017-12-14,13830.0
2017-12-15,14070.0
2017-12-18,14065.0
2017-12-19,13980.0
2017-12-20,14040.0
2017-12-21,13980.0
2017-12-22,14030.0
2017-12-26,14100.0
2017-12-27,14155.0
2017-12-28,14220.0
2018-01-02,14200.0
2018-01-03,14135.0
2018-01-04,13920.0
2018-01-05,14070.0
2018-01-08,14130.0
2018-01-09,14250.0
2018-01-10,14345.0
2018-01-11,14330.0
2018-01-12,14330.0
2018-01-15,14380.0
2018-01-16,14355.0
2018-01-17,14355.0
2018-01-18,14270.0
2018-01-19,14410.0
2018-01-22,14400.0
2018-01-23,14500.0
2018-01-24,14530.0
2018-01-25,14585.0
2018-01-26,14560.0
2018-01-29,14640.0
2018-01-30,14560.0
2018-01-31,14600.0
2018-02-01,14645.0
2018-02-02,14560.0
2018-02-05,14485.0
2018-02-06,14245.0
2018-02-07,14055.0
2018-02-08,14035.0
2018-02-09,13850.0
2018-02-12,13885.0
2018-02-13,13790.0
2018-02-14,13745.0
2018-02-19,13930.0
2018-02-20,13830.0
2018-02-21,13960.0
2018-02-22,13895.0
2018-02-23,14090.0
2018-02-26,14095.0
2018-02-27,14000.0
2018-02-28,13920.0
2018-03-02,13680.0
2018-03-05,13530.0
2018-03-06,13520.0
2018-03-07,13390.0
2018-03-08,13445.0
2018-03-09,13570.0
2018-03-12,13720.0
2018-03-13,13550.0
2018-03-14,13540.0
2018-03-15,13535.0
2018-03-16,13585.0
2018-03-19,13440.0
2018-03-20,13530.0
2018-03-21,13520.0
2018-03-22,13615.0
2018-03-23,13305.0
2018-03-26,13295.0
2018-03-27,13425.0
2018-03-28,13385.0
2018-03-29,13375.0
2018-03-30,13440.0
2018-04-02,13480.0
2018-04-03,13415.0
2018-04-04,13355.0
2018-04-05,13345.0
2018-04-06,13335.0
2018-04-09,13295.0
2018-04-10,13375.0
2018-04-11,13255.0
2018-04-12,13285.0
2018-04-13,13205.0
2018-04-16,13225.0
2018-04-17,13245.0
2018-04-18,13300.0
2018-04-19,13250.0
2018-04-20,13340.0
2018-04-23,13400.0
2018-04-24,13440.0
2018-04-25,13490.0
2018-04-26,13460.0
2018-04-27,13170.0
2018-04-30,13305.0
2018-05-02,13330.0
2018-05-03,13300.0
2018-05-04,13185.0
2018-05-08,13135.0
2018-05-09,13095.0
2018-05-10,13140.0
2018-05-11,13320.0
2018-05-14,13310.0
2018-05-15,13260.0
2018-05-16,13260.0
2018-05-17,13220.0
2018-05-18,13235.0
2018-05-21,13230.0
2018-05-23,13110.0
2018-05-24,13055.0
2018-05-25,12970.0
2018-05-28,12930.0
2018-05-29,12850.0
2018-05-30,12630.0
2018-05-31,12645.0
2018-06-01,12710.0
2018-06-04,12845.0
2018-06-05,12860.0
2018-06-07,13015.0
2018-06-08,12980.0
2018-06-11,13150.0
2018-06-12,13200.0
2018-06-14,13075.0
2018-06-15,12950.0
2018-06-18,13010.0
2018-06-19,12900.0
2018-06-20,12825.0
2018-06-21,12590.0
2018-06-22,12705.0
2018-06-25,12740.0
2018-06-26,12710.0
2018-06-27,12580.0
2018-06-28,12500.0
2018-06-29,12490.0
2018-07-02,12305.0
2018-07-03,12235.0
2018-07-04,12225.0
2018-07-05,12180.0
2018-07-06,12385.0
2018-07-09,12460.0
2018-07-10,12430.0
2018-07-11,12355.0
2018-07-12,12330.0
2018-07-13,12470.0
2018-07-16,12475.0
2018-07-17,12475.0
2018-07-18,12380.0
2018-07-19,12260.0
2018-07-20,12355.0
2018-07-23,12480.0
2018-07-24,12485.0
2018-07-25,12520.0
2018-07-26,12455.0
2018-07-27,12445.0
2018-07-30,12505.0
2018-07-31,12520.0
2018-08-01,12565.0
2018-08-02,12405.0
2018-08-03,12500.0
2018-08-06,12635.0
2018-08-07,12565.0
2018-08-08,12540.0
2018-08-09,12590.0
2018-08-10,12650.0
2018-08-13,12535.0
2018-08-14,12520.0
2018-08-16,12475.0
2018-08-17,12435.0
2018-08-20,12480.0
2018-08-21,12465.0
2018-08-22,12345.0
2018-08-23,12330.0
2018-08-24,12370.0
2018-08-27,12370.0
2018-08-28,12480.0
2018-08-29,12430.0
2018-08-30,12345.0
2018-08-31,12405.0
2018-09-03,12345.0
2018-09-04,12325.0
2018-09-05,12265.0
2018-09-06,12285.0
2018-09-07,12340.0
2018-09-10,12285.0
2018-09-11,12280.0
2018-09-12,12315.0
2018-09-13,12350.0
2018-09-14,12400.0
2018-09-17,12295.0
2018-09-18,12270.0
2018-09-19,12245.0
2018-09-20,12295.0
2018-09-21,12385.0
2018-09-27,12570.0
2018-09-28,12710.0
2018-10-01,12675.0
2018-10-02,12560.0
2018-10-04,12495.0
2018-10-05,12555.0
