Date,KINDEX 삼성그룹동일가중
2016-08-02,9785.0
2016-08-03,9745.0
2016-08-04,9850.0
2016-08-05,9940.0
2016-08-08,9975.0
2016-08-09,10030.0
2016-08-10,9990.0
2016-08-11,9975.0
2016-08-12,10025.0
2016-08-16,9955.0
2016-08-17,9965.0
2016-08-18,10185.0
2016-08-19,10145.0
2016-08-22,10125.0
2016-08-23,10140.0
2016-08-24,10115.0
2016-08-25,10155.0
2016-08-26,10070.0
2016-08-29,9975.0
2016-08-30,10045.0
2016-08-31,9940.0
2016-09-01,10055.0
2016-09-02,10095.0
2016-09-05,10115.0
2016-09-06,10140.0
2016-09-07,10095.0
2016-09-08,10090.0
2016-09-09,9985.0
2016-09-12,9785.0
2016-09-13,9780.0
2016-09-19,9835.0
2016-09-20,9775.0
2016-09-21,9845.0
2016-09-22,9900.0
2016-09-23,9790.0
2016-09-26,9730.0
2016-09-27,9800.0
2016-09-28,9775.0
2016-09-29,9965.0
2016-09-30,9850.0
2016-10-04,9900.0
2016-10-05,9885.0
2016-10-06,10005.0
2016-10-07,10025.0
2016-10-10,9965.0
2016-10-11,9915.0
2016-10-12,10000.0
2016-10-13,9955.0
2016-10-14,9960.0
2016-10-17,9890.0
2016-10-18,9950.0
2016-10-19,9950.0
2016-10-20,9980.0
2016-10-21,9970.0
2016-10-24,10070.0
2016-10-25,9980.0
2016-10-26,9790.0
2016-10-27,9905.0
2016-10-28,9930.0
2016-10-31,9795.0
2016-11-01,9635.0
2016-11-02,9525.0
2016-11-03,9535.0
2016-11-04,9475.0
2016-11-07,9620.0
2016-11-08,9630.0
2016-11-09,9350.0
2016-11-10,9590.0
2016-11-11,9525.0
2016-11-14,9560.0
2016-11-15,9545.0
2016-11-16,9570.0
2016-11-17,9605.0
2016-11-18,9485.0
2016-11-21,9445.0
2016-11-22,9445.0
2016-11-23,9400.0
2016-11-24,9215.0
2016-11-25,9255.0
2016-11-28,9330.0
2016-11-29,9280.0
2016-11-30,9250.0
2016-12-01,9215.0
2016-12-02,9145.0
2016-12-05,9095.0
2016-12-06,9175.0
2016-12-07,9155.0
2016-12-08,9210.0
2016-12-09,9210.0
2016-12-12,9295.0
2016-12-13,9370.0
2016-12-14,9415.0
2016-12-15,9455.0
2016-12-16,9405.0
2016-12-19,9480.0
2016-12-20,9510.0
2016-12-21,9460.0
2016-12-22,9420.0
2016-12-23,9425.0
2016-12-26,9395.0
2016-12-27,9455.0
2016-12-28,9535.0
2016-12-29,9495.0
2017-01-02,9505.0
2017-01-03,9620.0
2017-01-04,9670.0
2017-01-05,9740.0
2017-01-06,9780.0
2017-01-09,9760.0
2017-01-10,9690.0
2017-01-11,9785.0
2017-01-12,9805.0
2017-01-13,9795.0
2017-01-16,9730.0
2017-01-17,9710.0
2017-01-18,9745.0
2017-01-19,9635.0
2017-01-20,9630.0
2017-01-23,9675.0
2017-01-24,9705.0
2017-01-25,9775.0
2017-01-26,9865.0
2017-01-31,9905.0
2017-02-01,9965.0
2017-02-02,9955.0
2017-02-03,10030.0
2017-02-06,10080.0
2017-02-07,10065.0
2017-02-08,10000.0
2017-02-09,10070.0
2017-02-10,10115.0
2017-02-13,10080.0
2017-02-14,10095.0
2017-02-15,10130.0
2017-02-16,10065.0
2017-02-17,10035.0
2017-02-20,9955.0
2017-02-21,10105.0
2017-02-22,10185.0
2017-02-23,10245.0
2017-02-24,10200.0
2017-02-27,10220.0
2017-02-28,10225.0
2017-03-02,10230.0
2017-03-03,10130.0
2017-03-06,10145.0
2017-03-07,10245.0
2017-03-08,10255.0
2017-03-09,10140.0
2017-03-10,10155.0
2017-03-13,10250.0
2017-03-14,10405.0
2017-03-15,10415.0
2017-03-16,10500.0
2017-03-17,10630.0
2017-03-20,10630.0
2017-03-21,10690.0
2017-03-22,10590.0
2017-03-23,10650.0
2017-03-24,10585.0
2017-03-27,10465.0
2017-03-28,10525.0
2017-03-29,10525.0
2017-03-30,10450.0
2017-03-31,10470.0
2017-04-03,10470.0
2017-04-04,10460.0
2017-04-05,10470.0
2017-04-06,10425.0
2017-04-07,10430.0
2017-04-10,10330.0
2017-04-11,10335.0
2017-04-12,10350.0
2017-04-13,10455.0
2017-04-14,10355.0
2017-04-17,10515.0
2017-04-18,10570.0
2017-04-19,10525.0
2017-04-20,10595.0
2017-04-21,10715.0
2017-04-24,10720.0
2017-04-25,10775.0
2017-04-26,10865.0
2017-04-27,10615.0
2017-04-28,10565.0
2017-05-02,10615.0
2017-05-04,10725.0
2017-05-08,10925.0
2017-05-10,10985.0
2017-05-11,11145.0
2017-05-12,11150.0
2017-05-15,11170.0
2017-05-16,11210.0
2017-05-17,11260.0
2017-05-18,11180.0
2017-05-19,11340.0
2017-05-22,11330.0
2017-05-23,11395.0
2017-05-24,11505.0
2017-05-25,11690.0
2017-05-26,11750.0
2017-05-29,11790.0
2017-05-30,11750.0
2017-05-31,11795.0
2017-06-01,11780.0
2017-06-02,11865.0
2017-06-05,11860.0
2017-06-07,11870.0
2017-06-08,11835.0
2017-06-09,11805.0
2017-06-12,11680.0
2017-06-13,11865.0
2017-06-14,11790.0
2017-06-15,11765.0
2017-06-16,11690.0
2017-06-19,11795.0
2017-06-20,11690.0
2017-06-21,11630.0
2017-06-22,11775.0
2017-06-23,11895.0
2017-06-26,12185.0
2017-06-27,12215.0
2017-06-28,12095.0
2017-06-29,12260.0
2017-06-30,12230.0
2017-07-03,12140.0
2017-07-04,12155.0
2017-07-05,12230.0
2017-07-06,12200.0
2017-07-07,12185.0
2017-07-10,12210.0
2017-07-11,12200.0
2017-07-12,12150.0
2017-07-13,12285.0
2017-07-14,12210.0
2017-07-17,12345.0
2017-07-18,12310.0
2017-07-19,12265.0
2017-07-20,12265.0
2017-07-21,12435.0
2017-07-24,12415.0
2017-07-25,12425.0
2017-07-26,12325.0
2017-07-27,12400.0
2017-07-28,12165.0
2017-07-31,12110.0
2017-08-01,12245.0
2017-08-02,12255.0
2017-08-03,12060.0
2017-08-04,12105.0
2017-08-07,12170.0
2017-08-08,12115.0
2017-08-09,11905.0
2017-08-10,11775.0
2017-08-11,11655.0
2017-08-14,11770.0
2017-08-16,11820.0
2017-08-17,11815.0
2017-08-18,11760.0
2017-08-21,11715.0
2017-08-22,11835.0
2017-08-23,11850.0
2017-08-24,11865.0
2017-08-25,11965.0
2017-08-28,11900.0
2017-08-29,11865.0
2017-08-30,11855.0
2017-08-31,11815.0
2017-09-01,11715.0
2017-09-04,11560.0
2017-09-05,11515.0
2017-09-06,11500.0
2017-09-07,11660.0
2017-09-08,11720.0
2017-09-11,11770.0
2017-09-12,11840.0
2017-09-13,11825.0
2017-09-14,11895.0
2017-09-15,12055.0
2017-09-18,12195.0
2017-09-19,12250.0
2017-09-20,12180.0
2017-09-21,12100.0
2017-09-22,11925.0
2017-09-25,11885.0
2017-09-26,11975.0
2017-09-27,11985.0
2017-09-28,11830.0
2017-09-29,12015.0
2017-10-10,12200.0
2017-10-11,12395.0
2017-10-12,12590.0
2017-10-13,12590.0
2017-10-16,12625.0
2017-10-17,12605.0
2017-10-18,12445.0
2017-10-19,12475.0
2017-10-20,12575.0
2017-10-23,12545.0
2017-10-24,12595.0
2017-10-25,12640.0
2017-10-26,12630.0
2017-10-27,12785.0
2017-10-30,12975.0
2017-10-31,13205.0
2017-11-01,13360.0
2017-11-02,13235.0
2017-11-03,13385.0
2017-11-06,13395.0
2017-11-07,13495.0
2017-11-08,13525.0
2017-11-09,13560.0
2017-11-10,13435.0
2017-11-13,13215.0
2017-11-14,13320.0
2017-11-15,13320.0
2017-11-16,13410.0
2017-11-17,13490.0
2017-11-20,13520.0
2017-11-21,13435.0
2017-11-22,13570.0
2017-11-23,13525.0
2017-11-24,13485.0
2017-11-27,13270.0
2017-11-28,13285.0
2017-11-29,13305.0
2017-11-30,13060.0
2017-12-01,13175.0
2017-12-04,13300.0
2017-12-05,13345.0
2017-12-06,12835.0
2017-12-07,12795.0
2017-12-08,12735.0
2017-12-11,12765.0
2017-12-12,12710.0
2017-12-13,12855.0
2017-12-14,12950.0
2017-12-15,12875.0
2017-12-18,12785.0
2017-12-19,12800.0
2017-12-20,12865.0
2017-12-21,12640.0
2017-12-22,12615.0
2017-12-26,12505.0
2017-12-27,12685.0
2017-12-28,12975.0
2018-01-02,13110.0
2018-01-03,13045.0
2018-01-04,13155.0
2018-01-05,13390.0
2018-01-08,13625.0
2018-01-09,13670.0
2018-01-10,13780.0
2018-01-11,13800.0
2018-01-12,13885.0
2018-01-15,13940.0
2018-01-16,13910.0
2018-01-17,13815.0
2018-01-18,13900.0
2018-01-19,13845.0
2018-01-22,13745.0
2018-01-23,13980.0
2018-01-24,14060.0
2018-01-25,14280.0
2018-01-26,14305.0
2018-01-29,14500.0
2018-01-30,14260.0
2018-01-31,14385.0
2018-02-01,14340.0
2018-02-02,14140.0
2018-02-05,13980.0
2018-02-06,13705.0
2018-02-07,13340.0
2018-02-08,13450.0
2018-02-09,13120.0
2018-02-12,13250.0
2018-02-13,13240.0
2018-02-14,13455.0
2018-02-19,13610.0
2018-02-20,13400.0
2018-02-21,13470.0
2018-02-22,13480.0
2018-02-23,13695.0
2018-02-26,13605.0
2018-02-27,13485.0
2018-02-28,13320.0
2018-03-02,13165.0
2018-03-05,13090.0
2018-03-06,13280.0
2018-03-07,13260.0
2018-03-08,13470.0
2018-03-09,13825.0
2018-03-12,14155.0
2018-03-13,14020.0
2018-03-14,13925.0
2018-03-15,13925.0
2018-03-16,13990.0
2018-03-19,13865.0
2018-03-20,14005.0
2018-03-21,14005.0
2018-03-22,14085.0
2018-03-23,13665.0
2018-03-26,13720.0
2018-03-27,13960.0
2018-03-28,13785.0
2018-03-29,13905.0
2018-03-30,13950.0
2018-04-02,14035.0
2018-04-03,13980.0
2018-04-04,13770.0
2018-04-05,13965.0
2018-04-06,13960.0
2018-04-09,14110.0
2018-04-10,14100.0
2018-04-11,14040.0
2018-04-12,14060.0
2018-04-13,14145.0
2018-04-16,14210.0
2018-04-17,14175.0
2018-04-18,14195.0
2018-04-19,14055.0
2018-04-20,14015.0
2018-04-23,13975.0
2018-04-24,13990.0
2018-04-25,13885.0
2018-04-26,14120.0
2018-04-27,14060.0
2018-04-30,14130.0
2018-05-02,13910.0
2018-05-03,13850.0
2018-05-04,13575.0
2018-05-08,13640.0
2018-05-09,13820.0
2018-05-10,13830.0
2018-05-11,13990.0
2018-05-14,14015.0
2018-05-15,13975.0
2018-05-16,14090.0
2018-05-17,14005.0
2018-05-18,14065.0
2018-05-21,14045.0
2018-05-23,14010.0
2018-05-24,14130.0
2018-05-25,14135.0
2018-05-28,14130.0
2018-05-29,14075.0
2018-05-30,13870.0
2018-05-31,13895.0
2018-06-01,14045.0
2018-06-04,14070.0
2018-06-05,14080.0
2018-06-07,14225.0
2018-06-08,14190.0
2018-06-11,14225.0
2018-06-12,14280.0
2018-06-14,14135.0
2018-06-15,13805.0
2018-06-18,13685.0
2018-06-19,13540.0
2018-06-20,13870.0
2018-06-21,13690.0
2018-06-22,13835.0
2018-06-25,13810.0
2018-06-26,13760.0
2018-06-27,13825.0
2018-06-28,13765.0
2018-06-29,13690.0
2018-07-02,13460.0
2018-07-03,13455.0
2018-07-04,13370.0
2018-07-05,13280.0
2018-07-06,13555.0
2018-07-09,13625.0
2018-07-10,13565.0
2018-07-11,13405.0
2018-07-12,13525.0
2018-07-13,13495.0
2018-07-16,13370.0
2018-07-17,13395.0
2018-07-18,13330.0
2018-07-19,13270.0
2018-07-20,13330.0
2018-07-23,13335.0
2018-07-24,13475.0
2018-07-25,13420.0
2018-07-26,13400.0
2018-07-27,13370.0
2018-07-30,13335.0
2018-07-31,13380.0
2018-08-01,13415.0
2018-08-02,13305.0
2018-08-03,13405.0
2018-08-06,13420.0
2018-08-07,13495.0
2018-08-08,13670.0
2018-08-09,13670.0
2018-08-10,13520.0
2018-08-13,13305.0
2018-08-14,13400.0
2018-08-16,13265.0
2018-08-17,13295.0
2018-08-20,13260.0
2018-08-21,13435.0
2018-08-22,13495.0
2018-08-23,13525.0
2018-08-24,13565.0
2018-08-27,13680.0
2018-08-28,13630.0
2018-08-29,13715.0
2018-08-30,13730.0
2018-08-31,13865.0
2018-09-03,13845.0
2018-09-04,13835.0
2018-09-05,13745.0
2018-09-06,13710.0
2018-09-07,13740.0
2018-09-10,13750.0
2018-09-11,13790.0
2018-09-12,13750.0
2018-09-13,13835.0
2018-09-14,13970.0
2018-09-17,13900.0
2018-09-18,14075.0
2018-09-19,14045.0
2018-09-20,14135.0
2018-09-21,14200.0
2018-09-27,14425.0
2018-09-28,14540.0
2018-10-01,14500.0
