Date,TIGER 금속선물(H)
2017-07-14,5200.0
2017-07-17,5265.0
2017-07-18,5270.0
2017-07-19,5280.0
2017-07-20,5270.0
2017-07-21,5235.0
2017-07-24,5255.0
2017-07-25,5270.0
2017-07-26,5390.0
2017-07-27,5450.0
2017-07-28,5450.0
2017-07-31,5415.0
2017-08-01,5445.0
2017-08-02,5440.0
2017-08-03,5440.0
2017-08-04,5440.0
2017-08-07,5440.0
2017-08-08,5535.0
2017-08-09,5630.0
2017-08-10,5620.0
2017-08-11,5655.0
2017-08-14,5620.0
2017-08-16,5620.0
2017-08-17,5765.0
2017-08-18,5720.0
2017-08-21,5715.0
2017-08-22,5780.0
2017-08-23,5750.0
2017-08-24,5805.0
2017-08-25,5865.0
2017-08-28,5785.0
2017-08-29,5820.0
2017-08-30,5915.0
2017-08-31,5885.0
2017-09-01,5940.0
2017-09-04,5960.0
2017-09-05,5985.0
2017-09-06,6005.0
2017-09-07,5985.0
2017-09-08,5975.0
2017-09-11,5850.0
2017-09-12,5890.0
2017-09-13,5895.0
2017-09-14,5770.0
2017-09-15,5735.0
2017-09-18,5710.0
2017-09-19,5715.0
2017-09-20,5750.0
2017-09-21,5840.0
2017-09-22,5790.0
2017-09-25,5735.0
2017-09-26,5720.0
2017-09-27,5670.0
2017-09-28,5710.0
2017-09-29,5750.0
2017-10-10,5800.0
2017-10-11,5885.0
2017-10-12,5880.0
2017-10-13,5920.0
2017-10-16,5940.0
2017-10-17,6085.0
2017-10-18,5985.0
2017-10-19,5980.0
2017-10-20,5990.0
2017-10-23,5980.0
2017-10-24,6025.0
2017-10-25,6030.0
2017-10-26,6075.0
2017-10-27,6030.0
2017-10-30,5950.0
2017-10-31,5975.0
2017-11-01,5985.0
2017-11-02,6045.0
2017-11-03,6035.0
2017-11-06,6035.0
2017-11-07,6060.0
2017-11-08,5935.0
2017-11-09,5935.0
2017-11-10,5865.0
2017-11-13,5870.0
2017-11-14,5945.0
2017-11-15,5780.0
2017-11-16,5830.0
2017-11-17,5810.0
2017-11-20,5775.0
2017-11-21,5840.0
2017-11-22,5870.0
2017-11-23,5930.0
2017-11-24,5930.0
2017-11-27,5980.0
2017-11-28,5945.0
2017-11-29,5835.0
2017-11-30,5790.0
2017-12-01,5755.0
2017-12-04,5810.0
2017-12-05,5800.0
2017-12-06,5645.0
2017-12-07,5595.0
2017-12-08,5605.0
2017-12-11,5605.0
2017-12-12,5675.0
2017-12-13,5655.0
2017-12-14,5680.0
2017-12-15,5730.0
2017-12-18,5800.0
2017-12-19,5825.0
2017-12-20,5860.0
2017-12-21,5945.0
2017-12-22,6005.0
2017-12-26,6065.0
2017-12-27,6065.0
2017-12-28,6180.0
2018-01-02,6245.0
2018-01-03,6235.0
2018-01-04,6155.0
2018-01-05,6195.0
2018-01-08,6120.0
2018-01-09,6080.0
2018-01-10,6030.0
2018-01-11,6120.0
2018-01-12,6095.0
2018-01-15,6130.0
2018-01-16,6130.0
2018-01-17,6145.0
2018-01-18,6045.0
2018-01-19,6130.0
2018-01-22,6100.0
2018-01-23,6150.0
2018-01-24,6065.0
2018-01-25,6195.0
2018-01-26,6155.0
2018-01-29,6200.0
2018-01-30,6175.0
2018-01-31,6100.0
2018-02-01,6135.0
2018-02-02,6160.0
2018-02-05,6085.0
2018-02-06,6160.0
2018-02-07,6040.0
2018-02-08,5970.0
2018-02-09,5975.0
2018-02-12,5850.0
2018-02-13,5895.0
2018-02-14,5975.0
2018-02-19,6185.0
2018-02-20,6185.0
2018-02-21,6005.0
2018-02-22,6105.0
2018-02-23,6115.0
2018-02-26,6020.0
2018-02-27,6040.0
2018-02-28,6035.0
2018-03-02,5965.0
2018-03-05,5960.0
2018-03-06,5955.0
2018-03-07,6005.0
2018-03-08,5915.0
2018-03-09,5855.0
2018-03-12,5945.0
2018-03-13,5880.0
2018-03-14,5925.0
2018-03-15,5930.0
2018-03-16,5890.0
2018-03-19,5870.0
2018-03-20,5860.0
2018-03-21,5800.0
2018-03-22,5805.0
2018-03-23,5755.0
2018-03-26,5720.0
2018-03-27,5685.0
2018-03-28,5700.0
2018-03-29,5685.0
2018-03-30,5660.0
2018-04-02,5685.0
2018-04-03,5665.0
2018-04-04,5675.0
2018-04-05,5660.0
2018-04-06,5715.0
2018-04-09,5705.0
2018-04-10,5880.0
2018-04-11,6005.0
2018-04-12,6065.0
2018-04-13,6100.0
2018-04-16,6070.0
2018-04-17,6240.0
2018-04-18,6240.0
2018-04-19,6465.0
2018-04-20,6380.0
2018-04-23,6385.0
2018-04-24,6130.0
2018-04-25,6095.0
2018-04-26,6090.0
2018-04-27,6110.0
2018-04-30,5985.0
2018-05-02,6015.0
2018-05-03,6145.0
2018-05-04,6065.0
2018-05-08,6160.0
2018-05-09,6150.0
2018-05-10,6145.0
2018-05-11,6175.0
2018-05-14,6130.0
2018-05-15,6160.0
2018-05-16,6135.0
2018-05-17,6165.0
2018-05-18,6125.0
2018-05-21,6105.0
2018-05-23,6155.0
2018-05-24,6070.0
2018-05-25,6130.0
2018-05-28,6105.0
2018-05-29,6105.0
2018-05-30,6090.0
2018-05-31,6075.0
2018-06-01,6110.0
2018-06-04,6160.0
2018-06-05,6230.0
2018-06-07,6345.0
2018-06-08,6350.0
2018-06-11,6335.0
2018-06-12,6295.0
2018-06-14,6280.0
2018-06-15,6220.0
2018-06-18,6080.0
2018-06-19,6070.0
2018-06-20,5970.0
2018-06-21,5920.0
2018-06-22,5960.0
2018-06-25,5960.0
2018-06-26,5890.0
2018-06-27,5910.0
2018-06-28,5915.0
2018-06-29,5830.0
2018-07-02,5830.0
2018-07-03,5735.0
2018-07-04,5705.0
2018-07-05,5695.0
2018-07-06,5565.0
2018-07-09,5565.0
2018-07-10,5700.0
2018-07-11,5620.0
2018-07-12,5470.0
2018-07-13,5530.0
2018-07-16,5490.0
2018-07-17,5485.0
