Date,KINDEX 중국본토CSI300
2017-04-18,19085.0
2017-04-19,18985.0
2017-04-20,18980.0
2017-04-21,19115.0
2017-04-24,19090.0
2017-04-25,18955.0
2017-04-26,18945.0
2017-04-27,18990.0
2017-04-28,18910.0
2017-05-02,18830.0
2017-05-04,18830.0
2017-05-08,18555.0
2017-05-10,18580.0
2017-05-11,18575.0
2017-05-12,18620.0
2017-05-15,18525.0
2017-05-16,18575.0
2017-05-17,18665.0
2017-05-18,18610.0
2017-05-19,18660.0
2017-05-22,18595.0
2017-05-23,18665.0
2017-05-24,18800.0
2017-05-25,19155.0
2017-05-26,19175.0
2017-05-29,19165.0
2017-05-30,19205.0
2017-05-31,19220.0
2017-06-01,19325.0
2017-06-02,19235.0
2017-06-05,19185.0
2017-06-07,19485.0
2017-06-08,19585.0
2017-06-09,19640.0
2017-06-12,19790.0
2017-06-13,19895.0
2017-06-14,19555.0
2017-06-15,19580.0
2017-06-16,19675.0
2017-06-19,19770.0
2017-06-20,19770.0
2017-06-21,19965.0
2017-06-22,20240.0
2017-06-23,20060.0
2017-06-26,20385.0
2017-06-27,20450.0
2017-06-28,20640.0
2017-06-29,20770.0
2017-06-30,20810.0
2017-07-03,20725.0
2017-07-04,20490.0
2017-07-05,20895.0
2017-07-06,21010.0
2017-07-07,20870.0
2017-07-10,20910.0
2017-07-11,20970.0
2017-07-12,20705.0
2017-07-13,20900.0
2017-07-14,20855.0
2017-07-17,20490.0
2017-07-18,20395.0
2017-07-19,20725.0
2017-07-20,21045.0
2017-07-21,21015.0
2017-07-24,21000.0
2017-07-25,20950.0
2017-07-26,20825.0
2017-07-27,20670.0
2017-07-28,20735.0
2017-07-31,21100.0
2017-08-01,21130.0
2017-08-02,21355.0
2017-08-03,21300.0
2017-08-04,21170.0
2017-08-07,21205.0
2017-08-08,21175.0
2017-08-09,21415.0
2017-08-10,21280.0
2017-08-11,20980.0
2017-08-14,21145.0
2017-08-16,21050.0
2017-08-17,21225.0
2017-08-18,21300.0
2017-08-21,21450.0
2017-08-22,21500.0
2017-08-23,21560.0
2017-08-24,21355.0
2017-08-25,21540.0
2017-08-28,21980.0
2017-08-29,22100.0
2017-08-30,22110.0
2017-08-31,22065.0
2017-09-01,22125.0
2017-09-04,22530.0
2017-09-05,22555.0
2017-09-06,22655.0
2017-09-07,22505.0
2017-09-08,22680.0
2017-09-11,22540.0
2017-09-12,22560.0
2017-09-13,22585.0
2017-09-14,22520.0
2017-09-15,22525.0
2017-09-18,22485.0
2017-09-19,22360.0
2017-09-20,22455.0
2017-09-21,22405.0
2017-09-22,22305.0
2017-09-25,22345.0
2017-09-26,22345.0
2017-09-27,22405.0
2017-09-28,22445.0
2017-09-29,22490.0
2017-10-10,22555.0
2017-10-11,22790.0
2017-10-12,22890.0
2017-10-13,22905.0
2017-10-16,22975.0
2017-10-17,22885.0
2017-10-18,22915.0
2017-10-19,22910.0
2017-10-20,22910.0
2017-10-23,22845.0
2017-10-24,22880.0
2017-10-25,22980.0
2017-10-26,23090.0
2017-10-27,23210.0
2017-10-30,23200.0
2017-10-31,23140.0
2017-11-01,23125.0
2017-11-02,22980.0
2017-11-03,22825.0
2017-11-06,22925.0
2017-11-07,23235.0
2017-11-08,23220.0
2017-11-09,23170.0
2017-11-10,23470.0
2017-11-13,23635.0
2017-11-14,23450.0
2017-11-15,23310.0
2017-11-16,23310.0
2017-11-17,23355.0
2017-11-20,23415.0
2017-11-21,23775.0
2017-11-22,23740.0
2017-11-23,23145.0
2017-11-24,23245.0
2017-11-27,22910.0
2017-11-28,22645.0
2017-11-29,22675.0
2017-11-30,22605.0
2017-12-01,22510.0
2017-12-04,22640.0
2017-12-05,22755.0
2017-12-06,22515.0
2017-12-07,22400.0
2017-12-08,22610.0
2017-12-11,22910.0
2017-12-12,22800.0
2017-12-13,22805.0
2017-12-14,22670.0
2017-12-15,22410.0
2017-12-18,22390.0
2017-12-19,22570.0
2017-12-20,22620.0
2017-12-21,22950.0
2017-12-22,22860.0
2017-12-26,22705.0
2017-12-27,22520.0
2017-12-28,22620.0
2018-01-02,22845.0
2018-01-03,22995.0
2018-01-04,23015.0
2018-01-05,23100.0
2018-01-08,23240.0
2018-01-09,23275.0
2018-01-10,23400.0
2018-01-11,23490.0
2018-01-12,23490.0
2018-01-15,23810.0
2018-01-16,23665.0
2018-01-17,24000.0
2018-01-18,24215.0
2018-01-19,24320.0
2018-01-22,24320.0
2018-01-23,24895.0
2018-01-24,24895.0
2018-01-25,24895.0
2018-01-26,25115.0
2018-01-29,24740.0
2018-01-30,24550.0
2018-01-31,24520.0
2018-02-01,24455.0
2018-02-02,24560.0
2018-02-05,24680.0
2018-02-06,24010.0
2018-02-07,23895.0
2018-02-08,23140.0
