Date,TIGER 방송통신
2017-08-02,10810.0
2017-08-03,10755.0
2017-08-04,10650.0
2017-08-07,10595.0
2017-08-08,10475.0
2017-08-09,10400.0
2017-08-10,10270.0
2017-08-11,10010.0
2017-08-14,10070.0
2017-08-16,10160.0
2017-08-17,10055.0
2017-08-18,10050.0
2017-08-21,10050.0
2017-08-22,10050.0
2017-08-23,10050.0
2017-08-24,9970.0
2017-08-25,10000.0
2017-08-28,10065.0
2017-08-29,9975.0
2017-08-30,10000.0
2017-08-31,9785.0
2017-09-01,9825.0
2017-09-04,9610.0
2017-09-05,9570.0
2017-09-06,9520.0
2017-09-07,9665.0
2017-09-08,9585.0
2017-09-11,9560.0
2017-09-12,9590.0
2017-09-13,9640.0
2017-09-14,9465.0
2017-09-15,9575.0
2017-09-18,9570.0
2017-09-19,9475.0
2017-09-20,9480.0
2017-09-21,9445.0
2017-09-22,9445.0
2017-09-25,9305.0
2017-09-26,9370.0
2017-09-27,9385.0
2017-09-28,9350.0
2017-09-29,9440.0
2017-10-10,9480.0
2017-10-11,9505.0
2017-10-12,9515.0
2017-10-13,9640.0
2017-10-16,9735.0
2017-10-17,9710.0
2017-10-18,9760.0
2017-10-19,9725.0
2017-10-20,9655.0
2017-10-23,9600.0
2017-10-24,9660.0
2017-10-25,9655.0
2017-10-26,9610.0
2017-10-27,9640.0
2017-10-30,9570.0
2017-10-31,9650.0
2017-11-01,9630.0
2017-11-02,9620.0
2017-11-03,9710.0
2017-11-06,9735.0
2017-11-07,9685.0
2017-11-08,9660.0
2017-11-09,9585.0
2017-11-10,9680.0
2017-11-13,9765.0
2017-11-14,9715.0
2017-11-15,9850.0
2017-11-16,9815.0
2017-11-17,9685.0
2017-11-20,9670.0
2017-11-21,9675.0
2017-11-22,9855.0
2017-11-23,10010.0
2017-11-24,10040.0
2017-11-27,9930.0
2017-11-28,9850.0
2017-11-29,9805.0
2017-11-30,9845.0
2017-12-01,9915.0
2017-12-04,10015.0
2017-12-05,10180.0
2017-12-06,10145.0
2017-12-07,10170.0
2017-12-08,9990.0
2017-12-11,10165.0
2017-12-12,9995.0
2017-12-13,10195.0
2017-12-14,10135.0
2017-12-15,10285.0
2017-12-18,10300.0
2017-12-19,10290.0
2017-12-20,10280.0
2017-12-21,10225.0
2017-12-22,10380.0
2017-12-26,10415.0
2017-12-27,10475.0
2017-12-28,10475.0
2018-01-02,10455.0
2018-01-03,10310.0
2018-01-04,10105.0
2018-01-05,10240.0
2018-01-08,10205.0
2018-01-09,10505.0
2018-01-10,10430.0
2018-01-11,10425.0
2018-01-12,10370.0
2018-01-15,10385.0
2018-01-16,10455.0
2018-01-17,10510.0
2018-01-18,10720.0
2018-01-19,10830.0
2018-01-22,10825.0
2018-01-23,10840.0
2018-01-24,10715.0
2018-01-25,10580.0
2018-01-26,10630.0
2018-01-29,10550.0
2018-01-30,10535.0
2018-01-31,10515.0
2018-02-01,10525.0
2018-02-02,10495.0
2018-02-05,10300.0
2018-02-06,10100.0
2018-02-07,9965.0
2018-02-08,9990.0
2018-02-09,9785.0
2018-02-12,9690.0
2018-02-13,9635.0
2018-02-14,9740.0
2018-02-19,9930.0
2018-02-20,9805.0
2018-02-21,9830.0
2018-02-22,9700.0
2018-02-23,9760.0
2018-02-26,9840.0
2018-02-27,9820.0
2018-02-28,9715.0
2018-03-02,9630.0
2018-03-05,9645.0
2018-03-06,9680.0
2018-03-07,9560.0
2018-03-08,9555.0
2018-03-09,9715.0
2018-03-12,9815.0
2018-03-13,9790.0
2018-03-14,9715.0
2018-03-15,9805.0
2018-03-16,9855.0
2018-03-19,9870.0
2018-03-20,9710.0
2018-03-21,9685.0
2018-03-22,9665.0
2018-03-23,9490.0
2018-03-26,9600.0
2018-03-27,9670.0
2018-03-28,9605.0
2018-03-29,9605.0
2018-03-30,9700.0
2018-04-02,9765.0
2018-04-03,9840.0
2018-04-04,9760.0
2018-04-05,9740.0
2018-04-06,9675.0
2018-04-09,9735.0
2018-04-10,9770.0
2018-04-11,9725.0
2018-04-12,9610.0
2018-04-13,9480.0
2018-04-16,9555.0
2018-04-17,9590.0
2018-04-18,9620.0
2018-04-19,9575.0
2018-04-20,9600.0
2018-04-23,9630.0
2018-04-24,9645.0
2018-04-25,9670.0
2018-04-26,9620.0
2018-04-27,9485.0
2018-04-30,9415.0
2018-05-02,9425.0
2018-05-03,9540.0
2018-05-04,9515.0
2018-05-08,9450.0
2018-05-09,9480.0
2018-05-10,9475.0
2018-05-11,9505.0
2018-05-14,9450.0
2018-05-15,9425.0
2018-05-16,9400.0
2018-05-17,9400.0
2018-05-18,9480.0
2018-05-21,9490.0
2018-05-23,9460.0
2018-05-24,9455.0
2018-05-25,9430.0
2018-05-28,9405.0
2018-05-29,9450.0
2018-05-30,9400.0
2018-05-31,9310.0
2018-06-01,9310.0
2018-06-04,9400.0
2018-06-05,9410.0
2018-06-07,9445.0
2018-06-08,9680.0
2018-06-11,9830.0
2018-06-12,9900.0
2018-06-14,9735.0
2018-06-15,9615.0
2018-06-18,9795.0
2018-06-19,9700.0
2018-06-20,9880.0
2018-06-21,10015.0
2018-06-22,10050.0
2018-06-25,9945.0
2018-06-26,9900.0
2018-06-27,9870.0
2018-06-28,9845.0
2018-06-29,9865.0
2018-07-02,9745.0
2018-07-03,9620.0
2018-07-04,9580.0
2018-07-05,9580.0
2018-07-06,9690.0
2018-07-09,9725.0
2018-07-10,9920.0
