Date,KBSTAR 중국본토대형주CSI100
2016-12-16,12410.0
2016-12-19,12355.0
2016-12-20,12355.0
2016-12-21,12450.0
2016-12-22,12490.0
2016-12-23,12450.0
2016-12-26,12435.0
2016-12-27,12540.0
2016-12-28,12420.0
2016-12-29,12540.0
2017-01-02,12540.0
2017-01-03,12625.0
2017-01-04,12695.0
2017-01-05,12670.0
2017-01-06,12635.0
2017-01-09,12745.0
2017-01-10,12640.0
2017-01-11,12570.0
2017-01-12,12400.0
2017-01-13,12400.0
2017-01-16,12440.0
2017-01-17,12465.0
2017-01-18,12515.0
2017-01-19,12690.0
2017-01-20,12580.0
2017-01-23,12550.0
2017-01-24,12570.0
2017-01-25,12600.0
2017-01-26,12530.0
2017-01-31,12600.0
2017-02-01,12535.0
2017-02-02,12440.0
2017-02-03,12350.0
2017-02-06,12300.0
2017-02-07,12275.0
2017-02-08,12260.0
2017-02-09,12370.0
2017-02-10,12490.0
2017-02-13,12570.0
2017-02-14,12425.0
2017-02-15,12550.0
2017-02-16,12480.0
2017-02-17,12500.0
2017-02-20,12655.0
2017-02-21,12680.0
2017-02-22,12650.0
2017-02-23,12535.0
2017-02-24,12440.0
2017-02-27,12435.0
2017-02-28,12435.0
2017-03-02,12485.0
2017-03-03,12450.0
2017-03-06,12600.0
2017-03-07,12460.0
2017-03-08,12470.0
2017-03-09,12395.0
2017-03-10,12555.0
2017-03-13,12500.0
2017-03-14,12500.0
2017-03-15,12450.0
2017-03-16,12480.0
2017-03-17,12380.0
2017-03-20,12250.0
2017-03-21,12230.0
2017-03-22,12250.0
2017-03-23,12250.0
2017-03-24,12380.0
2017-03-27,12300.0
2017-03-28,12245.0
2017-03-29,12290.0
2017-03-30,12200.0
2017-03-31,12275.0
2017-04-03,12280.0
2017-04-04,12380.0
2017-04-05,12430.0
2017-04-06,12540.0
2017-04-07,12535.0
2017-04-10,12590.0
2017-04-11,12625.0
2017-04-12,12650.0
2017-04-13,12545.0
2017-04-14,12520.0
2017-04-17,12520.0
2017-04-18,12555.0
2017-04-19,12400.0
2017-04-20,12530.0
2017-04-21,12490.0
2017-04-24,12550.0
2017-04-25,12400.0
2017-04-26,12330.0
2017-04-27,12425.0
2017-04-28,12370.0
2017-05-02,12400.0
2017-05-04,12350.0
2017-05-08,12230.0
2017-05-10,12270.0
2017-05-11,12155.0
2017-05-12,12425.0
2017-05-15,12425.0
2017-05-16,12345.0
2017-05-17,12380.0
2017-05-18,12340.0
2017-05-19,12415.0
2017-05-22,12360.0
2017-05-23,12550.0
2017-05-24,12575.0
2017-05-25,12755.0
2017-05-26,12880.0
2017-05-29,12870.0
2017-05-30,13095.0
2017-05-31,13000.0
2017-06-01,13175.0
2017-06-02,13105.0
2017-06-05,12875.0
2017-06-07,13250.0
2017-06-08,13290.0
2017-06-09,13310.0
2017-06-12,13495.0
2017-06-13,13410.0
2017-06-14,13275.0
2017-06-15,13250.0
2017-06-16,13290.0
2017-06-19,13395.0
2017-06-20,13415.0
2017-06-21,13525.0
2017-06-22,13820.0
2017-06-23,13700.0
2017-06-26,13920.0
2017-06-27,13885.0
2017-06-28,13945.0
2017-06-29,14040.0
2017-06-30,14150.0
2017-07-03,13940.0
2017-07-04,13950.0
2017-07-05,13995.0
2017-07-06,14125.0
2017-07-07,14040.0
2017-07-10,14040.0
2017-07-11,14305.0
2017-07-12,14210.0
2017-07-13,14280.0
2017-07-14,14215.0
2017-07-17,14150.0
2017-07-18,14225.0
2017-07-19,14320.0
2017-07-20,14400.0
2017-07-21,14360.0
2017-07-24,14340.0
2017-07-25,14300.0
2017-07-26,14295.0
2017-07-27,14185.0
2017-07-28,14210.0
2017-07-31,14260.0
2017-08-01,14380.0
2017-08-02,14515.0
2017-08-03,14490.0
2017-08-04,14405.0
2017-08-07,14415.0
2017-08-08,14435.0
2017-08-09,14500.0
2017-08-10,14550.0
2017-08-11,14485.0
2017-08-14,14430.0
2017-08-16,14450.0
2017-08-17,14420.0
2017-08-18,14520.0
2017-08-21,14515.0
2017-08-22,14685.0
2017-08-23,14710.0
2017-08-24,14620.0
2017-08-25,14820.0
2017-08-28,14965.0
2017-08-29,15135.0
2017-08-30,15080.0
2017-08-31,15090.0
2017-09-01,15055.0
2017-09-04,15200.0
2017-09-05,15430.0
2017-09-06,15360.0
2017-09-07,15320.0
2017-09-08,15395.0
2017-09-11,15250.0
2017-09-12,15185.0
2017-09-13,15245.0
2017-09-14,15190.0
2017-09-15,15225.0
2017-09-18,15170.0
2017-09-19,15100.0
2017-09-20,15060.0
2017-09-21,15210.0
2017-09-22,15255.0
2017-09-25,15100.0
2017-09-26,15150.0
2017-09-27,15185.0
2017-09-28,15185.0
2017-09-29,15110.0
2017-10-10,15390.0
2017-10-11,15510.0
2017-10-12,15500.0
2017-10-13,15525.0
2017-10-16,15470.0
2017-10-17,15560.0
2017-10-18,15520.0
2017-10-19,15570.0
2017-10-20,15625.0
2017-10-23,15450.0
2017-10-24,15640.0
2017-10-25,15550.0
2017-10-26,15695.0
2017-10-27,15845.0
2017-10-30,15760.0
2017-10-31,15760.0
2017-11-01,15730.0
2017-11-02,15760.0
2017-11-03,15625.0
2017-11-06,15785.0
2017-11-07,15895.0
2017-11-08,15840.0
2017-11-09,15900.0
2017-11-10,16075.0
2017-11-13,16155.0
2017-11-14,16020.0
2017-11-15,15990.0
2017-11-16,16040.0
2017-11-17,16040.0
2017-11-20,16075.0
2017-11-21,16515.0
2017-11-22,16405.0
2017-11-23,16050.0
2017-11-24,16080.0
2017-11-27,15875.0
2017-11-28,15725.0
2017-11-29,15695.0
2017-11-30,15625.0
2017-12-01,15525.0
2017-12-04,15655.0
2017-12-05,15800.0
2017-12-06,15665.0
2017-12-07,15470.0
2017-12-08,15635.0
2017-12-11,15845.0
2017-12-12,15770.0
2017-12-13,15825.0
2017-12-14,15655.0
2017-12-15,15490.0
2017-12-18,15510.0
2017-12-19,15685.0
2017-12-20,15690.0
2017-12-21,15950.0
2017-12-22,15845.0
2017-12-26,15820.0
2017-12-27,15570.0
2017-12-28,15620.0
2018-01-02,15735.0
2018-01-03,15870.0
2018-01-04,15925.0
2018-01-05,16015.0
2018-01-08,16130.0
2018-01-09,16245.0
2018-01-10,16450.0
2018-01-11,16470.0
2018-01-12,16535.0
2018-01-15,16880.0
2018-01-16,16875.0
2018-01-17,17025.0
2018-01-18,17130.0
2018-01-19,17310.0
2018-01-22,17400.0
2018-01-23,17745.0
2018-01-24,17730.0
2018-01-25,17710.0
2018-01-26,17910.0
2018-01-29,17530.0
2018-01-30,17370.0
2018-01-31,17395.0
2018-02-01,17565.0
2018-02-02,17820.0
2018-02-05,17945.0
2018-02-06,17635.0
2018-02-07,17210.0
2018-02-08,16680.0
2018-02-09,15795.0
2018-02-12,16130.0
2018-02-13,16285.0
2018-02-14,16210.0
2018-02-19,16335.0
2018-02-20,16340.0
2018-02-21,16495.0
2018-02-22,16705.0
2018-02-23,16640.0
2018-02-26,16840.0
2018-02-27,16585.0
2018-02-28,16555.0
2018-03-02,16260.0
2018-03-05,16335.0
2018-03-06,16445.0
2018-03-07,16355.0
2018-03-08,16445.0
2018-03-09,16470.0
2018-03-12,16505.0
2018-03-13,16440.0
2018-03-14,16375.0
2018-03-15,16440.0
2018-03-16,16390.0
2018-03-19,16370.0
2018-03-20,16420.0
2018-03-21,16460.0
2018-03-22,16200.0
2018-03-23,15725.0
2018-03-26,15785.0
2018-03-27,15750.0
2018-03-28,15420.0
2018-03-29,15600.0
2018-03-30,15595.0
2018-04-02,15370.0
2018-04-03,15190.0
2018-04-04,15270.0
2018-04-05,15325.0
2018-04-06,15300.0
2018-04-09,15350.0
2018-04-10,15660.0
2018-04-11,15785.0
2018-04-12,15740.0
2018-04-13,15570.0
2018-04-16,15280.0
2018-04-17,15145.0
2018-04-18,15060.0
2018-04-19,15180.0
2018-04-20,15000.0
2018-04-23,15100.0
2018-04-24,15595.0
2018-04-25,15450.0
2018-04-26,15190.0
2018-04-27,15040.0
2018-04-30,15000.0
2018-05-02,14950.0
2018-05-03,15080.0
2018-05-04,15080.0
2018-05-08,15470.0
2018-05-09,15405.0
