Date,KODEX 레버리지
2018-02-08,16370.0
2018-02-09,15540.0
2018-02-12,15870.0
2018-02-13,16120.0
2018-02-14,16505.0
2018-02-19,16700.0
2018-02-20,16270.0
2018-02-21,16475.0
2018-02-22,16265.0
2018-02-23,16740.0
2018-02-26,16785.0
2018-02-27,16710.0
2018-02-28,16290.0
2018-03-02,15855.0
2018-03-05,15425.0
2018-03-06,16045.0
2018-03-07,16070.0
2018-03-08,16390.0
2018-03-09,16765.0
2018-03-12,17080.0
2018-03-13,17255.0
2018-03-14,17215.0
2018-03-15,17335.0
2018-03-16,17255.0
2018-03-19,17015.0
2018-03-20,17165.0
2018-03-21,17190.0
2018-03-22,17335.0
2018-03-23,16150.0
2018-03-26,16425.0
2018-03-27,16585.0
2018-03-28,16140.0
2018-03-29,16430.0
2018-03-30,16500.0
2018-04-02,16435.0
2018-04-03,16330.0
2018-04-04,15825.0
2018-04-05,16300.0
2018-04-06,16130.0
2018-04-09,16335.0
2018-04-10,16375.0
2018-04-11,16265.0
2018-04-12,16275.0
2018-04-13,16455.0
2018-04-16,16475.0
2018-04-17,16445.0
2018-04-18,16800.0
2018-04-19,16985.0
2018-04-20,16750.0
2018-04-23,16730.0
2018-04-24,16570.0
2018-04-25,16335.0
2018-04-26,16760.0
2018-04-27,17055.0
2018-04-30,17200.0
2018-05-02,16985.0
2018-05-03,16895.0
2018-05-04,16640.0
2018-05-08,16490.0
2018-05-09,16405.0
2018-05-10,16595.0
2018-05-11,16790.0
2018-05-14,16705.0
2018-05-15,16430.0
2018-05-16,16535.0
2018-05-17,16380.0
2018-05-18,16490.0
2018-05-21,16555.0
2018-05-23,16760.0
2018-05-24,16650.0
2018-05-25,16715.0
2018-05-28,16855.0
2018-05-29,16535.0
2018-05-30,15825.0
2018-05-31,15955.0
2018-06-01,16125.0
2018-06-04,16320.0
2018-06-05,16395.0
2018-06-07,16660.0
2018-06-08,16335.0
2018-06-11,16600.0
2018-06-12,16565.0
2018-06-14,16020.0
2018-06-15,15800.0
2018-06-18,15420.0
2018-06-19,15020.0
2018-06-20,15270.0
2018-06-21,14955.0
2018-06-22,15180.0
2018-06-25,15200.0
2018-06-26,15160.0
2018-06-27,15050.0
2018-06-28,14750.0
2018-06-29,14815.0
2018-07-02,14175.0
2018-07-03,14215.0
2018-07-04,14130.0
2018-07-05,14050.0
2018-07-06,14240.0
2018-07-09,14455.0
2018-07-10,14510.0
2018-07-11,14340.0
2018-07-12,14435.0
2018-07-13,14725.0
2018-07-16,14630.0
2018-07-17,14595.0
2018-07-18,14520.0
2018-07-19,14470.0
2018-07-20,14595.0
2018-07-23,14365.0
2018-07-24,14450.0
2018-07-25,14390.0
2018-07-26,14560.0
2018-07-27,14650.0
2018-07-30,14590.0
2018-07-31,14635.0
2018-08-01,14740.0
2018-08-02,14225.0
2018-08-03,14420.0
2018-08-06,14395.0
2018-08-07,14585.0
2018-08-08,14575.0
2018-08-09,14570.0
2018-08-10,14245.0
2018-08-13,13880.0
2018-08-14,14005.0
2018-08-16,13720.0
2018-08-17,13715.0
2018-08-20,13740.0
2018-08-21,14035.0
2018-08-22,14140.0
2018-08-23,14245.0
2018-08-24,14370.0
2018-08-27,14515.0
2018-08-28,14535.0
2018-08-29,14605.0
2018-08-30,14630.0
2018-08-31,14735.0
2018-09-03,14555.0
2018-09-04,14700.0
2018-09-05,14310.0
2018-09-06,14255.0
2018-09-07,14105.0
2018-09-10,14155.0
2018-09-11,14080.0
2018-09-12,14040.0
2018-09-13,14085.0
2018-09-14,14535.0
2018-09-17,14295.0
2018-09-18,14430.0
2018-09-19,14440.0
2018-09-20,14700.0
2018-09-21,14830.0
2018-09-27,15055.0
2018-09-28,14885.0
2018-10-01,14845.0
2018-10-02,14480.0
2018-10-04,14015.0
2018-10-05,13980.0
