Date,TIGER 200 중공업
2018-02-01,3400.0
2018-02-02,3360.0
2018-02-05,3255.0
2018-02-06,3210.0
2018-02-07,3135.0
2018-02-08,3195.0
2018-02-09,3150.0
2018-02-12,3080.0
2018-02-13,2995.0
2018-02-14,3070.0
2018-02-19,3160.0
2018-02-20,3100.0
2018-02-21,3090.0
2018-02-22,3040.0
2018-02-23,3100.0
2018-02-26,3145.0
2018-02-27,3145.0
2018-02-28,3130.0
2018-03-02,3070.0
2018-03-05,3005.0
2018-03-06,3155.0
2018-03-07,3140.0
2018-03-08,3240.0
2018-03-09,3275.0
2018-03-12,3370.0
2018-03-13,3330.0
2018-03-14,3275.0
2018-03-15,3280.0
2018-03-16,3300.0
2018-03-19,3270.0
2018-03-20,3300.0
2018-03-21,3345.0
2018-03-22,3355.0
2018-03-23,3255.0
2018-03-26,3280.0
2018-03-27,3310.0
2018-03-28,3290.0
2018-03-29,3235.0
2018-03-30,3215.0
2018-04-02,3100.0
2018-04-03,3095.0
2018-04-04,3025.0
2018-04-05,3130.0
2018-04-06,3120.0
2018-04-09,3115.0
2018-04-10,3065.0
2018-04-11,3090.0
2018-04-12,3115.0
2018-04-13,3120.0
2018-04-16,3100.0
2018-04-17,3080.0
2018-04-18,3110.0
2018-04-19,3175.0
2018-04-20,3175.0
2018-04-23,3150.0
2018-04-24,3145.0
2018-04-25,3050.0
2018-04-26,3160.0
2018-04-27,3130.0
2018-04-30,3225.0
2018-05-02,3295.0
2018-05-03,3210.0
2018-05-04,3340.0
2018-05-08,3390.0
2018-05-09,3420.0
2018-05-10,3505.0
2018-05-11,3530.0
2018-05-14,3650.0
2018-05-15,3605.0
2018-05-16,3460.0
2018-05-17,3440.0
2018-05-18,3555.0
2018-05-21,3540.0
2018-05-23,3480.0
2018-05-24,3455.0
2018-05-25,3280.0
2018-05-28,3415.0
2018-05-29,3435.0
2018-05-30,3430.0
2018-05-31,3485.0
2018-06-01,3450.0
2018-06-04,3490.0
2018-06-05,3480.0
2018-06-07,3485.0
2018-06-08,3400.0
2018-06-11,3475.0
2018-06-12,3435.0
2018-06-14,3235.0
2018-06-15,3235.0
2018-06-18,3170.0
2018-06-19,3050.0
2018-06-20,3120.0
2018-06-21,3070.0
2018-06-22,3110.0
2018-06-25,3160.0
2018-06-26,3095.0
2018-06-27,2980.0
2018-06-28,2970.0
2018-06-29,3025.0
2018-07-02,2885.0
2018-07-03,2895.0
2018-07-04,2885.0
2018-07-05,2865.0
2018-07-06,2935.0
2018-07-09,2860.0
2018-07-10,2850.0
2018-07-11,2850.0
2018-07-12,2810.0
2018-07-13,2825.0
2018-07-16,2840.0
2018-07-17,2810.0
2018-07-18,2740.0
2018-07-19,2730.0
2018-07-20,2745.0
2018-07-23,2780.0
2018-07-24,2835.0
2018-07-25,2845.0
2018-07-26,2910.0
2018-07-27,2935.0
2018-07-30,2980.0
2018-07-31,2965.0
2018-08-01,2980.0
2018-08-02,2925.0
2018-08-03,3040.0
2018-08-06,3055.0
