Date,KODEX 보험
2016-05-16,8630.0
2016-05-17,8630.0
2016-05-18,8695.0
2016-05-19,8715.0
2016-05-20,8650.0
2016-05-23,8560.0
2016-05-24,8520.0
2016-05-25,8540.0
2016-05-26,8560.0
2016-05-27,8560.0
2016-05-30,8565.0
2016-05-31,8625.0
2016-06-01,8655.0
2016-06-02,8725.0
2016-06-03,8595.0
2016-06-07,8650.0
2016-06-08,8700.0
2016-06-09,8520.0
2016-06-10,8490.0
2016-06-13,8405.0
2016-06-14,8345.0
2016-06-15,8285.0
2016-06-16,8125.0
2016-06-17,8125.0
2016-06-20,8210.0
2016-06-21,8260.0
2016-06-22,8245.0
2016-06-23,8355.0
2016-06-24,8145.0
2016-06-27,8020.0
2016-06-28,7975.0
2016-06-29,8050.0
2016-06-30,8125.0
2016-07-01,8190.0
2016-07-04,8080.0
2016-07-05,7940.0
2016-07-06,7815.0
2016-07-07,7880.0
2016-07-08,7830.0
2016-07-11,7905.0
2016-07-12,7975.0
2016-07-13,7995.0
2016-07-14,8000.0
2016-07-15,8090.0
2016-07-18,8000.0
2016-07-19,7960.0
2016-07-20,7945.0
2016-07-21,7920.0
2016-07-22,8025.0
2016-07-25,8080.0
2016-07-26,8035.0
2016-07-27,8035.0
2016-07-28,7940.0
2016-07-29,8045.0
2016-08-01,8225.0
2016-08-02,8225.0
2016-08-03,8110.0
2016-08-04,8095.0
2016-08-05,8190.0
2016-08-08,8250.0
2016-08-09,8280.0
2016-08-10,8355.0
2016-08-11,8330.0
2016-08-12,8275.0
2016-08-16,8250.0
2016-08-17,8305.0
2016-08-18,8430.0
2016-08-19,8205.0
2016-08-22,8055.0
2016-08-23,8070.0
2016-08-24,8080.0
2016-08-25,8115.0
2016-08-26,8125.0
2016-08-29,8135.0
2016-08-30,8270.0
2016-08-31,8300.0
2016-09-01,8425.0
2016-09-02,8430.0
2016-09-05,8550.0
2016-09-06,8580.0
2016-09-07,8540.0
2016-09-08,8540.0
2016-09-09,8505.0
2016-09-12,8535.0
2016-09-13,8380.0
2016-09-19,8390.0
2016-09-20,8415.0
2016-09-21,8475.0
2016-09-22,8410.0
2016-09-23,8490.0
2016-09-26,8465.0
2016-09-27,8455.0
2016-09-28,8460.0
2016-09-29,8555.0
2016-09-30,8475.0
2016-10-04,8520.0
2016-10-05,8375.0
2016-10-06,8415.0
2016-10-07,8395.0
2016-10-10,8500.0
2016-10-11,8495.0
2016-10-12,8505.0
2016-10-13,8460.0
2016-10-14,8555.0
2016-10-17,8580.0
2016-10-18,8635.0
2016-10-19,8675.0
2016-10-20,8720.0
2016-10-21,8750.0
2016-10-24,8855.0
2016-10-25,8910.0
2016-10-26,8645.0
2016-10-27,8780.0
2016-10-28,8800.0
2016-10-31,8825.0
2016-11-01,8685.0
2016-11-02,8660.0
2016-11-03,8650.0
2016-11-04,8630.0
2016-11-07,8700.0
2016-11-08,8540.0
2016-11-09,8425.0
2016-11-10,8660.0
2016-11-11,9010.0
2016-11-14,9040.0
2016-11-15,8985.0
2016-11-16,8870.0
2016-11-17,9055.0
2016-11-18,9090.0
2016-11-21,9085.0
2016-11-22,9035.0
2016-11-23,9170.0
2016-11-24,9170.0
2016-11-25,9105.0
2016-11-28,9135.0
2016-11-29,9135.0
2016-11-30,9030.0
2016-12-01,9045.0
2016-12-02,9010.0
2016-12-05,8980.0
2016-12-06,9070.0
2016-12-07,8975.0
2016-12-08,9000.0
2016-12-09,8935.0
2016-12-12,8995.0
2016-12-13,8985.0
2016-12-14,9045.0
2016-12-15,8945.0
2016-12-16,8925.0
2016-12-19,9000.0
2016-12-20,8950.0
2016-12-21,8545.0
2016-12-22,8555.0
2016-12-23,8515.0
2016-12-26,8565.0
2016-12-27,8610.0
2016-12-28,8710.0
2016-12-29,8615.0
2017-01-02,8470.0
2017-01-03,8450.0
2017-01-04,8585.0
2017-01-05,8600.0
2017-01-06,8580.0
2017-01-09,8505.0
2017-01-10,8425.0
2017-01-11,8395.0
2017-01-12,8440.0
2017-01-13,8440.0
2017-01-16,8545.0
2017-01-17,8565.0
2017-01-18,8720.0
2017-01-19,8565.0
2017-01-20,8600.0
2017-01-23,8485.0
2017-01-24,8450.0
2017-01-25,8395.0
2017-01-26,8360.0
2017-01-31,8390.0
2017-02-01,8330.0
2017-02-02,8315.0
2017-02-03,8425.0
2017-02-06,8505.0
2017-02-07,8590.0
2017-02-08,8625.0
2017-02-09,8635.0
2017-02-10,8670.0
2017-02-13,8670.0
2017-02-14,8705.0
2017-02-15,8675.0
2017-02-16,8415.0
2017-02-17,8385.0
2017-02-20,8335.0
2017-02-21,8335.0
2017-02-22,8345.0
2017-02-23,8300.0
2017-02-24,8340.0
2017-02-27,8330.0
2017-02-28,8410.0
2017-03-02,8460.0
2017-03-03,8515.0
2017-03-06,8435.0
2017-03-07,8410.0
2017-03-08,8420.0
2017-03-09,8385.0
2017-03-10,8400.0
2017-03-13,8430.0
2017-03-14,8605.0
2017-03-15,8600.0
2017-03-16,8540.0
2017-03-17,8620.0
2017-03-20,8590.0
2017-03-21,8540.0
2017-03-22,8460.0
2017-03-23,8525.0
2017-03-24,8540.0
2017-03-27,8465.0
2017-03-28,8470.0
2017-03-29,8450.0
2017-03-30,8435.0
2017-03-31,8570.0
2017-04-03,8570.0
2017-04-04,8565.0
2017-04-05,8545.0
2017-04-06,8570.0
2017-04-07,8580.0
2017-04-10,8490.0
2017-04-11,8510.0
2017-04-12,8510.0
2017-04-13,8635.0
2017-04-14,8600.0
2017-04-17,8870.0
2017-04-18,8860.0
2017-04-19,8825.0
2017-04-20,8805.0
2017-04-21,8795.0
2017-04-24,8825.0
2017-04-25,8785.0
2017-04-26,8825.0
2017-04-27,8655.0
2017-04-28,8610.0
2017-05-02,8720.0
