Date,KINDEX 미국다우존스리츠(합성 H)
2018-02-06,63920.0
2018-02-07,64015.0
2018-02-08,63960.0
2018-02-09,62080.0
2018-02-12,63005.0
2018-02-13,63440.0
2018-02-14,63835.0
2018-02-19,64110.0
2018-02-20,64560.0
2018-02-21,64115.0
2018-02-22,62310.0
2018-02-23,63545.0
2018-02-26,64445.0
2018-02-27,64135.0
2018-02-28,62940.0
2018-03-02,62980.0
2018-03-05,62585.0
2018-03-06,63785.0
2018-03-07,63165.0
2018-03-08,64380.0
2018-03-09,64080.0
2018-03-12,64845.0
2018-03-13,64865.0
2018-03-14,65405.0
2018-03-15,65645.0
2018-03-16,65440.0
2018-03-19,65235.0
2018-03-20,65300.0
2018-03-21,65280.0
2018-03-22,64775.0
2018-03-23,64110.0
2018-03-26,63840.0
2018-03-27,64475.0
2018-03-28,64275.0
2018-03-29,65510.0
2018-03-30,65785.0
2018-04-02,64865.0
2018-04-03,64395.0
2018-04-04,64885.0
2018-04-05,66120.0
2018-04-06,65140.0
2018-04-09,65600.0
2018-04-10,66070.0
2018-04-11,64655.0
2018-04-12,65295.0
2018-04-13,70605.0
2018-04-16,64970.0
2018-04-17,65290.0
2018-04-18,65960.0
2018-04-19,65755.0
2018-04-20,64895.0
2018-04-23,64390.0
2018-04-24,64455.0
2018-04-25,64305.0
2018-04-26,64535.0
2018-04-27,64980.0
2018-04-30,66000.0
2018-05-02,65610.0
2018-05-03,65425.0
2018-05-04,66025.0
2018-05-08,66535.0
2018-05-09,66575.0
2018-05-10,66720.0
2018-05-11,67235.0
2018-05-14,67060.0
2018-05-15,66820.0
2018-05-16,65910.0
2018-05-17,65240.0
2018-05-18,65585.0
2018-05-21,65920.0
2018-05-23,65990.0
2018-05-24,66285.0
2018-05-25,66285.0
2018-05-28,66750.0
2018-05-29,66490.0
2018-05-30,66570.0
2018-05-31,67490.0
2018-06-01,67945.0
2018-06-04,67595.0
2018-06-05,68300.0
2018-06-07,68300.0
2018-06-08,68640.0
