Date,KODEX 국고채3년
2017-11-06,54970.0
2017-11-07,55015.0
2017-11-08,55025.0
2017-11-09,54990.0
2017-11-10,55025.0
2017-11-13,54950.0
2017-11-14,54980.0
2017-11-15,54955.0
2017-11-16,54975.0
2017-11-17,55005.0
2017-11-20,55025.0
2017-11-21,55010.0
2017-11-22,55030.0
2017-11-23,55065.0
2017-11-24,55070.0
2017-11-27,55060.0
2017-11-28,55100.0
2017-11-29,55140.0
2017-11-30,55175.0
2017-12-01,55215.0
2017-12-04,55145.0
2017-12-05,55140.0
2017-12-06,55180.0
2017-12-07,55200.0
2017-12-08,55200.0
2017-12-11,55205.0
2017-12-12,54935.0
2017-12-13,54985.0
2017-12-14,54995.0
2017-12-15,54980.0
2017-12-18,54970.0
2017-12-19,54955.0
2017-12-20,54950.0
2017-12-21,54965.0
2017-12-22,54890.0
2017-12-26,54925.0
2017-12-27,54910.0
2017-12-28,54960.0
2018-01-02,54925.0
2018-01-03,54945.0
2018-01-04,54915.0
2018-01-05,54970.0
2018-01-08,54955.0
2018-01-09,54910.0
2018-01-10,54900.0
2018-01-11,54870.0
2018-01-12,54890.0
2018-01-15,54765.0
2018-01-16,54830.0
2018-01-17,54820.0
2018-01-18,54830.0
2018-01-19,54835.0
2018-01-22,54860.0
2018-01-23,54855.0
2018-01-24,54860.0
2018-01-25,54875.0
2018-01-26,54830.0
2018-01-29,54785.0
2018-01-30,54715.0
2018-01-31,54745.0
2018-02-01,54780.0
2018-02-02,54740.0
2018-02-05,54750.0
2018-02-06,54900.0
2018-02-07,54805.0
2018-02-08,54795.0
2018-02-09,54855.0
2018-02-12,54820.0
2018-02-13,54835.0
2018-02-14,54865.0
2018-02-19,54835.0
2018-02-20,54810.0
2018-02-21,54855.0
2018-02-22,54835.0
2018-02-23,54885.0
2018-02-26,54905.0
2018-02-27,54925.0
2018-02-28,54945.0
2018-03-02,54915.0
2018-03-05,54910.0
2018-03-06,54895.0
2018-03-07,54920.0
2018-03-08,54940.0
2018-03-09,54905.0
2018-03-12,54765.0
2018-03-13,54755.0
2018-03-14,54785.0
2018-03-15,54840.0
2018-03-16,54835.0
2018-03-19,54855.0
2018-03-20,54805.0
2018-03-21,54830.0
2018-03-22,54910.0
2018-03-23,54940.0
2018-03-26,54925.0
2018-03-27,54930.0
2018-03-28,54945.0
2018-03-29,54965.0
2018-03-30,54980.0
2018-04-02,54970.0
2018-04-03,55020.0
2018-04-04,55040.0
2018-04-05,55045.0
2018-04-06,55120.0
2018-04-09,55090.0
2018-04-10,55065.0
2018-04-11,55100.0
2018-04-12,55120.0
2018-04-13,55100.0
2018-04-16,55095.0
2018-04-17,55060.0
2018-04-18,55050.0
2018-04-19,55060.0
2018-04-20,55005.0
2018-04-23,54995.0
2018-04-24,55040.0
2018-04-25,55000.0
2018-04-26,55020.0
2018-04-27,55080.0
2018-04-30,55080.0
2018-05-02,55020.0
2018-05-03,55045.0
2018-05-04,54990.0
2018-05-08,54955.0
2018-05-09,54965.0
2018-05-10,55000.0
2018-05-11,55000.0
2018-05-14,54955.0
2018-05-15,54955.0
2018-05-16,54980.0
2018-05-17,55030.0
2018-05-18,55085.0
2018-05-21,55055.0
2018-05-23,55085.0
2018-05-24,55160.0
2018-05-25,55140.0
2018-05-28,55155.0
2018-05-29,55185.0
2018-05-30,55195.0
2018-05-31,55190.0
2018-06-01,55210.0
2018-06-04,55135.0
2018-06-05,55180.0
2018-06-07,55190.0
2018-06-08,55215.0
2018-06-11,55165.0
2018-06-12,54925.0
2018-06-14,54915.0
2018-06-15,54970.0
2018-06-18,54995.0
2018-06-19,55050.0
2018-06-20,55050.0
2018-06-21,55085.0
2018-06-22,55070.0
2018-06-25,55055.0
2018-06-26,55080.0
2018-06-27,55120.0
2018-06-28,55165.0
