Date,TIGER 200 건설
2018-08-22,2970.0
2018-08-23,3015.0
2018-08-24,3040.0
2018-08-27,2965.0
2018-08-28,3000.0
2018-08-29,2990.0
2018-08-30,2990.0
2018-08-31,2990.0
2018-09-03,2985.0
2018-09-04,2995.0
2018-09-05,2985.0
2018-09-06,2985.0
2018-09-07,3055.0
2018-09-10,3230.0
2018-09-11,3230.0
2018-09-12,3220.0
2018-09-13,3215.0
2018-09-14,3235.0
2018-09-17,3225.0
2018-09-18,3180.0
2018-09-19,3120.0
2018-09-20,3115.0
2018-09-21,3170.0
2018-09-27,3165.0
2018-09-28,3185.0
2018-10-01,3210.0
2018-10-02,3225.0
2018-10-04,3205.0
2018-10-05,3160.0
