Date,KOSEF 단기자금
2018-07-18,101595.0
2018-07-19,101615.0
2018-07-20,101620.0
2018-07-23,101625.0
2018-07-24,101630.0
2018-07-25,101635.0
2018-07-26,101650.0
2018-07-27,101650.0
2018-07-30,101650.0
2018-07-31,101655.0
2018-08-01,101660.0
2018-08-02,101680.0
2018-08-03,101685.0
2018-08-06,101695.0
2018-08-07,101695.0
2018-08-08,101705.0
2018-08-09,101725.0
2018-08-10,101725.0
2018-08-13,101735.0
2018-08-14,101740.0
2018-08-16,101755.0
2018-08-17,101760.0
2018-08-20,101770.0
2018-08-21,101785.0
2018-08-22,101780.0
2018-08-23,101800.0
2018-08-24,101800.0
2018-08-27,101810.0
2018-08-28,101810.0
2018-08-29,101820.0
2018-08-30,101820.0
2018-08-31,101835.0
2018-09-03,101850.0
2018-09-04,101860.0
2018-09-05,101865.0
2018-09-06,101875.0
2018-09-07,101875.0
2018-09-10,101880.0
2018-09-11,101885.0
2018-09-12,101890.0
2018-09-13,101895.0
2018-09-14,101895.0
2018-09-17,101895.0
2018-09-18,101890.0
2018-09-19,101895.0
2018-09-20,101925.0
2018-09-21,101915.0
2018-09-27,101930.0
2018-09-28,101925.0
2018-10-01,101935.0
2018-10-02,101940.0
2018-10-04,101955.0
