Date,KINDEX 200
2016-08-02,25160.0
2016-08-03,24865.0
2016-08-04,24905.0
2016-08-05,25175.0
2016-08-08,25345.0
2016-08-09,25560.0
2016-08-10,25470.0
2016-08-11,25485.0
2016-08-12,25580.0
2016-08-16,25600.0
2016-08-17,25540.0
2016-08-18,25730.0
2016-08-19,25800.0
2016-08-22,25660.0
2016-08-23,25795.0
2016-08-24,25670.0
2016-08-25,25705.0
2016-08-26,25630.0
2016-08-29,25595.0
2016-08-30,25735.0
2016-08-31,25720.0
2016-09-01,25540.0
2016-09-02,25610.0
2016-09-05,25940.0
2016-09-06,26035.0
2016-09-07,25975.0
2016-09-08,25910.0
2016-09-09,25680.0
2016-09-12,25040.0
2016-09-13,25130.0
2016-09-19,25345.0
2016-09-20,25410.0
2016-09-21,25560.0
2016-09-22,25805.0
2016-09-23,25790.0
2016-09-26,25700.0
2016-09-27,25865.0
2016-09-28,25805.0
2016-09-29,26000.0
2016-09-30,25770.0
2016-10-04,25865.0
2016-10-05,25855.0
2016-10-06,26025.0
2016-10-07,25940.0
2016-10-10,25985.0
2016-10-11,25615.0
2016-10-12,25590.0
2016-10-13,25355.0
2016-10-14,25485.0
2016-10-17,25570.0
2016-10-18,25735.0
2016-10-19,25745.0
2016-10-20,25775.0
2016-10-21,25660.0
2016-10-24,25850.0
2016-10-25,25820.0
2016-10-26,25500.0
2016-10-27,25625.0
2016-10-28,25615.0
2016-10-31,25630.0
2016-11-01,25580.0
2016-11-02,25250.0
2016-11-03,25325.0
2016-11-04,25255.0
2016-11-07,25480.0
2016-11-08,25530.0
2016-11-09,25020.0
2016-11-10,25500.0
2016-11-11,25260.0
2016-11-14,25065.0
2016-11-15,24975.0
2016-11-16,25050.0
2016-11-17,25035.0
2016-11-18,25040.0
2016-11-21,24960.0
2016-11-22,25270.0
2016-11-23,25370.0
2016-11-24,25215.0
2016-11-25,25245.0
2016-11-28,25310.0
2016-11-29,25340.0
2016-11-30,25475.0
2016-12-01,25495.0
2016-12-02,25310.0
2016-12-05,25260.0
2016-12-06,25575.0
2016-12-07,25610.0
2016-12-08,26070.0
2016-12-09,26105.0
2016-12-12,26055.0
2016-12-13,26125.0
2016-12-14,26130.0
2016-12-15,26120.0
2016-12-16,26165.0
2016-12-19,26200.0
2016-12-20,26255.0
2016-12-21,26200.0
2016-12-22,26190.0
2016-12-23,26165.0
2016-12-26,26195.0
2016-12-27,26230.0
2016-12-28,26375.0
2016-12-29,26390.0
2017-01-02,26475.0
2017-01-03,26675.0
2017-01-04,26685.0
2017-01-05,26580.0
2017-01-06,26720.0
2017-01-09,26775.0
2017-01-10,26730.0
2017-01-11,27240.0
2017-01-12,27325.0
2017-01-13,27235.0
2017-01-16,27080.0
2017-01-17,27190.0
2017-01-18,27180.0
2017-01-19,27220.0
2017-01-20,27145.0
2017-01-23,27155.0
2017-01-24,27155.0
2017-01-25,27260.0
2017-01-26,27490.0
2017-01-31,27340.0
2017-02-01,27420.0
2017-02-02,27280.0
2017-02-03,27315.0
2017-02-06,27375.0
2017-02-07,27320.0
2017-02-08,27210.0
2017-02-09,27270.0
2017-02-10,27300.0
2017-02-13,27310.0
2017-02-14,27260.0
2017-02-15,27345.0
