Date,파워 코스피100
2016-05-04,18270.0
2016-05-09,18175.0
2016-05-10,18275.0
2016-05-11,18210.0
2016-05-12,18170.0
2016-05-13,18015.0
2016-05-16,18020.0
2016-05-17,18050.0
2016-05-18,17940.0
2016-05-19,17910.0
2016-05-20,17870.0
2016-05-23,17930.0
2016-05-24,17840.0
2016-05-25,18020.0
2016-05-26,18015.0
2016-05-27,18120.0
2016-05-30,18110.0
2016-05-31,18240.0
2016-06-01,18245.0
2016-06-02,18295.0
2016-06-03,18300.0
2016-06-07,18540.0
2016-06-08,18700.0
2016-06-09,18680.0
2016-06-10,18615.0
2016-06-13,18265.0
2016-06-14,18200.0
2016-06-15,18200.0
2016-06-16,18100.0
2016-06-17,18135.0
2016-06-20,18315.0
2016-06-21,18385.0
2016-06-22,18475.0
2016-06-23,18480.0
2016-06-24,17910.0
2016-06-27,17950.0
2016-06-28,18020.0
2016-06-29,18210.0
2016-06-30,18360.0
2016-07-01,18520.0
2016-07-04,18570.0
2016-07-05,18560.0
2016-07-06,18165.0
2016-07-07,18345.0
2016-07-08,18285.0
2016-07-11,18575.0
2016-07-12,18575.0
2016-07-13,18735.0
2016-07-14,18805.0
2016-07-15,18890.0
2016-07-18,18940.0
2016-07-19,18910.0
2016-07-20,18855.0
2016-07-21,18865.0
2016-07-22,18825.0
2016-07-25,18900.0
2016-07-26,19045.0
2016-07-27,19045.0
2016-07-28,18990.0
2016-07-29,18960.0
2016-08-01,19300.0
2016-08-02,19000.0
2016-08-03,18810.0
2016-08-04,18765.0
2016-08-05,18990.0
2016-08-08,19150.0
2016-08-09,19290.0
2016-08-10,19235.0
2016-08-11,19235.0
2016-08-12,19320.0
2016-08-16,19325.0
2016-08-17,19320.0
2016-08-18,19475.0
2016-08-19,19560.0
2016-08-22,19450.0
2016-08-23,19545.0
2016-08-24,19450.0
2016-08-25,19450.0
2016-08-26,19360.0
2016-08-29,19400.0
2016-08-30,19485.0
2016-08-31,19435.0
2016-09-01,19350.0
2016-09-02,19385.0
2016-09-05,19630.0
2016-09-06,19740.0
2016-09-07,19705.0
2016-09-08,19750.0
2016-09-09,19510.0
2016-09-12,18940.0
2016-09-13,19040.0
2016-09-19,19235.0
2016-09-20,19250.0
2016-09-21,19425.0
2016-09-22,19550.0
2016-09-23,19525.0
2016-09-26,19475.0
2016-09-27,19590.0
2016-09-28,19520.0
2016-09-29,19660.0
2016-09-30,19455.0
2016-10-04,19600.0
2016-10-05,19585.0
2016-10-06,19795.0
2016-10-07,19720.0
2016-10-10,19720.0
2016-10-11,19350.0
2016-10-12,19350.0
2016-10-13,19250.0
2016-10-14,19325.0
2016-10-17,19405.0
2016-10-18,19545.0
2016-10-19,19580.0
2016-10-20,19580.0
2016-10-21,19510.0
2016-10-24,19720.0
2016-10-25,19625.0
2016-10-26,19390.0
2016-10-27,19460.0
2016-10-28,19505.0
2016-10-31,19490.0
2016-11-01,19495.0
2016-11-02,19265.0
2016-11-03,19230.0
2016-11-04,19195.0
2016-11-07,19310.0
2016-11-08,19415.0
2016-11-09,18970.0
2016-11-10,19385.0
2016-11-11,19130.0
2016-11-14,18950.0
