Date,TIGER 금은선물(H)
2018-06-14,7620.0
2018-06-15,7660.0
2018-06-18,7565.0
2018-06-19,7570.0
2018-06-20,7515.0
2018-06-21,7455.0
2018-06-22,7485.0
2018-06-25,7465.0
2018-06-26,7465.0
2018-06-27,7390.0
2018-06-28,7385.0
2018-06-29,7330.0
2018-07-02,7355.0
2018-07-03,7230.0
2018-07-04,7380.0
2018-07-05,7375.0
2018-07-06,7400.0
2018-07-09,7390.0
2018-07-10,7390.0
2018-07-11,7370.0
2018-07-12,7320.0
2018-07-13,7335.0
2018-07-16,7305.0
2018-07-17,7295.0
2018-07-18,7185.0
2018-07-19,7115.0
2018-07-20,7120.0
2018-07-23,7155.0
2018-07-24,7150.0
2018-07-25,7180.0
2018-07-26,7220.0
2018-07-27,7160.0
2018-07-30,7155.0
2018-07-31,7150.0
2018-08-01,7095.0
2018-08-02,7140.0
2018-08-03,7070.0
2018-08-06,7055.0
2018-08-07,7045.0
2018-08-08,7100.0
2018-08-09,7085.0
2018-08-10,7075.0
2018-08-13,7060.0
2018-08-14,6940.0
2018-08-16,6870.0
2018-08-17,6840.0
2018-08-20,6865.0
2018-08-21,6925.0
2018-08-22,6945.0
2018-08-23,6895.0
2018-08-24,6930.0
2018-08-27,6975.0
2018-08-28,7050.0
2018-08-29,6950.0
2018-08-30,6995.0
2018-08-31,6985.0
2018-09-03,6975.0
2018-09-04,6960.0
2018-09-05,6915.0
2018-09-06,6890.0
2018-09-07,6950.0
2018-09-10,6860.0
2018-09-11,6930.0
2018-09-12,6920.0
2018-09-13,6990.0
2018-09-14,6985.0
2018-09-17,6865.0
2018-09-18,6950.0
2018-09-19,6920.0
2018-09-20,6995.0
2018-09-21,7015.0
2018-09-27,6945.0
2018-09-28,6870.0
2018-10-01,6920.0
2018-10-02,6935.0
