Date,KODEX 콩선물(H)
2017-08-30,10170.0
2017-08-31,10140.0
2017-09-01,10285.0
2017-09-04,10265.0
2017-09-05,10300.0
2017-09-06,10445.0
2017-09-07,10445.0
2017-09-08,10525.0
2017-09-11,10460.0
2017-09-12,10385.0
2017-09-13,10275.0
2017-09-14,10410.0
2017-09-15,10510.0
2017-09-18,10500.0
2017-09-19,10490.0
2017-09-20,10480.0
2017-09-21,10450.0
2017-09-22,10560.0
2017-09-25,10575.0
2017-09-26,10475.0
2017-09-27,10425.0
2017-09-28,10390.0
2017-09-29,10375.0
2017-10-10,10465.0
2017-10-11,10410.0
2017-10-12,10455.0
2017-10-13,10700.0
2017-10-16,10690.0
2017-10-17,10655.0
2017-10-18,10595.0
2017-10-19,10640.0
2017-10-20,10645.0
2017-10-23,10575.0
2017-10-24,10580.0
2017-10-25,10585.0
2017-10-26,10565.0
2017-10-27,10510.0
2017-10-30,10600.0
2017-10-31,10560.0
2017-11-01,10545.0
2017-11-02,10635.0
2017-11-03,10620.0
2017-11-06,10520.0
2017-11-07,10610.0
2017-11-08,10595.0
2017-11-09,10675.0
2017-11-10,10480.0
2017-11-13,10570.0
2017-11-14,10450.0
2017-11-15,10380.0
2017-11-16,10455.0
2017-11-17,10415.0
2017-11-20,10545.0
2017-11-21,10515.0
2017-11-22,10570.0
2017-11-23,10550.0
2017-11-24,10580.0
2017-11-27,10600.0
2017-11-28,10535.0
2017-11-29,10530.0
2017-11-30,10530.0
2017-12-01,10480.0
2017-12-04,10675.0
2017-12-05,10625.0
2017-12-06,10760.0
2017-12-07,10640.0
2017-12-08,10600.0
2017-12-11,10520.0
2017-12-12,10515.0
2017-12-13,10440.0
2017-12-14,10420.0
2017-12-15,10375.0
2017-12-18,10350.0
2017-12-19,10305.0
2017-12-20,10205.0
2017-12-21,10140.0
2017-12-22,10120.0
2017-12-26,10135.0
2017-12-27,10260.0
2017-12-28,10195.0
2018-01-02,10145.0
2018-01-03,10205.0
2018-01-04,10210.0
2018-01-05,10190.0
2018-01-08,10180.0
2018-01-09,10195.0
2018-01-10,10130.0
2018-01-11,10055.0
2018-01-12,10025.0
2018-01-15,10160.0
2018-01-16,10165.0
2018-01-17,10205.0
2018-01-18,10210.0
2018-01-19,10275.0
2018-01-22,10340.0
2018-01-23,10350.0
2018-01-24,10335.0
2018-01-25,10480.0
2018-01-26,10480.0
2018-01-29,10480.0
2018-01-30,10425.0
2018-01-31,10505.0
2018-02-01,10405.0
2018-02-02,10300.0
2018-02-05,10195.0
2018-02-06,10145.0
2018-02-07,10410.0
2018-02-08,10345.0
2018-02-09,10400.0
2018-02-12,10485.0
2018-02-13,10560.0
2018-02-14,10545.0
2018-02-19,10660.0
2018-02-20,10825.0
2018-02-21,10670.0
2018-02-22,10825.0
2018-02-23,10835.0
2018-02-26,10940.0
2018-02-27,10835.0
2018-02-28,10955.0
2018-03-02,11220.0
2018-03-05,11100.0
2018-03-06,11135.0
2018-03-07,11180.0
2018-03-08,11005.0
2018-03-09,10900.0
2018-03-12,10795.0
2018-03-13,10860.0
2018-03-14,10890.0
2018-03-15,10780.0
2018-03-16,10875.0
2018-03-19,10760.0
2018-03-20,10680.0
2018-03-21,10710.0
2018-03-22,10710.0
2018-03-23,10730.0
2018-03-26,10795.0
2018-03-27,10670.0
2018-03-28,10595.0
2018-03-29,10610.0
2018-03-30,10915.0
2018-04-02,10945.0
2018-04-03,10855.0
2018-04-04,10795.0
2018-04-05,10615.0
2018-04-06,10590.0
2018-04-09,10770.0
2018-04-10,10865.0
2018-04-11,11035.0
2018-04-12,10850.0
2018-04-13,11035.0
2018-04-16,10960.0
2018-04-17,10820.0
2018-04-18,10900.0
2018-04-19,10805.0
2018-04-20,10800.0
2018-04-23,10730.0
2018-04-24,10625.0
2018-04-25,10650.0
2018-04-26,10690.0
2018-04-27,10645.0
2018-04-30,10905.0
2018-05-02,10825.0
2018-05-03,10705.0
2018-05-04,10745.0
2018-05-08,10425.0
2018-05-09,10500.0
2018-05-10,10495.0
2018-05-11,10465.0
2018-05-14,10360.0
2018-05-15,10490.0
2018-05-16,10515.0
2018-05-17,10505.0
2018-05-18,10360.0
2018-05-21,10495.0
2018-05-23,10605.0
2018-05-24,10710.0
2018-05-25,10600.0
2018-05-28,10720.0
2018-05-29,10785.0
2018-05-30,10510.0
2018-05-31,10520.0
2018-06-01,10525.0
2018-06-04,10425.0
2018-06-05,10315.0
2018-06-07,10270.0
2018-06-08,10050.0
2018-06-11,9990.0
2018-06-12,9880.0
2018-06-14,9655.0
2018-06-15,9490.0
2018-06-18,9405.0
2018-06-19,9180.0
2018-06-20,9220.0
2018-06-21,9055.0
2018-06-22,9105.0
2018-06-25,9120.0
2018-06-26,9015.0
2018-06-27,8975.0
2018-06-28,8905.0
2018-06-29,8885.0
2018-07-02,8870.0
2018-07-03,8725.0
2018-07-04,8710.0
2018-07-05,8745.0
2018-07-06,8645.0
2018-07-09,8870.0
2018-07-10,8730.0
2018-07-11,8655.0
2018-07-12,8575.0
2018-07-13,8485.0
2018-07-16,8440.0
2018-07-17,8590.0
2018-07-18,8600.0
2018-07-19,8610.0
2018-07-20,8715.0
2018-07-23,8670.0
2018-07-24,8615.0
2018-07-25,8730.0
2018-07-26,8965.0
2018-07-27,8825.0
2018-07-30,8950.0
2018-07-31,8940.0
2018-08-01,9115.0
2018-08-02,9035.0
2018-08-03,8915.0
2018-08-06,9030.0
2018-08-07,9055.0
2018-08-08,9120.0
2018-08-09,9135.0
2018-08-10,9035.0
2018-08-13,8620.0
2018-08-14,8710.0
2018-08-16,8925.0
2018-08-17,8900.0
2018-08-20,9040.0
2018-08-21,8935.0
2018-08-22,8860.0
2018-08-23,8720.0
2018-08-24,8610.0
2018-08-27,8500.0
2018-08-28,8505.0
2018-08-29,8390.0
2018-08-30,8465.0
2018-08-31,8410.0
2018-09-03,8470.0
2018-09-04,8430.0
2018-09-05,8465.0
2018-09-06,8445.0
2018-09-07,8405.0
2018-09-10,8495.0
2018-09-11,8525.0
2018-09-12,8350.0
2018-09-13,8405.0
2018-09-14,8375.0
2018-09-17,8300.0
2018-09-18,8280.0
2018-09-19,8195.0
2018-09-20,8290.0
2018-09-21,8445.0
2018-09-27,8490.0
2018-09-28,8570.0
2018-10-01,8475.0
2018-10-02,8565.0
