Date,TIGER 200 철강소재
2017-10-27,10940.0
2017-10-30,10845.0
2017-10-31,10680.0
2017-11-01,10640.0
2017-11-02,10665.0
2017-11-03,10760.0
2017-11-06,10635.0
2017-11-07,10685.0
2017-11-08,10555.0
2017-11-09,10625.0
2017-11-10,10610.0
2017-11-13,10525.0
2017-11-14,10510.0
2017-11-15,10275.0
2017-11-16,10310.0
2017-11-17,10300.0
2017-11-20,10370.0
2017-11-21,10225.0
2017-11-22,10170.0
2017-11-23,10365.0
2017-11-24,10405.0
2017-11-27,10495.0
2017-11-28,10510.0
2017-11-29,10535.0
2017-11-30,10650.0
2017-12-01,10475.0
2017-12-04,10580.0
2017-12-05,10850.0
2017-12-06,10580.0
2017-12-07,10365.0
2017-12-08,10270.0
2017-12-11,10380.0
2017-12-12,10365.0
2017-12-13,10405.0
2017-12-14,10430.0
2017-12-15,10575.0
2017-12-18,10325.0
2017-12-19,10340.0
2017-12-20,10515.0
2017-12-21,10505.0
2017-12-22,10455.0
2017-12-26,10520.0
2017-12-27,10630.0
2017-12-28,10755.0
2018-01-02,10830.0
2018-01-03,11060.0
2018-01-04,11015.0
2018-01-05,11110.0
2018-01-08,11200.0
2018-01-09,11475.0
2018-01-10,11595.0
2018-01-11,11325.0
2018-01-12,11540.0
2018-01-15,11480.0
2018-01-16,11390.0
2018-01-17,11345.0
2018-01-18,11305.0
2018-01-19,11445.0
2018-01-22,11305.0
2018-01-23,11380.0
2018-01-24,11530.0
2018-01-25,11665.0
2018-01-26,11605.0
2018-01-29,11605.0
2018-01-30,11515.0
2018-01-31,11410.0
2018-02-01,11545.0
2018-02-02,11210.0
2018-02-05,11025.0
2018-02-06,10930.0
2018-02-07,10725.0
2018-02-08,10780.0
2018-02-09,10665.0
2018-02-12,10700.0
2018-02-13,10590.0
2018-02-14,10630.0
2018-02-19,10755.0
2018-02-20,10785.0
2018-02-21,10715.0
2018-02-22,10650.0
2018-02-23,10700.0
2018-02-26,10740.0
2018-02-27,10865.0
2018-02-28,10660.0
2018-03-02,10335.0
2018-03-05,10165.0
2018-03-06,10205.0
2018-03-07,10195.0
2018-03-08,10325.0
2018-03-09,10175.0
2018-03-12,10330.0
2018-03-13,10235.0
2018-03-14,10100.0
2018-03-15,10095.0
2018-03-16,10065.0
2018-03-19,10135.0
2018-03-20,10105.0
2018-03-21,10165.0
2018-03-22,10110.0
2018-03-23,9735.0
2018-03-26,9905.0
2018-03-27,10170.0
2018-03-28,9990.0
2018-03-29,10010.0
2018-03-30,9905.0
2018-04-02,9845.0
2018-04-03,9760.0
2018-04-04,9660.0
2018-04-05,9675.0
2018-04-06,9590.0
2018-04-09,9465.0
2018-04-10,9600.0
2018-04-11,9585.0
2018-04-12,9620.0
2018-04-13,9525.0
2018-04-16,9400.0
2018-04-17,9490.0
2018-04-18,9680.0
2018-04-19,9915.0
2018-04-20,9950.0
2018-04-23,9985.0
2018-04-24,10020.0
2018-04-25,9900.0
2018-04-26,9930.0
2018-04-27,9690.0
2018-04-30,10245.0
2018-05-02,10140.0
2018-05-03,10065.0
2018-05-04,10225.0
2018-05-08,10025.0
2018-05-09,9975.0
2018-05-10,10230.0
2018-05-11,10305.0
2018-05-14,10700.0
2018-05-15,10595.0
2018-05-16,10240.0
2018-05-17,10240.0
2018-05-18,10290.0
2018-05-21,10185.0
2018-05-23,9970.0
2018-05-24,9945.0
2018-05-25,9680.0
2018-05-28,10185.0
2018-05-29,9925.0
2018-05-30,9695.0
2018-05-31,9650.0
2018-06-01,9735.0
2018-06-04,9845.0
2018-06-05,9945.0
2018-06-07,10310.0
2018-06-08,10045.0
2018-06-11,10220.0
2018-06-12,10115.0
2018-06-14,9805.0
2018-06-15,9735.0
2018-06-18,9545.0
2018-06-19,9205.0
2018-06-20,9240.0
2018-06-21,9045.0
2018-06-22,9065.0
2018-06-25,9330.0
2018-06-26,9165.0
2018-06-27,8835.0
2018-06-28,8700.0
2018-06-29,8880.0
2018-07-02,8565.0
2018-07-03,8445.0
2018-07-04,8355.0
2018-07-05,8330.0
2018-07-06,8400.0
2018-07-09,8255.0
2018-07-10,8405.0
2018-07-11,8365.0
2018-07-12,8390.0
2018-07-13,8430.0
2018-07-16,8380.0
2018-07-17,8485.0
2018-07-18,8350.0
2018-07-19,8265.0
2018-07-20,8155.0
2018-07-23,8290.0
2018-07-24,8555.0
2018-07-25,8570.0
2018-07-26,8780.0
2018-07-27,8750.0
2018-07-30,8790.0
2018-07-31,8855.0
2018-08-01,8915.0
2018-08-02,8625.0
2018-08-03,8705.0
2018-08-06,8895.0
2018-08-07,8955.0
2018-08-08,8905.0
2018-08-09,8810.0
2018-08-10,8880.0
2018-08-13,8615.0
2018-08-14,8715.0
2018-08-16,8560.0
2018-08-17,8530.0
2018-08-20,8765.0
2018-08-21,8760.0
2018-08-22,8760.0
2018-08-23,8670.0
2018-08-24,8625.0
2018-08-27,8780.0
2018-08-28,8885.0
2018-08-29,9075.0
2018-08-30,9020.0
2018-08-31,8925.0
2018-09-03,8790.0
2018-09-04,8720.0
2018-09-05,8630.0
2018-09-06,8685.0
2018-09-07,8760.0
2018-09-10,8855.0
2018-09-11,8570.0
2018-09-12,8520.0
2018-09-13,8730.0
2018-09-14,8750.0
2018-09-17,8670.0
2018-09-18,8670.0
2018-09-19,8825.0
2018-09-20,8840.0
2018-09-21,8945.0
2018-09-27,9070.0
2018-09-28,8935.0
2018-10-01,8915.0
2018-10-02,8870.0
2018-10-04,8575.0
