Date,TIGER 인버스
2017-06-30,6780.0
2017-07-03,6780.0
2017-07-04,6810.0
2017-07-05,6790.0
2017-07-06,6790.0
2017-07-07,6820.0
2017-07-10,6790.0
2017-07-11,6760.0
2017-07-12,6750.0
2017-07-13,6675.0
2017-07-14,6670.0
2017-07-17,6650.0
2017-07-18,6640.0
2017-07-19,6645.0
2017-07-20,6600.0
2017-07-21,6575.0
2017-07-24,6575.0
2017-07-25,6620.0
2017-07-26,6635.0
2017-07-27,6605.0
2017-07-28,6735.0
2017-07-31,6725.0
2017-08-01,6680.0
2017-08-02,6670.0
2017-08-03,6780.0
2017-08-04,6740.0
2017-08-07,6750.0
2017-08-08,6760.0
2017-08-09,6835.0
2017-08-10,6865.0
2017-08-11,6985.0
2017-08-14,6930.0
2017-08-16,6890.0
2017-08-17,6855.0
2017-08-18,6870.0
2017-08-21,6865.0
2017-08-22,6840.0
2017-08-23,6835.0
2017-08-24,6820.0
2017-08-25,6800.0
2017-08-28,6835.0
2017-08-29,6865.0
2017-08-30,6845.0
2017-08-31,6885.0
2017-09-01,6885.0
2017-09-04,6955.0
2017-09-05,6970.0
2017-09-06,6980.0
2017-09-07,6905.0
2017-09-08,6890.0
2017-09-11,6835.0
2017-09-12,6820.0
2017-09-13,6830.0
2017-09-14,6785.0
2017-09-15,6755.0
2017-09-18,6650.0
2017-09-19,6660.0
2017-09-20,6665.0
2017-09-21,6650.0
2017-09-22,6705.0
2017-09-25,6695.0
2017-09-26,6750.0
2017-09-27,6745.0
2017-09-28,6745.0
2017-09-29,6710.0
2017-10-10,6570.0
2017-10-11,6515.0
2017-10-12,6465.0
2017-10-13,6465.0
2017-10-16,6465.0
2017-10-17,6445.0
2017-10-18,6450.0
2017-10-19,6480.0
2017-10-20,6445.0
2017-10-23,6435.0
2017-10-24,6430.0
2017-10-25,6430.0
2017-10-26,6480.0
2017-10-27,6435.0
2017-10-30,6420.0
2017-10-31,6350.0
2017-11-01,6250.0
2017-11-02,6270.0
2017-11-03,6255.0
2017-11-06,6285.0
2017-11-07,6290.0
2017-11-08,6270.0
2017-11-09,6285.0
2017-11-10,6320.0
2017-11-13,6335.0
2017-11-14,6345.0
2017-11-15,6385.0
2017-11-16,6335.0
2017-11-17,6345.0
2017-11-20,6375.0
2017-11-21,6365.0
2017-11-22,6325.0
2017-11-23,6335.0
2017-11-24,6335.0
2017-11-27,6430.0
2017-11-28,6405.0
2017-11-29,6420.0
2017-11-30,6525.0
2017-12-01,6525.0
2017-12-04,6455.0
2017-12-05,6435.0
2017-12-06,6540.0
2017-12-07,6550.0
2017-12-08,6535.0
2017-12-11,6535.0
2017-12-12,6565.0
2017-12-13,6515.0
2017-12-14,6495.0
2017-12-15,6500.0
2017-12-18,6495.0
2017-12-19,6490.0
2017-12-20,6500.0
2017-12-21,6630.0
2017-12-22,6600.0
2017-12-26,6630.0
2017-12-27,6565.0
2017-12-28,6480.0
2018-01-02,6445.0
2018-01-03,6430.0
2018-01-04,6480.0
2018-01-05,6395.0
2018-01-08,6355.0
2018-01-09,6365.0
2018-01-10,6415.0
2018-01-11,6440.0
2018-01-12,6425.0
2018-01-15,6415.0
2018-01-16,6365.0
2018-01-17,6380.0
2018-01-18,6385.0
2018-01-19,6375.0
2018-01-22,6435.0
2018-01-23,6365.0
2018-01-24,6350.0
2018-01-25,6285.0
2018-01-26,6275.0
2018-01-29,6220.0
2018-01-30,6305.0
2018-01-31,6295.0
2018-02-01,6295.0
2018-02-02,6425.0
2018-02-05,6500.0
2018-02-06,6600.0
2018-02-07,6755.0
2018-02-08,6705.0
2018-02-09,6895.0
2018-02-12,6800.0
2018-02-13,6750.0
2018-02-14,6670.0
2018-02-19,6635.0
2018-02-20,6710.0
2018-02-21,6690.0
2018-02-22,6725.0
2018-02-23,6635.0
2018-02-26,6605.0
2018-02-27,6635.0
2018-02-28,6720.0
2018-03-02,6805.0
2018-03-05,6900.0
2018-03-06,6755.0
2018-03-07,6735.0
2018-03-08,6700.0
2018-03-09,6600.0
2018-03-12,6555.0
2018-03-13,6515.0
2018-03-14,6530.0
2018-03-15,6495.0
2018-03-16,6505.0
2018-03-19,6570.0
