Date,TIGER 경기방어
2016-09-28,14460.0
2016-09-29,14395.0
2016-09-30,14130.0
2016-10-04,14090.0
2016-10-05,13920.0
2016-10-06,13725.0
2016-10-07,13360.0
2016-10-10,13505.0
2016-10-11,13465.0
2016-10-12,13585.0
2016-10-13,13435.0
2016-10-14,13410.0
2016-10-17,13380.0
2016-10-18,13465.0
2016-10-19,13370.0
2016-10-20,13305.0
2016-10-21,13250.0
2016-10-24,13365.0
2016-10-25,13040.0
2016-10-26,13060.0
2016-10-27,13210.0
2016-10-28,12980.0
2016-10-31,12820.0
2016-11-01,12855.0
2016-11-02,12670.0
2016-11-03,12835.0
2016-11-04,12815.0
2016-11-07,12775.0
2016-11-08,12835.0
2016-11-09,12705.0
2016-11-10,13000.0
2016-11-11,12770.0
2016-11-14,12690.0
2016-11-15,12710.0
2016-11-16,12700.0
2016-11-17,12600.0
2016-11-18,12570.0
2016-11-21,12375.0
2016-11-22,12370.0
2016-11-23,12285.0
2016-11-24,12175.0
2016-11-25,12240.0
2016-11-28,12235.0
2016-11-29,12465.0
2016-11-30,12400.0
2016-12-01,12270.0
2016-12-02,12110.0
2016-12-05,12075.0
2016-12-06,12180.0
2016-12-07,12095.0
2016-12-08,12185.0
2016-12-09,12350.0
2016-12-12,12360.0
2016-12-13,12475.0
2016-12-14,12535.0
2016-12-15,12600.0
2016-12-16,12525.0
2016-12-19,12470.0
2016-12-20,12455.0
2016-12-21,12400.0
2016-12-22,12380.0
2016-12-23,12485.0
2016-12-26,12545.0
2016-12-27,12525.0
2016-12-28,12630.0
2016-12-29,12545.0
2017-01-02,12350.0
2017-01-03,12330.0
2017-01-04,12330.0
2017-01-05,12455.0
2017-01-06,12475.0
2017-01-09,12250.0
2017-01-10,12205.0
2017-01-11,12275.0
2017-01-12,12335.0
2017-01-13,12515.0
2017-01-16,12550.0
2017-01-17,12510.0
2017-01-18,12435.0
2017-01-19,12425.0
2017-01-20,12520.0
2017-01-23,12495.0
2017-01-24,12525.0
2017-01-25,12385.0
2017-01-26,12385.0
2017-01-31,12405.0
2017-02-01,12400.0
2017-02-02,12205.0
2017-02-03,12305.0
2017-02-06,12395.0
2017-02-07,12475.0
2017-02-08,12350.0
2017-02-09,12275.0
2017-02-10,12340.0
2017-02-13,12485.0
2017-02-14,12480.0
2017-02-15,12565.0
2017-02-16,12515.0
2017-02-17,12510.0
2017-02-20,12555.0
2017-02-21,12580.0
2017-02-22,12630.0
2017-02-23,12665.0
2017-02-24,12905.0
2017-02-27,12910.0
2017-02-28,12865.0
2017-03-02,12655.0
2017-03-03,12370.0
2017-03-06,12330.0
2017-03-07,12360.0
2017-03-08,12450.0
2017-03-09,12540.0
2017-03-10,12545.0
2017-03-13,12630.0
2017-03-14,12615.0
2017-03-15,12675.0
2017-03-16,12595.0
2017-03-17,12680.0
2017-03-20,12660.0
2017-03-21,12660.0
2017-03-22,12760.0
2017-03-23,12820.0
2017-03-24,12925.0
2017-03-27,12990.0
2017-03-28,12990.0
2017-03-29,12890.0
2017-03-30,12825.0
2017-03-31,12785.0
2017-04-03,12950.0
2017-04-04,12950.0
2017-04-05,12855.0
2017-04-06,12875.0
2017-04-07,12865.0
2017-04-10,12755.0
2017-04-11,12665.0
2017-04-12,12565.0
2017-04-13,12750.0
2017-04-14,12685.0
2017-04-17,12870.0
2017-04-18,12910.0
2017-04-19,13015.0
2017-04-20,13215.0
2017-04-21,13290.0
2017-04-24,13260.0
2017-04-25,13120.0
2017-04-26,13085.0
2017-04-27,12825.0
2017-04-28,12840.0
2017-05-02,12785.0
2017-05-04,12965.0
2017-05-08,13325.0
2017-05-10,13360.0
2017-05-11,13490.0
2017-05-12,13325.0
2017-05-15,13340.0
2017-05-16,13300.0
2017-05-17,13415.0
2017-05-18,13325.0
2017-05-19,13440.0
2017-05-22,13480.0
2017-05-23,13490.0
2017-05-24,13645.0
2017-05-25,13680.0
2017-05-26,13755.0
2017-05-29,13690.0
2017-05-30,13725.0
2017-05-31,13895.0
2017-06-01,13870.0
2017-06-02,13925.0
2017-06-05,13895.0
2017-06-07,13810.0
2017-06-08,13985.0
2017-06-09,13810.0
2017-06-12,13705.0
2017-06-13,13785.0
2017-06-14,13740.0
2017-06-15,13685.0
2017-06-16,13655.0
2017-06-19,13580.0
2017-06-20,13470.0
2017-06-21,13515.0
2017-06-22,13620.0
2017-06-23,13585.0
2017-06-26,13590.0
2017-06-27,13645.0
2017-06-28,13560.0
2017-06-29,13470.0
2017-06-30,13510.0
2017-07-03,13575.0
2017-07-04,13485.0
2017-07-05,13445.0
2017-07-06,13365.0
