Date,TIGER KRX100
2017-01-03,41755.0
2017-01-04,41885.0
2017-01-05,41885.0
2017-01-06,41900.0
2017-01-09,41900.0
2017-01-10,41900.0
2017-01-11,42470.0
2017-01-12,42640.0
2017-01-13,42650.0
2017-01-16,42320.0
2017-01-17,42460.0
2017-01-18,42460.0
2017-01-19,42650.0
2017-01-20,42490.0
2017-01-23,42475.0
2017-01-24,42475.0
2017-01-25,42535.0
2017-01-26,42895.0
2017-01-31,42690.0
2017-02-01,42550.0
2017-02-02,42505.0
2017-02-03,42420.0
2017-02-06,42515.0
2017-02-07,42625.0
2017-02-08,42495.0
2017-02-09,42445.0
2017-02-10,42660.0
2017-02-13,42585.0
2017-02-14,42495.0
2017-02-15,42495.0
2017-02-16,42590.0
2017-02-17,42495.0
2017-02-20,42615.0
2017-02-21,43010.0
2017-02-22,43185.0
2017-02-23,43205.0
2017-02-24,42880.0
2017-02-27,42660.0
2017-02-28,42775.0
2017-03-02,43055.0
2017-03-03,42515.0
2017-03-06,42570.0
2017-03-07,42775.0
2017-03-08,42830.0
2017-03-09,42795.0
2017-03-10,42795.0
2017-03-13,43200.0
2017-03-14,43805.0
2017-03-15,43735.0
2017-03-16,43965.0
2017-03-17,43995.0
2017-03-20,43935.0
2017-03-21,44400.0
2017-03-22,44250.0
2017-03-23,44565.0
2017-03-24,44420.0
2017-03-27,43930.0
2017-03-28,44135.0
2017-03-29,44185.0
2017-03-30,44105.0
2017-03-31,44335.0
2017-04-03,44195.0
2017-04-04,44015.0
2017-04-05,44015.0
2017-04-06,43820.0
2017-04-07,43745.0
2017-04-10,43520.0
2017-04-11,43185.0
2017-04-12,43185.0
2017-04-13,43305.0
2017-04-14,43455.0
2017-04-17,43745.0
2017-04-18,43665.0
2017-04-19,43600.0
2017-04-20,43775.0
2017-04-21,44160.0
2017-04-24,44445.0
2017-04-25,44805.0
2017-04-26,45160.0
2017-04-27,44270.0
2017-04-28,44310.0
2017-05-02,44855.0
2017-05-04,44905.0
2017-05-08,46375.0
2017-05-10,45890.0
2017-05-11,46545.0
2017-05-12,46235.0
2017-05-15,46235.0
2017-05-16,46230.0
2017-05-17,46240.0
2017-05-18,45890.0
2017-05-19,46400.0
2017-05-22,46690.0
2017-05-23,46815.0
2017-05-24,46770.0
2017-05-25,47290.0
2017-05-26,47560.0
2017-05-29,47860.0
2017-05-30,47375.0
2017-05-31,47375.0
2017-06-01,47290.0
2017-06-02,47650.0
2017-06-05,47890.0
2017-06-07,47620.0
2017-06-08,47620.0
2017-06-09,48035.0
2017-06-12,47535.0
2017-06-13,47765.0
2017-06-14,47810.0
2017-06-15,47725.0
2017-06-16,47725.0
2017-06-19,47840.0
2017-06-20,48025.0
2017-06-21,47470.0
2017-06-22,47795.0
2017-06-23,48115.0
2017-06-26,48330.0
2017-06-27,48400.0
2017-06-28,48400.0
2017-06-29,48530.0
2017-06-30,48435.0
2017-07-03,48570.0
2017-07-04,48390.0
2017-07-05,48300.0
2017-07-06,48530.0
2017-07-07,48310.0
2017-07-10,48300.0
2017-07-11,48530.0
2017-07-12,48500.0
2017-07-13,48805.0
2017-07-14,49240.0
2017-07-17,49195.0
2017-07-18,49250.0
2017-07-19,49315.0
2017-07-20,49570.0
2017-07-21,49995.0
2017-07-24,49880.0
2017-07-25,49760.0
2017-07-26,49695.0
2017-07-27,49750.0
2017-07-28,48995.0
2017-07-31,48995.0
2017-08-01,49220.0
2017-08-02,49410.0
2017-08-03,48550.0
2017-08-04,48775.0
2017-08-07,48955.0
2017-08-08,48950.0
2017-08-09,48385.0
2017-08-10,48220.0
2017-08-11,47260.0
2017-08-14,47395.0
2017-08-16,47755.0
2017-08-17,48190.0
2017-08-18,48020.0
2017-08-21,48150.0
2017-08-22,48195.0
2017-08-23,48200.0
2017-08-24,48385.0
2017-08-25,48495.0
2017-08-28,48415.0
2017-08-29,48050.0
2017-08-30,48365.0
2017-08-31,48285.0
2017-09-01,48255.0
2017-09-04,47590.0
2017-09-05,47520.0
2017-09-06,47395.0
2017-09-07,47955.0
2017-09-08,47915.0
2017-09-11,48070.0
2017-09-12,48330.0
2017-09-13,48225.0
2017-09-14,48415.0
2017-09-15,48720.0
2017-09-18,49540.0
2017-09-19,49770.0
2017-09-20,49690.0
2017-09-21,49535.0
2017-09-22,49530.0
2017-09-25,49530.0
2017-09-26,49165.0
2017-09-27,49130.0
2017-09-28,49265.0
2017-09-29,49315.0
2017-10-10,50650.0
2017-10-11,50720.0
2017-10-12,51055.0
2017-10-13,51305.0
2017-10-16,51420.0
2017-10-17,51440.0
2017-10-18,51440.0
2017-10-19,51235.0
2017-10-20,51425.0
2017-10-23,51530.0
2017-10-24,51530.0
2017-10-25,51540.0
2017-10-26,51305.0
2017-10-27,51465.0
2017-10-30,51650.0
2017-10-31,52025.0
2017-11-01,52915.0
2017-11-02,52940.0
2017-11-03,52660.0
2017-11-06,52440.0
2017-11-07,52590.0
2017-11-08,52620.0
2017-11-09,52620.0
2017-11-10,52420.0
2017-11-13,52420.0
2017-11-14,52410.0
2017-11-15,52010.0
2017-11-16,52665.0
2017-11-17,52665.0
2017-11-20,52675.0
2017-11-21,52525.0
2017-11-22,52660.0
2017-11-23,52660.0
