Date,KINDEX 인버스
2017-10-23,7175.0
2017-10-24,7180.0
2017-10-25,7185.0
2017-10-26,7230.0
2017-10-27,7180.0
2017-10-30,7175.0
2017-10-31,7090.0
2017-11-01,6985.0
2017-11-02,7010.0
2017-11-03,6985.0
2017-11-06,7020.0
2017-11-07,7025.0
2017-11-08,7005.0
2017-11-09,7020.0
2017-11-10,7040.0
2017-11-13,7070.0
2017-11-14,7090.0
2017-11-15,7125.0
2017-11-16,7075.0
2017-11-17,7075.0
2017-11-20,7115.0
2017-11-21,7090.0
2017-11-22,7055.0
2017-11-23,7075.0
2017-11-24,7060.0
2017-11-27,7175.0
2017-11-28,7160.0
2017-11-29,7155.0
2017-11-30,7285.0
2017-12-01,7285.0
2017-12-04,7210.0
2017-12-05,7185.0
2017-12-06,7285.0
2017-12-07,7310.0
2017-12-08,7285.0
2017-12-11,7290.0
2017-12-12,7315.0
2017-12-13,7255.0
2017-12-14,7255.0
2017-12-15,7265.0
2017-12-18,7250.0
2017-12-19,7245.0
2017-12-20,7260.0
2017-12-21,7385.0
2017-12-22,7355.0
2017-12-26,7385.0
2017-12-27,7300.0
2017-12-28,7220.0
2018-01-02,7190.0
2018-01-03,7170.0
2018-01-04,7215.0
2018-01-05,7130.0
2018-01-08,7080.0
2018-01-09,7110.0
2018-01-10,7155.0
2018-01-11,7180.0
2018-01-12,7180.0
2018-01-15,7165.0
2018-01-16,7095.0
2018-01-17,7110.0
2018-01-18,7120.0
2018-01-19,7120.0
2018-01-22,7175.0
2018-01-23,7080.0
2018-01-24,7065.0
2018-01-25,7005.0
2018-01-26,6990.0
2018-01-29,6925.0
2018-01-30,7020.0
2018-01-31,7015.0
2018-02-01,7025.0
2018-02-02,7170.0
2018-02-05,7250.0
2018-02-06,7360.0
2018-02-07,7540.0
2018-02-08,7475.0
2018-02-09,7675.0
2018-02-12,7605.0
2018-02-13,7545.0
2018-02-14,7450.0
2018-02-19,7410.0
2018-02-20,7500.0
2018-02-21,7460.0
2018-02-22,7495.0
2018-02-23,7395.0
2018-02-26,7375.0
2018-02-27,7395.0
2018-02-28,7495.0
2018-03-02,7595.0
2018-03-05,7695.0
2018-03-06,7545.0
2018-03-07,7540.0
2018-03-08,7470.0
2018-03-09,7360.0
2018-03-12,7300.0
2018-03-13,7270.0
2018-03-14,7275.0
2018-03-15,7245.0
2018-03-16,7270.0
2018-03-19,7320.0
2018-03-20,7290.0
2018-03-21,7275.0
2018-03-22,7270.0
2018-03-23,7475.0
2018-03-26,7450.0
2018-03-27,7405.0
2018-03-28,7515.0
2018-03-29,7450.0
2018-03-30,7410.0
2018-04-02,7445.0
2018-04-03,7460.0
2018-04-04,7565.0
2018-04-05,7475.0
2018-04-06,7510.0
2018-04-09,7460.0
2018-04-10,7435.0
2018-04-11,7460.0
2018-04-12,7465.0
2018-04-13,7430.0
2018-04-16,7425.0
2018-04-17,7435.0
2018-04-18,7350.0
2018-04-19,7315.0
2018-04-20,7360.0
2018-04-23,7365.0
2018-04-24,7405.0
2018-04-25,7485.0
2018-04-26,7365.0
2018-04-27,7300.0
2018-04-30,7265.0
2018-05-02,7305.0
2018-05-03,7335.0
2018-05-04,7390.0
2018-05-08,7410.0
2018-05-09,7445.0
2018-05-10,7400.0
2018-05-11,7350.0
2018-05-14,7370.0
2018-05-15,7425.0
2018-05-16,7405.0
2018-05-17,7440.0
2018-05-18,7415.0
2018-05-21,7395.0
2018-05-23,7345.0
2018-05-24,7375.0
2018-05-25,7365.0
2018-05-28,7345.0
2018-05-29,7400.0
2018-05-30,7555.0
2018-05-31,7525.0
2018-06-01,7480.0
2018-06-04,7455.0
2018-06-05,7440.0
2018-06-07,7370.0
2018-06-08,7435.0
2018-06-11,7385.0
2018-06-12,7390.0
2018-06-14,7510.0
2018-06-15,7550.0
2018-06-18,7660.0
2018-06-19,7770.0
2018-06-20,7680.0
2018-06-21,7755.0
2018-06-22,7720.0
2018-06-25,7720.0
2018-06-26,7730.0
2018-06-27,7735.0
2018-06-28,7820.0
2018-06-29,7800.0
2018-07-02,7970.0
2018-07-03,7975.0
2018-07-04,7975.0
2018-07-05,8020.0
2018-07-06,7950.0
2018-07-09,7905.0
2018-07-10,7880.0
2018-07-11,7930.0
2018-07-12,7915.0
2018-07-13,7825.0
2018-07-16,7850.0
2018-07-17,7860.0
2018-07-18,7885.0
2018-07-19,7895.0
2018-07-20,7870.0
2018-07-23,7910.0
2018-07-24,7900.0
2018-07-25,7915.0
2018-07-26,7865.0
2018-07-27,7850.0
2018-07-30,7860.0
2018-07-31,7850.0
2018-08-01,7825.0
2018-08-02,7945.0
2018-08-03,7910.0
2018-08-06,7900.0
2018-08-07,7860.0
2018-08-08,7860.0
2018-08-09,7870.0
2018-08-10,7945.0
2018-08-13,8040.0
2018-08-14,8005.0
2018-08-16,8090.0
2018-08-17,8095.0
2018-08-20,8080.0
2018-08-21,8005.0
2018-08-22,7985.0
2018-08-23,7955.0
2018-08-24,7920.0
2018-08-27,7865.0
2018-08-28,7875.0
2018-08-29,7855.0
2018-08-30,7855.0
2018-08-31,7820.0
2018-09-03,7855.0
2018-09-04,7830.0
2018-09-05,7935.0
2018-09-06,7950.0
2018-09-07,7990.0
2018-09-10,7960.0
2018-09-11,8000.0
2018-09-12,8005.0
2018-09-13,7980.0
2018-09-14,7875.0
2018-09-17,7935.0
2018-09-18,7890.0
2018-09-19,7885.0
2018-09-20,7800.0
2018-09-21,7785.0
2018-09-27,7730.0
2018-09-28,7775.0
2018-10-01,7775.0
2018-10-02,7855.0
2018-10-04,8005.0
2018-10-05,8005.0
