Date,KBSTAR 채권혼합
2018-03-19,56430.0
2018-03-20,56455.0
2018-03-21,56480.0
2018-03-22,56500.0
2018-03-23,56050.0
2018-03-26,56070.0
2018-03-27,56250.0
2018-03-28,56000.0
2018-03-29,56120.0
2018-03-30,56290.0
2018-04-02,56110.0
2018-04-03,56155.0
2018-04-04,55950.0
2018-04-05,56115.0
2018-04-06,56125.0
2018-04-09,56240.0
2018-04-10,56255.0
2018-04-11,56215.0
2018-04-12,56305.0
2018-04-13,56255.0
2018-04-16,56345.0
2018-04-17,56310.0
2018-04-18,56490.0
2018-04-19,56490.0
2018-04-20,56435.0
2018-04-23,56400.0
2018-04-24,56305.0
2018-04-25,56180.0
2018-04-26,56450.0
2018-04-27,56680.0
2018-04-30,56755.0
2018-05-02,56565.0
2018-05-03,56495.0
2018-05-04,56385.0
2018-05-08,56220.0
2018-05-09,56200.0
2018-05-10,56290.0
2018-05-11,56425.0
2018-05-14,56300.0
2018-05-15,56235.0
2018-05-16,56280.0
2018-05-17,56175.0
2018-05-18,56350.0
2018-05-21,56395.0
2018-05-23,56530.0
2018-05-24,56515.0
2018-05-25,56540.0
2018-05-28,56600.0
2018-05-29,56455.0
2018-05-30,56135.0
2018-05-31,56180.0
2018-06-01,56245.0
2018-06-04,56270.0
2018-06-05,56365.0
2018-06-07,56345.0
2018-06-08,56135.0
2018-06-11,56350.0
2018-06-12,56290.0
2018-06-14,56080.0
2018-06-15,55900.0
2018-06-18,55770.0
2018-06-19,55585.0
2018-06-20,55685.0
2018-06-21,55615.0
2018-06-22,55730.0
2018-06-25,55760.0
2018-06-26,55720.0
2018-06-27,55675.0
2018-06-28,55580.0
2018-06-29,55625.0
2018-07-02,55185.0
2018-07-03,55205.0
2018-07-04,55240.0
2018-07-05,55185.0
2018-07-06,55310.0
2018-07-09,55420.0
2018-07-10,55465.0
2018-07-11,55340.0
2018-07-12,55370.0
2018-07-13,55620.0
2018-07-16,55560.0
2018-07-17,55530.0
2018-07-18,55415.0
2018-07-19,55490.0
2018-07-20,55565.0
2018-07-23,55390.0
2018-07-24,55430.0
2018-07-25,55425.0
2018-07-26,55540.0
2018-07-27,55535.0
2018-07-30,55440.0
2018-07-31,55570.0
2018-08-01,55520.0
2018-08-02,55355.0
2018-08-03,55465.0
2018-08-06,55370.0
2018-08-07,55590.0
2018-08-08,55585.0
2018-08-09,55600.0
2018-08-10,55440.0
2018-08-13,55120.0
2018-08-14,55290.0
2018-08-16,55140.0
2018-08-17,55140.0
2018-08-20,55230.0
2018-08-21,55425.0
2018-08-22,55550.0
2018-08-23,55595.0
2018-08-24,55670.0
2018-08-27,55765.0
2018-08-28,55750.0
2018-08-29,55840.0
2018-08-30,55845.0
2018-08-31,55955.0
2018-09-03,55880.0
2018-09-04,55965.0
2018-09-05,55765.0
2018-09-06,55710.0
2018-09-07,55630.0
2018-09-10,55590.0
2018-09-11,55605.0
2018-09-12,55625.0
2018-09-13,55620.0
2018-09-14,55745.0
2018-09-17,55640.0
2018-09-18,55755.0
2018-09-19,55750.0
2018-09-20,55850.0
2018-09-21,55900.0
2018-09-27,56055.0
2018-09-28,56025.0
2018-10-01,55995.0
2018-10-02,55805.0
