Date,KBSTAR 주식혼합
2016-06-23,29320.0
2016-06-24,28615.0
2016-06-27,28640.0
2016-06-28,28860.0
2016-06-29,28980.0
2016-06-30,29280.0
2016-07-01,29495.0
2016-07-04,29535.0
2016-07-05,29475.0
2016-07-06,29015.0
2016-07-07,29235.0
2016-07-08,29205.0
2016-07-11,29460.0
2016-07-12,29495.0
2016-07-13,29620.0
2016-07-14,29610.0
2016-07-15,29725.0
2016-07-18,29760.0
2016-07-19,29815.0
2016-07-20,29725.0
2016-07-21,29760.0
2016-07-22,29735.0
2016-07-25,29720.0
2016-07-26,29695.0
2016-07-27,29900.0
2016-07-28,29860.0
2016-07-29,29915.0
2016-08-01,30010.0
2016-08-02,29890.0
2016-08-03,29645.0
2016-08-04,29660.0
2016-08-05,29850.0
2016-08-08,30000.0
2016-08-09,30070.0
2016-08-10,30130.0
2016-08-11,30115.0
2016-08-12,30255.0
2016-08-16,30250.0
2016-08-17,30150.0
2016-08-18,30365.0
2016-08-19,30360.0
2016-08-22,30300.0
2016-08-23,30360.0
2016-08-24,30300.0
2016-08-25,30360.0
2016-08-26,30205.0
2016-08-29,30140.0
2016-08-30,30305.0
2016-08-31,30255.0
2016-09-01,30155.0
2016-09-02,30180.0
2016-09-05,30475.0
2016-09-06,30590.0
2016-09-07,30695.0
2016-09-08,30630.0
2016-09-09,30330.0
2016-09-12,29745.0
2016-09-13,29920.0
2016-09-19,29945.0
2016-09-20,30005.0
2016-09-21,30085.0
2016-09-22,30470.0
2016-09-23,30360.0
2016-09-26,30310.0
2016-09-27,30495.0
2016-09-28,30390.0
2016-09-29,30545.0
2016-09-30,30380.0
2016-10-04,30435.0
2016-10-05,30425.0
2016-10-06,30520.0
2016-10-07,30520.0
2016-10-10,30510.0
2016-10-11,30195.0
2016-10-12,30115.0
2016-10-13,30135.0
2016-10-14,30115.0
2016-10-17,30225.0
2016-10-18,30280.0
2016-10-19,30320.0
2016-10-20,30360.0
2016-10-21,30260.0
2016-10-24,30430.0
2016-10-25,30325.0
2016-10-26,30070.0
2016-10-27,30190.0
2016-10-28,30200.0
2016-10-31,30190.0
2016-11-01,30185.0
2016-11-02,29900.0
2016-11-03,29940.0
2016-11-04,29850.0
2016-11-07,30065.0
2016-11-08,30065.0
2016-11-09,30200.0
2016-11-10,30065.0
2016-11-11,29870.0
2016-11-14,29855.0
2016-11-15,29585.0
2016-11-16,29665.0
2016-11-17,29595.0
2016-11-18,29570.0
2016-11-21,29560.0
2016-11-22,29780.0
2016-11-23,29765.0
2016-11-24,29765.0
2016-11-25,29700.0
2016-11-28,29880.0
2016-11-29,29805.0
2016-11-30,30020.0
2016-12-01,29970.0
2016-12-02,29810.0
2016-12-05,29810.0
2016-12-06,29985.0
2016-12-07,30115.0
2016-12-08,30180.0
2016-12-09,30435.0
2016-12-12,30395.0
2016-12-13,30430.0
2016-12-14,30485.0
2016-12-15,30485.0
2016-12-16,30560.0
2016-12-19,30590.0
2016-12-20,30585.0
2016-12-21,30625.0
2016-12-22,30540.0
2016-12-23,30565.0
2016-12-26,30555.0
2016-12-27,30635.0
2016-12-28,30780.0
2016-12-29,30795.0
2017-01-02,30815.0
2017-01-03,30995.0
2017-01-04,31010.0
2017-01-05,31005.0
2017-01-06,31045.0
2017-01-09,31115.0
2017-01-10,31055.0
2017-01-11,31485.0
2017-01-12,31510.0
2017-01-13,31480.0
2017-01-16,31275.0
2017-01-17,31415.0
2017-01-18,31365.0
2017-01-19,31390.0
2017-01-20,31375.0
2017-01-23,31320.0
2017-01-24,31365.0
2017-01-25,31425.0
2017-01-26,31655.0
2017-01-31,31500.0
2017-02-01,31525.0
2017-02-02,31480.0
2017-02-03,31515.0
2017-02-06,31525.0
2017-02-07,31485.0
2017-02-08,31270.0
2017-02-09,31515.0
2017-02-10,31540.0
2017-02-13,31460.0
2017-02-14,31450.0
2017-02-15,31500.0
2017-02-16,31485.0
2017-02-17,31475.0
2017-02-20,31500.0
2017-02-21,31840.0
2017-02-22,31805.0
2017-02-23,31805.0
2017-02-24,31625.0
2017-02-27,31525.0
2017-02-28,31660.0
2017-03-02,31760.0
2017-03-03,31680.0
2017-03-06,31640.0
2017-03-07,31705.0
2017-03-08,31770.0
2017-03-09,31730.0
2017-03-10,31785.0
2017-03-13,32085.0
2017-03-14,32295.0
2017-03-15,32215.0
2017-03-16,32460.0
2017-03-17,32565.0
2017-03-20,32520.0
2017-03-21,32750.0
2017-03-22,32680.0
2017-03-23,32700.0
2017-03-24,32670.0
2017-03-27,32475.0
2017-03-28,32590.0
2017-03-29,32585.0
2017-03-30,32650.0
2017-03-31,32605.0
2017-04-03,32580.0
2017-04-04,32535.0
2017-04-05,32495.0
2017-04-06,32425.0
2017-04-07,32400.0
2017-04-10,32275.0
2017-04-11,32100.0
2017-04-12,32170.0
2017-04-13,32410.0
2017-04-14,32210.0
2017-04-17,32320.0
2017-04-18,32375.0
2017-04-19,32200.0
2017-04-20,32335.0
2017-04-21,32475.0
2017-04-24,32640.0
2017-04-25,32935.0
2017-04-26,33025.0
2017-04-27,33080.0
2017-04-28,33095.0
2017-05-02,33235.0
2017-05-04,33450.0
2017-05-08,34065.0
2017-05-10,33840.0
2017-05-11,34120.0
2017-05-12,34035.0
2017-05-15,34060.0
2017-05-16,34145.0
2017-05-17,34125.0
2017-05-18,34035.0
2017-05-19,34040.0
2017-05-22,34235.0
2017-05-23,34280.0
2017-05-24,34330.0
2017-05-25,34580.0
2017-05-26,34775.0
2017-05-29,34730.0
2017-05-30,34545.0
2017-05-31,34600.0
2017-06-01,34490.0
2017-06-02,34835.0
2017-06-05,34825.0
2017-06-07,34475.0
2017-06-08,34495.0
2017-06-09,34765.0
2017-06-12,34495.0
2017-06-13,34660.0
2017-06-14,34565.0
2017-06-15,34550.0
2017-06-16,34540.0
2017-06-19,34695.0
2017-06-20,34755.0
2017-06-21,34600.0
2017-06-22,34740.0
2017-06-23,34760.0
2017-06-26,34970.0
2017-06-27,34960.0
2017-06-28,34875.0
2017-06-29,35050.0
2017-06-30,34960.0
2017-07-03,35005.0
2017-07-04,34860.0
2017-07-05,34930.0
2017-07-06,34990.0
2017-07-07,34905.0
2017-07-10,34990.0
2017-07-11,35130.0
2017-07-12,35140.0
2017-07-13,35455.0
2017-07-14,35310.0
2017-07-17,35510.0
2017-07-18,35540.0
2017-07-19,35405.0
2017-07-20,35675.0
2017-07-21,35755.0
2017-07-24,35745.0
2017-07-25,35630.0
2017-07-26,35585.0
2017-07-27,35675.0
2017-07-28,35215.0
2017-07-31,35185.0
2017-08-01,35370.0
2017-08-02,35445.0
2017-08-03,35005.0
2017-08-04,35140.0
2017-08-07,35155.0
2017-08-08,35130.0
2017-08-09,34800.0
2017-08-10,34685.0
2017-08-11,34255.0
2017-08-14,34345.0
2017-08-16,34590.0
2017-08-17,34765.0
2017-08-18,34735.0
2017-08-21,34695.0
2017-08-22,34785.0
2017-08-23,34795.0
2017-08-24,34900.0
2017-08-25,34950.0
2017-08-28,34790.0
2017-08-29,34690.0
2017-08-30,34780.0
2017-08-31,34680.0
2017-09-01,34690.0
2017-09-04,34405.0
2017-09-05,34355.0
2017-09-06,34310.0
2017-09-07,34620.0
2017-09-08,34550.0
2017-09-11,34835.0
2017-09-12,34780.0
2017-09-13,34925.0
2017-09-14,34890.0
2017-09-15,35050.0
2017-09-18,35525.0
2017-09-19,35430.0
2017-09-20,35525.0
2017-09-21,35435.0
2017-09-22,35360.0
2017-09-25,35275.0
2017-09-26,35080.0
2017-09-27,35135.0
2017-09-28,35075.0
2017-09-29,35330.0
2017-10-10,35740.0
2017-10-11,36060.0
