Date,TIGER 소프트웨어
2018-01-30,9270.0
2018-01-31,9280.0
2018-02-01,9340.0
2018-02-02,9210.0
2018-02-05,8890.0
2018-02-06,8705.0
2018-02-07,8485.0
2018-02-08,8535.0
2018-02-09,8190.0
2018-02-12,8215.0
2018-02-13,8340.0
2018-02-14,8420.0
2018-02-19,8540.0
2018-02-20,8390.0
2018-02-21,8515.0
2018-02-22,8570.0
2018-02-23,8705.0
2018-02-26,8630.0
2018-02-27,8660.0
2018-02-28,8445.0
2018-03-02,8420.0
2018-03-05,8265.0
2018-03-06,8500.0
2018-03-07,8440.0
2018-03-08,8540.0
2018-03-09,8720.0
2018-03-12,8795.0
2018-03-13,8880.0
2018-03-14,8775.0
2018-03-15,8870.0
2018-03-16,8880.0
2018-03-19,8725.0
2018-03-20,8900.0
2018-03-21,8890.0
2018-03-22,8905.0
2018-03-23,8590.0
2018-03-26,8735.0
2018-03-27,8775.0
2018-03-28,8635.0
2018-03-29,8720.0
2018-03-30,8875.0
2018-04-02,8795.0
2018-04-03,8760.0
2018-04-04,8470.0
2018-04-05,8515.0
2018-04-06,8420.0
2018-04-09,8415.0
2018-04-10,8435.0
2018-04-11,8285.0
2018-04-12,8225.0
2018-04-13,8225.0
2018-04-16,8100.0
2018-04-17,8105.0
2018-04-18,8170.0
2018-04-19,8025.0
2018-04-20,8020.0
2018-04-23,7910.0
2018-04-24,7970.0
2018-04-25,7960.0
2018-04-26,7910.0
2018-04-27,7925.0
2018-04-30,7940.0
2018-05-02,7905.0
2018-05-03,7855.0
2018-05-04,7640.0
2018-05-08,7550.0
2018-05-09,7720.0
2018-05-10,7725.0
2018-05-11,7710.0
2018-05-14,7675.0
2018-05-15,7695.0
2018-05-16,7750.0
2018-05-17,7730.0
2018-05-18,7680.0
2018-05-21,7695.0
2018-05-23,7680.0
2018-05-24,7755.0
2018-05-25,7785.0
2018-05-28,7705.0
2018-05-29,7675.0
2018-05-30,7535.0
2018-05-31,7580.0
2018-06-01,7700.0
2018-06-04,7760.0
2018-06-05,7765.0
2018-06-07,7815.0
2018-06-08,7940.0
2018-06-11,7950.0
2018-06-12,7950.0
2018-06-14,7865.0
2018-06-15,7525.0
2018-06-18,7455.0
2018-06-19,7480.0
2018-06-20,7510.0
2018-06-21,7550.0
2018-06-22,7735.0
2018-06-25,7840.0
2018-06-26,7820.0
2018-06-27,7850.0
2018-06-28,7760.0
2018-06-29,7865.0
2018-07-02,7725.0
2018-07-03,7730.0
2018-07-04,7875.0
2018-07-05,7830.0
2018-07-06,7770.0
2018-07-09,7930.0
2018-07-10,8020.0
2018-07-11,7995.0
2018-07-12,8195.0
2018-07-13,8110.0
2018-07-16,7975.0
2018-07-17,7975.0
2018-07-18,7970.0
2018-07-19,7885.0
2018-07-20,7915.0
2018-07-23,7885.0
2018-07-24,7840.0
2018-07-25,7845.0
2018-07-26,7925.0
2018-07-27,7880.0
2018-07-30,7715.0
2018-07-31,7680.0
2018-08-01,7730.0
2018-08-02,7655.0
2018-08-03,7670.0
2018-08-06,7680.0
2018-08-07,7795.0
2018-08-08,7855.0
2018-08-09,7935.0
2018-08-10,7935.0
2018-08-13,7765.0
2018-08-14,7960.0
2018-08-16,7830.0
2018-08-17,7875.0
2018-08-20,7805.0
2018-08-21,7910.0
2018-08-22,7850.0
2018-08-23,7985.0
2018-08-24,8020.0
2018-08-27,8105.0
2018-08-28,7995.0
2018-08-29,8035.0
2018-08-30,8020.0
2018-08-31,8020.0
2018-09-03,7960.0
2018-09-04,8055.0
2018-09-05,7915.0
2018-09-06,7875.0
2018-09-07,7920.0
2018-09-10,7980.0
2018-09-11,7940.0
2018-09-12,7960.0
2018-09-13,8010.0
2018-09-14,7980.0
2018-09-17,7940.0
2018-09-18,7935.0
2018-09-19,7940.0
2018-09-20,8010.0
2018-09-21,7960.0
2018-09-27,7900.0
2018-09-28,7880.0
2018-10-01,7905.0
2018-10-02,7695.0
2018-10-04,7685.0
