Date,TIGER 200 IT
2017-03-09,17380.0
2017-03-10,17495.0
2017-03-13,17900.0
2017-03-14,18020.0
2017-03-15,17955.0
2017-03-16,18000.0
2017-03-17,18000.0
2017-03-20,17915.0
2017-03-21,18235.0
2017-03-22,18370.0
2017-03-23,18420.0
2017-03-24,18445.0
2017-03-27,18450.0
2017-03-28,18405.0
2017-03-29,18620.0
2017-03-30,18555.0
2017-03-31,18430.0
2017-04-03,18655.0
2017-04-04,18595.0
2017-04-05,18525.0
2017-04-06,18370.0
2017-04-07,18415.0
2017-04-10,18280.0
2017-04-11,18105.0
2017-04-12,18160.0
2017-04-13,18495.0
2017-04-14,18355.0
2017-04-17,18195.0
2017-04-18,18300.0
2017-04-19,18215.0
2017-04-20,18385.0
2017-04-21,18555.0
2017-04-24,18650.0
2017-04-25,18870.0
2017-04-26,18970.0
2017-04-27,18810.0
2017-04-28,18915.0
2017-05-02,19125.0
2017-05-04,19415.0
2017-05-08,19910.0
2017-05-10,19510.0
2017-05-11,19750.0
2017-05-12,19705.0
2017-05-15,19720.0
2017-05-16,19675.0
2017-05-17,19750.0
2017-05-18,19665.0
2017-05-19,19590.0
2017-05-22,19795.0
2017-05-23,19730.0
2017-05-24,19920.0
2017-05-25,20035.0
2017-05-26,20240.0
2017-05-29,20430.0
2017-05-30,20310.0
2017-05-31,20160.0
2017-06-01,20080.0
2017-06-02,20500.0
2017-06-05,20535.0
2017-06-07,20510.0
2017-06-08,20695.0
2017-06-09,21260.0
2017-06-12,20590.0
2017-06-13,20800.0
2017-06-14,20825.0
2017-06-15,21005.0
2017-06-16,20960.0
2017-06-19,21285.0
2017-06-20,21280.0
2017-06-21,21380.0
2017-06-22,21345.0
2017-06-23,21630.0
2017-06-26,22100.0
2017-06-27,22190.0
2017-06-28,21660.0
2017-06-29,21830.0
2017-06-30,21640.0
2017-07-03,21370.0
2017-07-04,21455.0
2017-07-05,21805.0
2017-07-06,21730.0
2017-07-07,21505.0
2017-07-10,21370.0
2017-07-11,21625.0
2017-07-12,21525.0
2017-07-13,21945.0
2017-07-14,21815.0
2017-07-17,21990.0
2017-07-18,22030.0
2017-07-19,21925.0
2017-07-20,21990.0
2017-07-21,21990.0
2017-07-24,22000.0
2017-07-25,21700.0
2017-07-26,21155.0
2017-07-27,21270.0
2017-07-28,20420.0
2017-07-31,20735.0
2017-08-01,20715.0
2017-08-02,21060.0
2017-08-03,20580.0
2017-08-04,20575.0
2017-08-07,20730.0
2017-08-08,20975.0
2017-08-09,20495.0
2017-08-10,20475.0
2017-08-11,20070.0
2017-08-14,20485.0
2017-08-16,20750.0
2017-08-17,20800.0
2017-08-18,20875.0
2017-08-21,20905.0
2017-08-22,21080.0
2017-08-23,21130.0
2017-08-24,21260.0
2017-08-25,21255.0
2017-08-28,21025.0
2017-08-29,20950.0
2017-08-30,21380.0
2017-08-31,21305.0
2017-09-01,21275.0
2017-09-04,21020.0
2017-09-05,21390.0
2017-09-06,21605.0
2017-09-07,21795.0
2017-09-08,21810.0
2017-09-11,22135.0
2017-09-12,22210.0
2017-09-13,22550.0
2017-09-14,22895.0
2017-09-15,23030.0
2017-09-18,23555.0
2017-09-19,23320.0
2017-09-20,23360.0
2017-09-21,23340.0
2017-09-22,23180.0
2017-09-25,23365.0
2017-09-26,22870.0
2017-09-27,22825.0
2017-09-28,22695.0
2017-09-29,22910.0
2017-10-10,23570.0
2017-10-11,23885.0
2017-10-12,23920.0
2017-10-13,23655.0
2017-10-16,23465.0
2017-10-17,23645.0
2017-10-18,23520.0
2017-10-19,23310.0
2017-10-20,23590.0
2017-10-23,23945.0
2017-10-24,23635.0
2017-10-25,23600.0
2017-10-26,23265.0
2017-10-27,23540.0
2017-10-30,23835.0
2017-10-31,24165.0
2017-11-01,24620.0
2017-11-02,24505.0
2017-11-03,24480.0
2017-11-06,24540.0
2017-11-07,24380.0
2017-11-08,24560.0
2017-11-09,24365.0
2017-11-10,24285.0
2017-11-13,24065.0
2017-11-14,24055.0
2017-11-15,23995.0
2017-11-16,24185.0
2017-11-17,24320.0
2017-11-20,24140.0
2017-11-21,24550.0
2017-11-22,24845.0
2017-11-23,24560.0
2017-11-24,24635.0
2017-11-27,23960.0
2017-11-28,23990.0
2017-11-29,23935.0
2017-11-30,23095.0
2017-12-01,23385.0
2017-12-04,23595.0
2017-12-05,23375.0
2017-12-06,23140.0
2017-12-07,23275.0
2017-12-08,23570.0
2017-12-11,23545.0
2017-12-12,23600.0
2017-12-13,23660.0
2017-12-14,23810.0
2017-12-15,23575.0
2017-12-18,23670.0
2017-12-19,23840.0
2017-12-20,23550.0
2017-12-21,22980.0
2017-12-22,23165.0
2017-12-26,22780.0
2017-12-27,23450.0
2017-12-28,23720.0
2018-01-02,23890.0
2018-01-03,23940.0
2018-01-04,23870.0
2018-01-05,24335.0
2018-01-08,24390.0
2018-01-09,24265.0
2018-01-10,23755.0
2018-01-11,23645.0
2018-01-12,23585.0
2018-01-15,23480.0
2018-01-16,23915.0
2018-01-17,23750.0
2018-01-18,23930.0
2018-01-19,23505.0
2018-01-22,23200.0
2018-01-23,23415.0
2018-01-24,23485.0
2018-01-25,23865.0
2018-01-26,24120.0
2018-01-29,24160.0
2018-01-30,23705.0
2018-01-31,23650.0
2018-02-01,23715.0
2018-02-02,23130.0
2018-02-05,22605.0
2018-02-06,22235.0
2018-02-07,21820.0
2018-02-08,22210.0
2018-02-09,21520.0
2018-02-12,21870.0
2018-02-13,22370.0
2018-02-14,22545.0
2018-02-19,22650.0
2018-02-20,22280.0
2018-02-21,22550.0
2018-02-22,22360.0
2018-02-23,22685.0
2018-02-26,22620.0
2018-02-27,22670.0
2018-02-28,22230.0
2018-03-02,22060.0
2018-03-05,21965.0
2018-03-06,22685.0
2018-03-07,22725.0
2018-03-08,22990.0
2018-03-09,23390.0
2018-03-12,23660.0
2018-03-13,24210.0
2018-03-14,24220.0
2018-03-15,24270.0
2018-03-16,24250.0
2018-03-19,23960.0
2018-03-20,24115.0
2018-03-21,24045.0
2018-03-22,24145.0
2018-03-23,23070.0
2018-03-26,23415.0
2018-03-27,23325.0
2018-03-28,22895.0
2018-03-29,22965.0
2018-03-30,23270.0
2018-04-02,23190.0
2018-04-03,23165.0
2018-04-04,22430.0
2018-04-05,22835.0
2018-04-06,22650.0
2018-04-09,22750.0
2018-04-10,22680.0
2018-04-11,22625.0
2018-04-12,22855.0
2018-04-13,22960.0
2018-04-16,22855.0
2018-04-17,22875.0
2018-04-18,23065.0
2018-04-19,23230.0
2018-04-20,22805.0
2018-04-23,22770.0
2018-04-24,22395.0
2018-04-25,22360.0
2018-04-26,22690.0
2018-04-27,22700.0
2018-04-30,22500.0
2018-05-02,22410.0
2018-05-03,22370.0
2018-05-04,22005.0
2018-05-08,21935.0
2018-05-09,22100.0
2018-05-10,22355.0
2018-05-11,22395.0
2018-05-14,22270.0
2018-05-15,22110.0
2018-05-16,22370.0
2018-05-17,22270.0
2018-05-18,22265.0
2018-05-21,22400.0
2018-05-23,23070.0
2018-05-24,22945.0
2018-05-25,23185.0
2018-05-28,23075.0
2018-05-29,23025.0
2018-05-30,22740.0
2018-05-31,22645.0
2018-06-01,22750.0
2018-06-04,22775.0
2018-06-05,22895.0
2018-06-07,22935.0
2018-06-08,22895.0
2018-06-11,22955.0
2018-06-12,22990.0
2018-06-14,22660.0
2018-06-15,22405.0
2018-06-18,21935.0
2018-06-19,21790.0
2018-06-20,22215.0
2018-06-21,22190.0
2018-06-22,22400.0
2018-06-25,22290.0
2018-06-26,22145.0
2018-06-27,22355.0
2018-06-28,21950.0
2018-06-29,22160.0
2018-07-02,21720.0
2018-07-03,21945.0
2018-07-04,21980.0
2018-07-05,21970.0
2018-07-06,21980.0
2018-07-09,22410.0
2018-07-10,22540.0
2018-07-11,22470.0
2018-07-12,22590.0
2018-07-13,22865.0
2018-07-16,22640.0
2018-07-17,22590.0
2018-07-18,22630.0
2018-07-19,22840.0
2018-07-20,22765.0
2018-07-23,22215.0
2018-07-24,22400.0
2018-07-25,22180.0
2018-07-26,22590.0
2018-07-27,22615.0
2018-07-30,22260.0
2018-07-31,22235.0
2018-08-01,22280.0
2018-08-02,21970.0
2018-08-03,22130.0
2018-08-06,21775.0
2018-08-07,22125.0
2018-08-08,22050.0
2018-08-09,22055.0
2018-08-10,21520.0
2018-08-13,21315.0
