Date,KODEX 자동차
2016-11-03,17200.0
2016-11-04,17115.0
2016-11-07,17295.0
2016-11-08,17375.0
2016-11-09,16840.0
2016-11-10,16250.0
2016-11-11,16270.0
2016-11-14,16155.0
2016-11-15,15910.0
2016-11-16,16100.0
2016-11-17,16005.0
2016-11-18,15870.0
2016-11-21,16085.0
2016-11-22,16095.0
2016-11-23,16160.0
2016-11-24,16150.0
2016-11-25,16195.0
2016-11-28,16205.0
2016-11-29,16190.0
2016-11-30,16230.0
2016-12-01,16175.0
2016-12-02,16205.0
2016-12-05,16160.0
2016-12-06,16305.0
2016-12-07,16100.0
2016-12-08,16610.0
2016-12-09,16740.0
2016-12-12,16815.0
2016-12-13,16890.0
2016-12-14,16900.0
2016-12-15,16890.0
2016-12-16,16660.0
2016-12-19,16800.0
2016-12-20,16850.0
2016-12-21,16890.0
2016-12-22,16800.0
2016-12-23,16905.0
2016-12-26,16950.0
2016-12-27,17040.0
2016-12-28,17115.0
2016-12-29,17370.0
2017-01-02,17600.0
2017-01-03,17930.0
2017-01-04,18070.0
2017-01-05,18145.0
2017-01-06,17995.0
2017-01-09,17930.0
2017-01-10,18085.0
2017-01-11,17935.0
2017-01-12,17905.0
2017-01-13,18090.0
2017-01-16,18100.0
2017-01-17,18230.0
2017-01-18,18320.0
2017-01-19,18085.0
2017-01-20,17920.0
2017-01-23,17690.0
2017-01-24,17415.0
2017-01-25,17085.0
2017-01-26,17075.0
2017-01-31,16485.0
2017-02-01,16575.0
2017-02-02,16350.0
2017-02-03,16330.0
2017-02-06,16170.0
2017-02-07,16455.0
2017-02-08,16565.0
2017-02-09,16535.0
2017-02-10,16550.0
2017-02-13,16665.0
2017-02-14,16855.0
2017-02-15,17100.0
2017-02-16,17275.0
2017-02-17,17375.0
2017-02-20,17275.0
2017-02-21,17335.0
2017-02-22,17265.0
2017-02-23,17195.0
2017-02-24,17295.0
2017-02-27,17330.0
2017-02-28,17270.0
2017-03-02,16920.0
2017-03-03,16430.0
2017-03-06,16470.0
2017-03-07,16580.0
2017-03-08,16550.0
2017-03-09,16600.0
2017-03-10,16670.0
2017-03-13,16645.0
2017-03-14,16860.0
2017-03-15,16725.0
2017-03-16,16860.0
2017-03-17,16875.0
2017-03-20,17050.0
2017-03-21,17680.0
2017-03-22,17620.0
2017-03-23,17385.0
2017-03-24,17325.0
2017-03-27,17170.0
2017-03-28,17095.0
2017-03-29,16805.0
2017-03-30,16825.0
2017-03-31,17015.0
2017-04-03,16895.0
2017-04-04,16590.0
2017-04-05,16355.0
2017-04-06,16235.0
2017-04-07,16080.0
2017-04-10,16015.0
2017-04-11,15860.0
2017-04-12,16005.0
2017-04-13,16070.0
2017-04-14,16015.0
2017-04-17,16065.0
2017-04-18,15900.0
2017-04-19,15615.0
2017-04-20,16000.0
2017-04-21,16015.0
2017-04-24,16120.0
2017-04-25,16280.0
2017-04-26,16550.0
2017-04-27,16060.0
2017-04-28,15830.0
2017-05-02,16130.0
2017-05-04,16070.0
2017-05-08,16670.0
2017-05-10,16770.0
2017-05-11,17055.0
2017-05-12,16810.0
2017-05-15,16830.0
2017-05-16,16965.0
2017-05-17,16990.0
2017-05-18,17450.0
2017-05-19,17710.0
2017-05-22,17865.0
2017-05-23,18000.0
2017-05-24,17815.0
2017-05-25,17965.0
2017-05-26,17860.0
2017-05-29,17835.0
2017-05-30,17955.0
2017-05-31,17805.0
2017-06-01,17895.0
2017-06-02,17690.0
2017-06-05,17745.0
2017-06-07,17590.0
2017-06-08,17725.0
2017-06-09,17785.0
2017-06-12,17705.0
2017-06-13,17880.0
2017-06-14,18180.0
2017-06-15,17890.0
2017-06-16,17995.0
2017-06-19,18080.0
2017-06-20,17905.0
2017-06-21,17555.0
2017-06-22,17785.0
2017-06-23,17820.0
2017-06-26,17735.0
2017-06-27,17520.0
2017-06-28,17465.0
2017-06-29,17565.0
2017-06-30,17485.0
2017-07-03,17795.0
2017-07-04,17485.0
2017-07-05,17365.0
2017-07-06,17300.0
2017-07-07,17115.0
2017-07-10,16840.0
2017-07-11,16840.0
2017-07-12,16810.0
2017-07-13,16835.0
2017-07-14,17085.0
2017-07-17,17125.0
2017-07-18,16990.0
2017-07-19,17085.0
2017-07-20,16930.0
2017-07-21,16870.0
2017-07-24,16865.0
2017-07-25,16985.0
2017-07-26,17135.0
2017-07-27,17080.0
2017-07-28,17365.0
2017-07-31,16855.0
2017-08-01,16935.0
2017-08-02,17055.0
2017-08-03,17170.0
2017-08-04,17280.0
2017-08-07,17120.0
2017-08-08,16825.0
2017-08-09,16940.0
2017-08-10,16945.0
2017-08-11,16815.0
2017-08-14,16895.0
2017-08-16,16780.0
2017-08-17,16710.0
2017-08-18,16805.0
2017-08-21,16940.0
2017-08-22,16850.0
2017-08-23,16750.0
2017-08-24,16780.0
2017-08-25,16940.0
2017-08-28,16985.0
2017-08-29,16825.0
2017-08-30,16750.0
2017-08-31,16365.0
2017-09-01,16540.0
2017-09-04,16250.0
2017-09-05,16125.0
2017-09-06,15800.0
2017-09-07,15875.0
2017-09-08,15450.0
2017-09-11,15350.0
2017-09-12,15420.0
2017-09-13,15290.0
2017-09-14,15390.0
2017-09-15,15585.0
2017-09-18,15525.0
2017-09-19,15655.0
2017-09-20,15710.0
2017-09-21,15575.0
2017-09-22,15495.0
2017-09-25,15575.0
2017-09-26,16090.0
2017-09-27,16100.0
2017-09-28,16130.0
2017-09-29,16380.0
2017-10-10,16465.0
2017-10-11,16575.0
2017-10-12,16570.0
2017-10-13,16600.0
2017-10-16,16590.0
2017-10-17,16295.0
2017-10-18,16705.0
2017-10-19,16935.0
2017-10-20,16970.0
2017-10-23,17100.0
2017-10-24,16925.0
2017-10-25,16650.0
2017-10-26,17275.0
2017-10-27,17180.0
2017-10-30,17095.0
2017-10-31,17535.0
2017-11-01,17495.0
2017-11-02,17510.0
2017-11-03,17605.0
2017-11-06,17505.0
2017-11-07,17375.0
2017-11-08,17235.0
2017-11-09,17415.0
2017-11-10,17345.0
2017-11-13,17735.0
2017-11-14,17510.0
2017-11-15,17450.0
2017-11-16,17320.0
2017-11-17,17030.0
2017-11-20,17035.0
2017-11-21,17050.0
2017-11-22,17000.0
2017-11-23,17105.0
2017-11-24,17145.0
2017-11-27,17150.0
2017-11-28,17180.0
2017-11-29,17290.0
2017-11-30,17585.0
2017-12-01,17415.0
2017-12-04,17350.0
2017-12-05,17555.0
2017-12-06,17450.0
2017-12-07,17175.0
2017-12-08,16860.0
2017-12-11,16455.0
2017-12-12,16555.0
2017-12-13,16755.0
2017-12-14,16625.0
2017-12-15,16905.0
2017-12-18,17005.0
2017-12-19,16900.0
2017-12-20,16905.0
2017-12-21,16630.0
2017-12-22,16745.0
2017-12-26,16880.0
