Date,KODEX 미국S&P바이오(합성)
2017-02-10,17190.0
2017-02-13,17095.0
2017-02-14,16995.0
2017-02-15,17210.0
2017-02-16,17535.0
2017-02-17,17450.0
2017-02-20,17655.0
2017-02-21,17670.0
2017-02-22,17445.0
2017-02-23,17150.0
2017-02-24,16840.0
2017-02-27,17020.0
2017-02-28,17665.0
2017-03-02,18085.0
2017-03-03,18010.0
2017-03-06,18290.0
2017-03-07,17975.0
2017-03-08,17745.0
2017-03-09,18160.0
2017-03-10,18200.0
2017-03-13,18190.0
2017-03-14,18225.0
2017-03-15,18000.0
2017-03-16,18155.0
2017-03-17,17980.0
2017-03-20,17630.0
2017-03-21,17655.0
2017-03-22,16960.0
2017-03-23,17070.0
2017-03-24,17005.0
2017-03-27,17050.0
2017-03-28,17265.0
2017-03-29,17190.0
2017-03-30,17380.0
2017-03-31,17265.0
2017-04-03,17265.0
2017-04-04,17090.0
2017-04-05,17135.0
2017-04-06,16905.0
2017-04-07,16900.0
2017-04-10,17090.0
2017-04-11,17150.0
2017-04-12,17080.0
2017-04-13,16930.0
2017-04-14,17300.0
2017-04-17,17310.0
2017-04-18,17420.0
2017-04-19,17195.0
2017-04-20,17220.0
2017-04-21,17310.0
2017-04-24,17115.0
2017-04-25,17340.0
2017-04-26,17605.0
2017-04-27,17680.0
2017-04-28,17900.0
2017-05-02,18060.0
2017-05-04,17725.0
2017-05-08,17645.0
2017-05-10,17505.0
2017-05-11,17380.0
2017-05-12,17345.0
2017-05-15,17540.0
2017-05-16,17465.0
2017-05-17,17555.0
2017-05-18,17200.0
2017-05-19,17520.0
2017-05-22,17235.0
2017-05-23,17315.0
2017-05-24,17390.0
2017-05-25,17455.0
2017-05-26,17370.0
2017-05-29,17080.0
2017-05-30,17100.0
2017-05-31,16750.0
2017-06-01,16825.0
2017-06-02,17255.0
2017-06-05,17600.0
2017-06-07,17560.0
2017-06-08,17550.0
2017-06-09,17760.0
2017-06-12,17775.0
2017-06-13,17780.0
2017-06-14,17895.0
2017-06-15,17970.0
2017-06-16,17975.0
2017-06-19,17925.0
2017-06-20,18530.0
2017-06-21,18960.0
2017-06-22,19830.0
2017-06-23,19970.0
2017-06-26,20175.0
2017-06-27,20150.0
2017-06-28,19555.0
2017-06-29,20045.0
2017-06-30,19760.0
2017-07-03,19605.0
2017-07-04,19865.0
2017-07-05,19870.0
2017-07-06,20430.0
2017-07-07,19975.0
2017-07-10,19975.0
2017-07-11,19745.0
2017-07-12,19745.0
2017-07-13,19770.0
2017-07-14,19935.0
2017-07-17,19845.0
2017-07-18,19610.0
2017-07-19,19450.0
2017-07-20,19720.0
2017-07-21,19935.0
2017-07-24,20025.0
2017-07-25,20295.0
2017-07-26,20115.0
2017-07-27,19970.0
2017-07-28,19590.0
2017-07-31,19830.0
2017-08-01,19530.0
2017-08-02,19285.0
2017-08-03,19370.0
2017-08-04,19170.0
2017-08-07,19550.0
2017-08-08,19530.0
2017-08-09,19500.0
2017-08-10,19510.0
2017-08-11,18960.0
2017-08-14,19160.0
2017-08-16,19350.0
2017-08-17,19300.0
2017-08-18,18940.0
2017-08-21,18975.0
2017-08-22,19010.0
2017-08-23,19375.0
2017-08-24,19250.0
2017-08-25,19650.0
2017-08-28,19375.0
2017-08-29,19950.0
2017-08-30,20030.0
2017-08-31,20355.0
2017-09-01,20900.0
2017-09-04,21235.0
2017-09-05,21215.0
2017-09-06,21060.0
2017-09-07,21105.0
2017-09-08,21100.0
2017-09-11,20990.0
2017-09-12,21050.0
2017-09-13,20900.0
2017-09-14,21000.0
2017-09-15,20925.0
2017-09-18,20950.0
2017-09-19,21115.0
2017-09-20,21055.0
2017-09-21,21450.0
2017-09-22,21225.0
2017-09-25,21060.0
2017-09-26,21250.0
2017-09-27,21095.0
2017-09-28,21465.0
2017-09-29,21835.0
2017-10-10,21970.0
2017-10-11,22100.0
2017-10-12,21985.0
2017-10-13,21860.0
2017-10-16,21685.0
2017-10-17,21760.0
2017-10-18,21765.0
2017-10-19,21590.0
2017-10-20,21525.0
2017-10-23,21495.0
2017-10-24,21150.0
2017-10-25,20945.0
2017-10-26,20725.0
2017-10-27,20500.0
2017-10-30,20955.0
2017-10-31,20775.0
2017-11-01,20775.0
2017-11-02,20440.0
2017-11-03,20785.0
2017-11-06,21060.0
2017-11-07,20950.0
2017-11-08,20815.0
2017-11-09,20640.0
2017-11-10,20595.0
2017-11-13,20600.0
2017-11-14,20330.0
2017-11-15,19795.0
2017-11-16,19580.0
2017-11-17,20015.0
2017-11-20,19980.0
2017-11-21,19855.0
2017-11-22,19825.0
2017-11-23,19850.0
2017-11-24,19865.0
2017-11-27,19895.0
2017-11-28,19690.0
2017-11-29,19600.0
2017-11-30,19710.0
2017-12-01,20115.0
2017-12-04,20230.0
2017-12-05,19670.0
2017-12-06,19550.0
2017-12-07,19550.0
2017-12-08,20015.0
2017-12-11,20410.0
2017-12-12,20265.0
2017-12-13,19910.0
2017-12-14,20085.0
2017-12-15,19815.0
2017-12-18,19860.0
2017-12-19,19905.0
2017-12-20,19735.0
2017-12-21,19895.0
2017-12-22,19985.0
2017-12-26,20225.0
2017-12-27,20450.0
2017-12-28,20485.0
2018-01-02,20140.0
2018-01-03,20620.0
2018-01-04,20855.0
2018-01-05,20740.0
2018-01-08,20750.0
2018-01-09,20350.0
2018-01-10,20810.0
2018-01-11,21085.0
2018-01-12,21105.0
2018-01-15,21145.0
2018-01-16,21210.0
2018-01-17,20650.0
2018-01-18,20875.0
2018-01-19,20825.0
2018-01-22,21150.0
2018-01-23,22195.0
2018-01-24,22800.0
2018-01-25,22260.0
2018-01-26,22540.0
2018-01-29,22785.0
2018-01-30,23085.0
2018-01-31,22585.0
2018-02-01,22280.0
2018-02-02,22500.0
2018-02-05,22320.0
2018-02-06,21160.0
2018-02-07,21870.0
2018-02-08,22165.0
2018-02-09,21130.0
2018-02-12,20990.0
2018-02-13,21415.0
2018-02-14,21355.0
2018-02-19,22020.0
2018-02-20,22025.0
2018-02-21,21750.0
2018-02-22,21920.0
2018-02-23,21890.0
2018-02-26,22185.0
2018-02-27,22260.0
2018-02-28,22150.0
2018-03-02,21520.0
2018-03-05,22095.0
2018-03-06,22410.0
2018-03-07,22360.0
2018-03-08,22570.0
2018-03-09,22655.0
2018-03-12,22910.0
2018-03-13,23075.0
2018-03-14,22845.0
2018-03-15,22590.0
2018-03-16,22385.0
2018-03-19,22400.0
2018-03-20,21935.0
2018-03-21,22030.0
2018-03-22,22275.0
2018-03-23,21825.0
2018-03-26,21490.0
2018-03-27,21800.0
2018-03-28,20890.0
2018-03-29,20725.0
2018-03-30,20745.0
2018-04-02,20725.0
2018-04-03,19815.0
2018-04-04,19995.0
2018-04-05,20650.0
2018-04-06,20365.0
2018-04-09,19905.0
2018-04-10,20305.0
2018-04-11,20850.0
2018-04-12,21135.0
2018-04-13,21480.0
2018-04-16,21335.0
2018-04-17,21115.0
2018-04-18,21600.0
2018-04-19,21470.0
2018-04-20,21240.0
2018-04-23,21215.0
2018-04-24,21150.0
2018-04-25,20765.0
2018-04-26,20755.0
2018-04-27,21005.0
2018-04-30,21045.0
2018-05-02,21145.0
2018-05-03,20895.0
2018-05-04,20650.0
2018-05-08,21195.0
2018-05-09,21230.0
2018-05-10,21395.0
2018-05-11,21250.0
2018-05-14,21725.0
2018-05-15,22250.0
2018-05-16,22045.0
2018-05-17,22445.0
2018-05-18,22430.0
2018-05-21,22520.0
2018-05-23,22230.0
2018-05-24,22265.0
2018-05-25,22200.0
2018-05-28,22180.0
2018-05-29,22350.0
2018-05-30,22160.0
2018-05-31,22510.0
2018-06-01,22825.0
2018-06-04,22945.0
2018-06-05,22980.0
2018-06-07,23190.0
2018-06-08,22895.0
2018-06-11,22995.0
2018-06-12,22865.0
2018-06-14,23360.0
2018-06-15,23900.0
2018-06-18,23940.0
2018-06-19,24145.0
2018-06-20,24385.0
2018-06-21,25025.0
2018-06-22,24430.0
2018-06-25,24680.0
2018-06-26,23925.0
2018-06-27,24080.0
2018-06-28,23395.0
2018-06-29,23380.0
2018-07-02,23780.0
2018-07-03,24000.0
2018-07-04,24120.0
2018-07-05,24120.0
2018-07-06,24115.0
2018-07-09,24775.0
2018-07-10,24910.0
2018-07-11,24700.0
2018-07-12,24865.0
2018-07-13,25265.0
2018-07-16,25250.0
2018-07-17,24735.0
2018-07-18,25160.0
2018-07-19,25200.0
2018-07-20,25315.0
2018-07-23,25225.0
2018-07-24,25170.0
2018-07-25,24515.0
2018-07-26,24385.0
2018-07-27,24320.0
2018-07-30,23585.0
2018-07-31,23160.0
2018-08-01,23790.0
2018-08-02,23965.0
2018-08-03,24145.0
2018-08-06,23660.0
2018-08-07,23875.0
2018-08-08,23870.0
2018-08-09,23755.0
2018-08-10,23980.0
2018-08-13,23975.0
2018-08-14,23735.0
2018-08-16,23365.0
2018-08-17,23465.0
2018-08-20,23460.0
2018-08-21,23245.0
2018-08-22,23645.0
2018-08-23,24140.0
2018-08-24,23930.0
2018-08-27,23885.0
2018-08-28,24230.0
2018-08-29,24330.0
2018-08-30,24580.0
2018-08-31,24770.0
2018-09-03,24730.0
2018-09-04,24850.0
2018-09-05,24850.0
2018-09-06,24705.0
2018-09-07,24050.0
2018-09-10,24180.0
2018-09-11,24200.0
2018-09-12,24100.0
2018-09-13,24015.0
2018-09-14,23800.0
2018-09-17,24035.0
2018-09-18,23540.0
2018-09-19,23820.0
2018-09-20,23820.0
2018-09-21,23975.0
2018-09-27,23830.0
2018-09-28,23700.0
