Date,KBSTAR 국고채3년
2017-03-23,111010.0
2017-03-24,110950.0
2017-03-27,111030.0
2017-03-28,111040.0
2017-03-29,111005.0
2017-03-30,111050.0
2017-03-31,111090.0
2017-04-03,111010.0
2017-04-04,111120.0
2017-04-05,111110.0
2017-04-06,111095.0
2017-04-07,111020.0
2017-04-10,110905.0
2017-04-11,110930.0
2017-04-12,110970.0
2017-04-13,111075.0
2017-04-14,111095.0
2017-04-17,111135.0
2017-04-18,111115.0
2017-04-19,111185.0
2017-04-20,111145.0
2017-04-21,111140.0
2017-04-24,111060.0
2017-04-25,111095.0
2017-04-26,111065.0
2017-04-27,111110.0
2017-04-28,111165.0
2017-05-02,111115.0
2017-05-04,111150.0
2017-05-08,111105.0
2017-05-10,111035.0
2017-05-11,110940.0
2017-05-12,111000.0
2017-05-15,111045.0
2017-05-16,111080.0
2017-05-17,111100.0
2017-05-18,111210.0
2017-05-19,111260.0
2017-05-22,111240.0
2017-05-23,111235.0
2017-05-24,111220.0
2017-05-25,111240.0
2017-05-26,111280.0
2017-05-29,111200.0
2017-05-30,111265.0
2017-05-31,111360.0
2017-06-01,111380.0
2017-06-02,111390.0
2017-06-05,111485.0
2017-06-07,111040.0
2017-06-08,110930.0
2017-06-09,110945.0
2017-06-12,110860.0
2017-06-13,110970.0
2017-06-14,110965.0
2017-06-15,110965.0
2017-06-16,110880.0
2017-06-19,110910.0
2017-06-20,110990.0
2017-06-21,110915.0
2017-06-22,110980.0
2017-06-23,110905.0
2017-06-26,111005.0
2017-06-27,110910.0
2017-06-28,110825.0
2017-06-29,110920.0
2017-06-30,110920.0
2017-07-03,110880.0
2017-07-04,110785.0
2017-07-05,110830.0
2017-07-06,110765.0
2017-07-07,110740.0
2017-07-10,110730.0
2017-07-11,110805.0
2017-07-12,110835.0
2017-07-13,110910.0
2017-07-14,110820.0
2017-07-17,110890.0
2017-07-18,110915.0
2017-07-19,110925.0
2017-07-20,110950.0
2017-07-21,110960.0
2017-07-24,110970.0
2017-07-25,111070.0
2017-07-26,110950.0
2017-07-27,111095.0
2017-07-28,111100.0
2017-07-31,111095.0
2017-08-01,111035.0
2017-08-02,111060.0
2017-08-03,111000.0
2017-08-04,111000.0
2017-08-07,111000.0
2017-08-08,110915.0
2017-08-09,110800.0
2017-08-10,110825.0
2017-08-11,110800.0
2017-08-14,110830.0
2017-08-16,110835.0
2017-08-17,110895.0
2017-08-18,110955.0
2017-08-21,110955.0
2017-08-22,110915.0
2017-08-23,110910.0
2017-08-24,110945.0
2017-08-25,111055.0
