Date,TIGER 미국나스닥100
2017-11-01,31665.0
2017-11-02,31500.0
2017-11-03,31575.0
2017-11-06,31625.0
2017-11-07,31880.0
2017-11-08,31935.0
2017-11-09,32075.0
2017-11-10,31995.0
2017-11-13,32085.0
2017-11-14,32065.0
2017-11-15,31750.0
2017-11-16,31425.0
2017-11-17,31500.0
2017-11-20,31485.0
2017-11-21,31405.0
2017-11-22,31580.0
2017-11-23,31455.0
2017-11-24,31455.0
2017-11-27,31560.0
2017-11-28,31540.0
2017-11-29,31780.0
2017-11-30,30950.0
2017-12-01,31340.0
2017-12-04,31475.0
2017-12-05,30830.0
2017-12-06,30955.0
2017-12-07,31285.0
2017-12-08,31470.0
2017-12-11,31530.0
2017-12-12,31745.0
2017-12-13,31850.0
2017-12-14,31545.0
2017-12-15,31590.0
2017-12-18,32070.0
2017-12-19,32090.0
2017-12-20,31875.0
2017-12-21,31755.0
2017-12-22,31740.0
2017-12-26,31565.0
2017-12-27,31395.0
2017-12-28,31325.0
2018-01-02,30895.0
2018-01-03,31475.0
2018-01-04,31770.0
2018-01-05,31800.0
2018-01-08,32125.0
2018-01-09,32340.0
2018-01-10,32455.0
2018-01-11,32435.0
2018-01-12,32445.0
2018-01-15,32670.0
2018-01-16,32680.0
2018-01-17,32705.0
2018-01-18,33040.0
2018-01-19,32945.0
2018-01-22,33165.0
2018-01-23,33900.0
2018-01-24,33770.0
2018-01-25,33245.0
2018-01-26,33450.0
2018-01-29,33910.0
2018-01-30,33825.0
2018-01-31,33595.0
2018-02-01,33875.0
2018-02-02,33975.0
2018-02-05,33285.0
2018-02-06,32090.0
2018-02-07,32300.0
2018-02-08,32560.0
2018-02-09,31325.0
2018-02-12,31710.0
2018-02-13,32005.0
2018-02-14,32055.0
2018-02-19,32850.0
2018-02-20,32775.0
2018-02-21,33090.0
2018-02-22,33405.0
2018-02-23,33140.0
2018-02-26,33620.0
2018-02-27,33970.0
2018-02-28,33930.0
2018-03-02,33120.0
2018-03-05,33445.0
2018-03-06,33625.0
2018-03-07,33530.0
2018-03-08,33675.0
2018-03-09,33840.0
2018-03-12,34345.0
2018-03-13,34390.0
2018-03-14,34065.0
2018-03-15,34065.0
2018-03-16,34035.0
2018-03-19,34155.0
2018-03-20,33315.0
2018-03-21,33415.0
2018-03-22,33370.0
2018-03-23,32635.0
2018-03-26,32305.0
2018-03-27,32870.0
2018-03-28,31660.0
2018-03-29,31400.0
2018-03-30,31750.0
2018-04-02,31880.0
2018-04-03,30750.0
2018-04-04,30670.0
2018-04-05,31590.0
2018-04-06,31530.0
2018-04-09,31450.0
2018-04-10,31935.0
2018-04-11,31900.0
2018-04-12,31985.0
2018-04-13,32095.0
2018-04-16,32440.0
2018-04-17,32500.0
2018-04-18,32930.0
2018-04-19,32955.0
2018-04-20,32560.0
2018-04-23,32400.0
2018-04-24,32520.0
2018-04-25,31885.0
2018-04-26,32060.0
2018-04-27,32595.0
2018-04-30,32440.0
2018-05-02,32715.0
2018-05-03,32480.0
2018-05-04,32210.0
2018-05-08,33355.0
2018-05-09,33270.0
2018-05-10,33650.0
2018-05-11,33540.0
2018-05-14,33705.0
2018-05-15,33800.0
2018-05-16,33610.0
2018-05-17,33870.0
2018-05-18,33885.0
2018-05-21,34070.0
2018-05-23,33685.0
2018-05-24,33995.0
2018-05-25,34120.0
2018-05-28,34125.0
2018-05-29,34010.0
2018-05-30,33935.0
2018-05-31,34140.0
2018-06-01,34110.0
2018-06-04,34600.0
2018-06-05,34620.0
2018-06-07,34990.0
2018-06-08,34790.0
2018-06-11,34880.0
2018-06-12,35030.0
2018-06-14,35290.0
2018-06-15,36180.0
2018-06-18,36135.0
2018-06-19,35940.0
2018-06-20,36340.0
2018-06-21,36865.0
2018-06-22,36315.0
2018-06-25,36275.0
2018-06-26,35400.0
2018-06-27,35750.0
2018-06-28,35420.0
2018-06-29,35700.0
2018-07-02,35565.0
2018-07-03,36105.0
