Date,파워 200
2017-08-30,31485.0
2017-08-31,31365.0
2017-09-01,31280.0
2017-09-04,30985.0
2017-09-05,30920.0
2017-09-06,30840.0
2017-09-07,31235.0
2017-09-08,31270.0
2017-09-11,31550.0
2017-09-12,31555.0
2017-09-13,31590.0
2017-09-14,31660.0
2017-09-15,31870.0
2017-09-18,32375.0
2017-09-19,32395.0
2017-09-20,32370.0
2017-09-21,32410.0
2017-09-22,32195.0
2017-09-25,32150.0
2017-09-26,31985.0
2017-09-27,31945.0
2017-09-28,31940.0
2017-09-29,32225.0
2017-10-10,32830.0
2017-10-11,33145.0
2017-10-12,33345.0
2017-10-13,33310.0
2017-10-16,33365.0
2017-10-17,33455.0
2017-10-18,33400.0
2017-10-19,33335.0
2017-10-20,33440.0
2017-10-23,33530.0
2017-10-24,33515.0
2017-10-25,33525.0
2017-10-26,33355.0
2017-10-27,33480.0
2017-10-30,33565.0
2017-10-31,33965.0
2017-11-01,34475.0
2017-11-02,34390.0
2017-11-03,34460.0
2017-11-06,34295.0
2017-11-07,34270.0
2017-11-08,34380.0
2017-11-09,34315.0
2017-11-10,34255.0
2017-11-13,34075.0
2017-11-14,34025.0
2017-11-15,33860.0
2017-11-16,34050.0
2017-11-17,34085.0
2017-11-20,33970.0
2017-11-21,33970.0
2017-11-22,34120.0
2017-11-23,34105.0
2017-11-24,34115.0
2017-11-27,33635.0
2017-11-28,33665.0
2017-11-29,33685.0
2017-11-30,33080.0
2017-12-01,33105.0
2017-12-04,33405.0
2017-12-05,33525.0
2017-12-06,33125.0
2017-12-07,33025.0
2017-12-08,33020.0
2017-12-11,33075.0
2017-12-12,32960.0
2017-12-13,33195.0
2017-12-14,33240.0
2017-12-15,33245.0
2017-12-18,33265.0
2017-12-19,33290.0
2017-12-20,33220.0
2017-12-21,32630.0
2017-12-22,32785.0
2017-12-26,32615.0
2017-12-27,32905.0
2017-12-28,33535.0
2018-01-02,33545.0
2018-01-03,33675.0
2018-01-04,33415.0
2018-01-05,33825.0
2018-01-08,34080.0
2018-01-09,33940.0
2018-01-10,33780.0
2018-01-11,33650.0
2018-01-12,33645.0
2018-01-15,33725.0
2018-01-16,34010.0
2018-01-17,33900.0
2018-01-18,33865.0
2018-01-19,33895.0
2018-01-22,33595.0
2018-01-23,34030.0
2018-01-24,34085.0
2018-01-25,34410.0
2018-01-26,34505.0
2018-01-29,34770.0
2018-01-30,34335.0
2018-01-31,34410.0
2018-02-01,34320.0
2018-02-02,33670.0
2018-02-05,33340.0
2018-02-06,32830.0
2018-02-07,32180.0
2018-02-08,32290.0
2018-02-09,31365.0
2018-02-12,31805.0
2018-02-13,32070.0
2018-02-14,32380.0
2018-02-19,32580.0
2018-02-20,32180.0
2018-02-21,32350.0
2018-02-22,32165.0
2018-02-23,32640.0
2018-02-26,32695.0
2018-02-27,32620.0
2018-02-28,32355.0
2018-03-02,31755.0
2018-03-05,31350.0
2018-03-06,31985.0
2018-03-07,32005.0
2018-03-08,32325.0
2018-03-09,32710.0
2018-03-12,33010.0
2018-03-13,33185.0
2018-03-14,33160.0
2018-03-15,33290.0
2018-03-16,33205.0
2018-03-19,32975.0
2018-03-20,33110.0
2018-03-21,33140.0
2018-03-22,33260.0
2018-03-23,32155.0
2018-03-26,32410.0
2018-03-27,32580.0
2018-03-28,32125.0
2018-03-29,32430.0
2018-03-30,32530.0
2018-04-02,32455.0
2018-04-03,32350.0
2018-04-04,31845.0
2018-04-05,32315.0
2018-04-06,32155.0
2018-04-09,32355.0
2018-04-10,32410.0
2018-04-11,32310.0
2018-04-12,32285.0
2018-04-13,32490.0
2018-04-16,32535.0
2018-04-17,32485.0
2018-04-18,32870.0
2018-04-19,33030.0
2018-04-20,32815.0
2018-04-23,32795.0
2018-04-24,32620.0
2018-04-25,32400.0
2018-04-26,32815.0
2018-04-27,32610.0
2018-04-30,32965.0
2018-05-02,32565.0
2018-05-03,32440.0
2018-05-04,32215.0
2018-05-08,32085.0
2018-05-09,31985.0
2018-05-10,32215.0
2018-05-11,32390.0
2018-05-14,32310.0
