Date,KOSEF 미국달러선물
2017-02-09,11670.0
2017-02-10,11715.0
2017-02-13,11730.0
2017-02-14,11590.0
2017-02-15,11640.0
2017-02-16,11630.0
2017-02-17,11675.0
2017-02-20,11690.0
2017-02-21,11680.0
2017-02-22,11640.0
2017-02-23,11595.0
2017-02-24,11515.0
2017-02-27,11545.0
2017-02-28,11525.0
2017-03-02,11640.0
2017-03-03,11775.0
2017-03-06,11800.0
2017-03-07,11685.0
2017-03-08,11665.0
2017-03-09,11805.0
2017-03-10,11800.0
2017-03-13,11670.0
2017-03-14,11710.0
2017-03-15,11660.0
2017-03-16,11545.0
2017-03-17,11540.0
2017-03-20,11430.0
2017-03-21,11425.0
2017-03-22,11460.0
2017-03-23,11450.0
2017-03-24,11450.0
2017-03-27,11345.0
2017-03-28,11350.0
2017-03-29,11360.0
2017-03-30,11390.0
2017-03-31,11420.0
2017-04-03,11385.0
2017-04-04,11445.0
2017-04-05,11475.0
2017-04-06,11565.0
2017-04-07,11575.0
2017-04-10,11660.0
2017-04-11,11695.0
2017-04-12,11655.0
2017-04-13,11525.0
2017-04-14,11630.0
2017-04-17,11610.0
2017-04-18,11640.0
2017-04-19,11635.0
2017-04-20,11635.0
2017-04-21,11570.0
2017-04-24,11535.0
2017-04-25,11490.0
2017-04-26,11485.0
2017-04-27,11535.0
2017-04-28,11620.0
2017-05-02,11535.0
2017-05-04,11560.0
2017-05-08,11540.0
2017-05-10,11580.0
2017-05-11,11515.0
2017-05-12,11515.0
2017-05-15,11475.0
2017-05-16,11400.0
2017-05-17,11415.0
2017-05-18,11490.0
2017-05-19,11500.0
2017-05-22,11425.0
2017-05-23,11480.0
2017-05-24,11505.0
2017-05-25,11405.0
2017-05-26,11445.0
2017-05-29,11460.0
2017-05-30,11490.0
2017-05-31,11450.0
2017-06-01,11465.0
2017-06-02,11460.0
2017-06-05,11420.0
2017-06-07,11485.0
2017-06-08,11465.0
2017-06-09,11465.0
2017-06-12,11525.0
2017-06-13,11525.0
2017-06-14,11490.0
2017-06-15,11490.0
2017-06-16,11600.0
2017-06-19,11570.0
2017-06-20,11610.0
2017-06-21,11680.0
2017-06-22,11665.0
2017-06-23,11635.0
2017-06-26,11625.0
2017-06-27,11625.0
2017-06-28,11685.0
2017-06-29,11670.0
2017-06-30,11705.0
2017-07-03,11730.0
2017-07-04,11770.0
2017-07-05,11760.0
2017-07-06,11835.0
2017-07-07,11805.0
2017-07-10,11760.0
2017-07-11,11775.0
2017-07-12,11705.0
2017-07-13,11625.0
2017-07-14,11600.0
2017-07-17,11545.0
2017-07-18,11485.0
2017-07-19,11470.0
2017-07-20,11525.0
2017-07-21,11455.0
2017-07-24,11395.0
2017-07-25,11420.0
2017-07-26,11485.0
2017-07-27,11395.0
2017-07-28,11475.0
2017-07-31,11465.0
2017-08-01,11480.0
2017-08-02,11505.0
2017-08-03,11555.0
2017-08-04,11515.0
2017-08-07,11545.0
2017-08-08,11525.0
2017-08-09,11625.0
2017-08-10,11695.0
2017-08-11,11700.0
2017-08-14,11675.0
2017-08-16,11690.0
2017-08-17,11645.0
2017-08-18,11685.0
2017-08-21,11670.0
2017-08-22,11615.0
2017-08-23,11595.0
2017-08-24,11550.0
2017-08-25,11565.0
2017-08-28,11480.0
2017-08-29,11530.0
2017-08-30,11520.0
2017-08-31,11550.0
2017-09-01,11505.0
2017-09-04,11605.0
2017-09-05,11590.0
2017-09-06,11630.0
2017-09-07,11570.0
2017-09-08,11555.0
2017-09-11,11600.0
2017-09-12,11570.0
2017-09-13,11565.0
2017-09-14,11610.0
2017-09-15,11600.0
2017-09-18,11550.0
2017-09-19,11595.0
