Date,TREX 200
2017-04-19,28485.0
2017-04-20,28595.0
2017-04-21,28850.0
2017-04-24,28995.0
2017-04-25,29305.0
2017-04-26,29475.0
2017-04-27,29025.0
2017-04-28,29095.0
2017-05-02,29290.0
2017-05-04,29575.0
2017-05-08,30340.0
2017-05-10,30080.0
2017-05-11,30385.0
2017-05-12,30270.0
2017-05-15,30350.0
2017-05-16,30400.0
2017-05-17,30370.0
2017-05-18,30305.0
2017-05-19,30260.0
2017-05-22,30475.0
2017-05-23,30575.0
2017-05-24,30590.0
2017-05-25,30970.0
2017-05-26,31155.0
2017-05-29,31110.0
2017-05-30,30915.0
2017-05-31,30910.0
2017-06-01,30870.0
2017-06-02,31205.0
2017-06-05,31230.0
2017-06-07,31000.0
2017-06-08,30885.0
2017-06-09,31355.0
2017-06-12,30990.0
2017-06-13,31230.0
2017-06-14,31225.0
2017-06-15,31090.0
2017-06-16,31105.0
2017-06-19,31270.0
2017-06-20,31350.0
2017-06-21,31165.0
2017-06-22,31360.0
2017-06-23,31455.0
2017-06-26,31615.0
2017-06-27,31615.0
2017-06-28,31530.0
2017-06-29,31730.0
2017-06-30,31665.0
2017-07-03,31695.0
2017-07-04,31520.0
2017-07-05,31635.0
2017-07-06,31635.0
2017-07-07,31515.0
2017-07-10,31590.0
2017-07-11,31790.0
2017-07-12,31790.0
2017-07-13,32130.0
2017-07-14,32175.0
2017-07-17,32300.0
2017-07-18,32300.0
2017-07-19,32340.0
2017-07-20,32485.0
2017-07-21,32620.0
2017-07-24,32625.0
2017-07-25,32465.0
2017-07-26,32395.0
2017-07-27,32495.0
2017-07-28,31855.0
2017-07-31,31895.0
2017-08-01,32140.0
2017-08-02,32210.0
2017-08-03,31665.0
2017-08-04,31810.0
2017-08-07,31845.0
2017-08-08,31785.0
2017-08-09,31410.0
2017-08-10,31260.0
2017-08-11,30715.0
2017-08-14,30960.0
2017-08-16,31145.0
2017-08-17,31325.0
2017-08-18,31285.0
2017-08-21,31245.0
2017-08-22,31365.0
2017-08-23,31380.0
2017-08-24,31520.0
2017-08-25,31550.0
2017-08-28,31385.0
2017-08-29,31275.0
2017-08-30,31400.0
2017-08-31,31245.0
2017-09-01,31185.0
2017-09-04,30860.0
2017-09-05,30830.0
2017-09-06,30755.0
2017-09-07,31135.0
2017-09-08,31165.0
2017-09-11,31450.0
2017-09-12,31465.0
2017-09-13,31445.0
2017-09-14,31685.0
2017-09-15,31760.0
2017-09-18,32290.0
2017-09-19,32200.0
2017-09-20,32250.0
2017-09-21,32220.0
2017-09-22,32050.0
2017-09-25,32045.0
2017-09-26,31870.0
2017-09-27,31805.0
2017-09-28,31845.0
2017-09-29,32085.0
2017-10-10,32680.0
2017-10-11,33000.0
2017-10-12,33230.0
2017-10-13,33195.0
2017-10-16,33235.0
2017-10-17,33250.0
2017-10-18,33275.0
2017-10-19,33120.0
2017-10-20,33300.0
2017-10-23,33395.0
2017-10-24,33370.0
2017-10-25,33375.0
2017-10-26,33110.0
2017-10-27,33350.0
2017-10-30,33460.0
2017-10-31,33815.0
2017-11-01,34310.0
2017-11-02,34220.0
2017-11-03,34310.0
2017-11-06,34150.0
2017-11-07,34120.0
2017-11-08,34235.0
2017-11-09,34130.0
2017-11-10,34035.0
2017-11-13,33875.0
2017-11-14,33830.0
2017-11-15,33655.0
2017-11-16,33855.0
2017-11-17,33840.0
2017-11-20,33715.0
2017-11-21,33795.0
2017-11-22,33980.0
2017-11-23,33915.0
2017-11-24,33970.0
2017-11-27,33400.0
2017-11-28,33515.0
2017-11-29,33510.0
2017-11-30,32965.0
2017-12-01,32930.0
2017-12-04,33270.0
2017-12-05,33375.0
2017-12-06,32885.0
2017-12-07,32795.0
2017-12-08,32885.0
2017-12-11,32945.0
2017-12-12,32820.0
2017-12-13,33080.0
2017-12-14,33120.0
2017-12-15,33070.0
2017-12-18,33110.0
2017-12-19,33125.0
2017-12-20,33045.0
2017-12-21,32430.0
2017-12-22,32575.0
2017-12-26,32440.0
