Date,TIGER 반도체
2017-03-14,21000.0
2017-03-15,20670.0
2017-03-16,20580.0
2017-03-17,20350.0
2017-03-20,20350.0
2017-03-21,20325.0
2017-03-22,20370.0
2017-03-23,20365.0
2017-03-24,20565.0
2017-03-27,20675.0
2017-03-28,20745.0
2017-03-29,21090.0
2017-03-30,21085.0
2017-03-31,21100.0
2017-04-03,21505.0
2017-04-04,21665.0
2017-04-05,21570.0
2017-04-06,21375.0
2017-04-07,21615.0
2017-04-10,21330.0
2017-04-11,21510.0
2017-04-12,21530.0
2017-04-13,21635.0
2017-04-14,21545.0
2017-04-17,21800.0
2017-04-18,22280.0
2017-04-19,22260.0
2017-04-20,22205.0
2017-04-21,22290.0
2017-04-24,22185.0
2017-04-25,22280.0
2017-04-26,22650.0
2017-04-27,22300.0
2017-04-28,22365.0
2017-05-02,22640.0
2017-05-04,22900.0
2017-05-08,23250.0
2017-05-10,23035.0
2017-05-11,23550.0
2017-05-12,23295.0
2017-05-15,23430.0
2017-05-16,23185.0
2017-05-17,23120.0
2017-05-18,23180.0
2017-05-19,23070.0
2017-05-22,23320.0
2017-05-23,23270.0
2017-05-24,23355.0
2017-05-25,23090.0
2017-05-26,23300.0
2017-05-29,23500.0
2017-05-30,23640.0
2017-05-31,23695.0
2017-06-01,23670.0
2017-06-02,23900.0
2017-06-05,23860.0
2017-06-07,24105.0
2017-06-08,24495.0
2017-06-09,24880.0
2017-06-12,24205.0
2017-06-13,24380.0
2017-06-14,24530.0
2017-06-15,24525.0
2017-06-16,24715.0
2017-06-19,25270.0
2017-06-20,25035.0
2017-06-21,24975.0
2017-06-22,24955.0
2017-06-23,25295.0
2017-06-26,26040.0
2017-06-27,26350.0
2017-06-28,25900.0
2017-06-29,26085.0
2017-06-30,25965.0
2017-07-03,25260.0
2017-07-04,25140.0
2017-07-05,25630.0
2017-07-06,25805.0
2017-07-07,25735.0
2017-07-10,25710.0
2017-07-11,25885.0
2017-07-12,25915.0
2017-07-13,26615.0
2017-07-14,26630.0
2017-07-17,26895.0
2017-07-18,27105.0
2017-07-19,27455.0
2017-07-20,27670.0
2017-07-21,27570.0
2017-07-24,27900.0
2017-07-25,26920.0
2017-07-26,26215.0
2017-07-27,26500.0
2017-07-28,25430.0
2017-07-31,25655.0
2017-08-01,25625.0
2017-08-02,26200.0
2017-08-03,25100.0
2017-08-04,24855.0
2017-08-07,24945.0
2017-08-08,25385.0
2017-08-09,24805.0
2017-08-10,24710.0
2017-08-11,24005.0
2017-08-14,24700.0
2017-08-16,24850.0
2017-08-17,25240.0
2017-08-18,25360.0
2017-08-21,25280.0
2017-08-22,25545.0
2017-08-23,25735.0
2017-08-24,25720.0
2017-08-25,25750.0
2017-08-28,25550.0
2017-08-29,25425.0
2017-08-30,25630.0
2017-08-31,25855.0
2017-09-01,26045.0
2017-09-04,25485.0
2017-09-05,25650.0
2017-09-06,25850.0
2017-09-07,26080.0
2017-09-08,26190.0
2017-09-11,26650.0
2017-09-12,27095.0
2017-09-13,27355.0
2017-09-14,27515.0
2017-09-15,27555.0
2017-09-18,27860.0
2017-09-19,27570.0
2017-09-20,27480.0
2017-09-21,27290.0
2017-09-22,27040.0
2017-09-25,27345.0
2017-09-26,27055.0
2017-09-27,27280.0
2017-09-28,27390.0
2017-09-29,27400.0
2017-10-10,28255.0
2017-10-11,28415.0
2017-10-12,28405.0
2017-10-13,27760.0
2017-10-16,27450.0
2017-10-17,27510.0
2017-10-18,27365.0
2017-10-19,27425.0
2017-10-20,27615.0
2017-10-23,27835.0
2017-10-24,27775.0
2017-10-25,28180.0
2017-10-26,27360.0
2017-10-27,27380.0
2017-10-30,27665.0
2017-10-31,28190.0
2017-11-01,28240.0
2017-11-02,27910.0
2017-11-03,28075.0
2017-11-06,28175.0
2017-11-07,28185.0
2017-11-08,28210.0
2017-11-09,28055.0
2017-11-10,28260.0
2017-11-13,28410.0
2017-11-14,28945.0
2017-11-15,28650.0
2017-11-16,28865.0
2017-11-17,28950.0
2017-11-20,28745.0
2017-11-21,29050.0
2017-11-22,29485.0
2017-11-23,29375.0
2017-11-24,29600.0
2017-11-27,29225.0
2017-11-28,28830.0
2017-11-29,28930.0
2017-11-30,27885.0
2017-12-01,28025.0
2017-12-04,27940.0
2017-12-05,27830.0
2017-12-06,27350.0
2017-12-07,26865.0
2017-12-08,26885.0
2017-12-11,27475.0
2017-12-12,27195.0
2017-12-13,27415.0
2017-12-14,27470.0
2017-12-15,27280.0
2017-12-18,27000.0
2017-12-19,27510.0
