Date,KBSTAR 5대그룹주
2018-06-07,5960.0
2018-06-08,5935.0
2018-06-11,5950.0
2018-06-12,5955.0
2018-06-14,5875.0
2018-06-15,5810.0
2018-06-18,5735.0
2018-06-19,5640.0
2018-06-20,5705.0
2018-06-21,5650.0
2018-06-22,5700.0
2018-06-25,5685.0
2018-06-26,5635.0
2018-06-27,5610.0
2018-06-28,5540.0
2018-06-29,5565.0
2018-07-02,5415.0
2018-07-03,5410.0
2018-07-04,5365.0
2018-07-05,5400.0
2018-07-06,5440.0
2018-07-09,5505.0
2018-07-10,5480.0
2018-07-11,5460.0
2018-07-12,5510.0
2018-07-13,5575.0
2018-07-16,5600.0
2018-07-17,5595.0
2018-07-18,5575.0
2018-07-19,5615.0
2018-07-20,5625.0
2018-07-23,5555.0
2018-07-24,5600.0
2018-07-25,5610.0
2018-07-26,5650.0
2018-07-27,5680.0
2018-07-30,5680.0
2018-07-31,5665.0
2018-08-01,5655.0
2018-08-02,5590.0
2018-08-03,5630.0
2018-08-06,5610.0
2018-08-07,5625.0
2018-08-08,5650.0
2018-08-09,5630.0
2018-08-10,5585.0
2018-08-13,5495.0
2018-08-14,5545.0
2018-08-16,5520.0
2018-08-17,5515.0
2018-08-20,5520.0
2018-08-21,5560.0
2018-08-22,5560.0
2018-08-23,5575.0
2018-08-24,5635.0
2018-08-27,5645.0
2018-08-28,5645.0
2018-08-29,5660.0
2018-08-30,5665.0
2018-08-31,5685.0
2018-09-03,5630.0
2018-09-04,5680.0
2018-09-05,5640.0
2018-09-06,5615.0
2018-09-07,5620.0
2018-09-10,5605.0
2018-09-11,5565.0
2018-09-12,5565.0
2018-09-13,5560.0
2018-09-14,5625.0
2018-09-17,5600.0
2018-09-18,5650.0
2018-09-19,5635.0
2018-09-20,5670.0
2018-09-21,5675.0
2018-09-27,5735.0
2018-09-28,5730.0
2018-10-01,5695.0
2018-10-02,5635.0
