Date,TIGER 200커버드콜5%OTM
2016-08-09,10965.0
2016-08-10,10960.0
2016-08-11,10930.0
2016-08-12,11025.0
2016-08-16,10985.0
2016-08-17,10960.0
2016-08-18,10960.0
2016-08-19,11045.0
2016-08-22,11020.0
2016-08-23,11040.0
2016-08-24,11040.0
2016-08-25,11040.0
2016-08-26,10990.0
2016-08-29,10970.0
2016-08-30,11035.0
2016-08-31,11020.0
2016-09-01,10970.0
2016-09-02,10975.0
2016-09-05,11120.0
2016-09-06,11155.0
2016-09-07,11155.0
2016-09-08,11145.0
2016-09-09,11085.0
2016-09-12,10785.0
2016-09-13,10780.0
2016-09-19,10780.0
2016-09-20,10865.0
2016-09-21,10910.0
2016-09-22,11100.0
2016-09-23,11075.0
2016-09-26,11025.0
2016-09-27,11100.0
2016-09-28,11100.0
2016-09-29,11100.0
2016-09-30,11050.0
2016-10-04,11080.0
2016-10-05,11080.0
2016-10-06,11160.0
2016-10-07,11145.0
2016-10-10,11110.0
2016-10-11,10995.0
2016-10-12,10995.0
2016-10-13,10910.0
2016-10-14,10935.0
2016-10-17,10915.0
2016-10-18,11025.0
2016-10-19,11055.0
2016-10-20,11065.0
2016-10-21,11065.0
2016-10-24,11065.0
2016-10-25,11065.0
2016-10-26,11000.0
2016-10-27,11000.0
2016-10-28,11000.0
2016-10-31,11015.0
2016-11-01,10915.0
2016-11-02,10860.0
2016-11-03,10880.0
2016-11-04,10855.0
2016-11-07,10940.0
2016-11-08,10960.0
2016-11-09,10745.0
2016-11-10,10950.0
2016-11-11,10855.0
2016-11-14,10775.0
2016-11-15,10775.0
2016-11-16,10760.0
2016-11-17,10750.0
2016-11-18,10740.0
2016-11-21,10710.0
2016-11-22,10855.0
2016-11-23,10860.0
2016-11-24,10850.0
2016-11-25,10850.0
2016-11-28,10890.0
2016-11-29,10890.0
2016-11-30,10880.0
2016-12-01,10945.0
2016-12-02,10875.0
2016-12-05,10865.0
2016-12-06,10995.0
2016-12-07,11000.0
2016-12-08,11075.0
2016-12-09,11205.0
2016-12-12,11205.0
2016-12-13,11200.0
2016-12-14,11230.0
2016-12-15,11145.0
2016-12-16,11240.0
2016-12-19,11260.0
2016-12-20,11270.0
2016-12-21,11270.0
2016-12-22,11270.0
2016-12-23,11265.0
2016-12-26,11270.0
2016-12-27,11270.0
2016-12-28,11320.0
2016-12-29,11325.0
2017-01-02,11380.0
2017-01-03,11440.0
2017-01-04,11460.0
2017-01-05,11415.0
2017-01-06,11490.0
2017-01-09,11515.0
2017-01-10,11495.0
2017-01-11,11715.0
2017-01-12,11735.0
2017-01-13,11705.0
2017-01-16,11620.0
2017-01-17,11675.0
2017-01-18,11675.0
2017-01-19,11655.0
2017-01-20,11655.0
2017-01-23,11655.0
2017-01-24,11655.0
2017-01-25,11680.0
2017-01-26,11810.0
