Date,KODEX China H
2017-01-31,18050.0
2017-02-01,17820.0
2017-02-02,17535.0
2017-02-03,17500.0
2017-02-06,17620.0
2017-02-07,17780.0
2017-02-08,17860.0
2017-02-09,18150.0
2017-02-10,18450.0
2017-02-13,18540.0
2017-02-14,18400.0
2017-02-15,18800.0
2017-02-16,18830.0
2017-02-17,18675.0
2017-02-20,18865.0
2017-02-21,18930.0
2017-02-22,18935.0
2017-02-23,18820.0
2017-02-24,18610.0
2017-02-27,18535.0
2017-02-28,18435.0
2017-03-02,18630.0
2017-03-03,18550.0
2017-03-06,18520.0
2017-03-07,18555.0
2017-03-08,18500.0
2017-03-09,18430.0
2017-03-10,18375.0
2017-03-13,18505.0
2017-03-14,18550.0
2017-03-15,18525.0
2017-03-16,18700.0
2017-03-17,18770.0
2017-03-20,18645.0
2017-03-21,18780.0
2017-03-22,18475.0
2017-03-23,18600.0
2017-03-24,18575.0
2017-03-27,18220.0
2017-03-28,18300.0
2017-03-29,18420.0
2017-03-30,18265.0
2017-03-31,18135.0
2017-04-03,18165.0
2017-04-04,18295.0
2017-04-05,18300.0
2017-04-06,18400.0
2017-04-07,18250.0
2017-04-10,18425.0
2017-04-11,18350.0
2017-04-12,18250.0
2017-04-13,18170.0
2017-04-14,18225.0
2017-04-17,18290.0
2017-04-18,18130.0
2017-04-19,17955.0
2017-04-20,17950.0
2017-04-21,18040.0
2017-04-24,18050.0
2017-04-25,18205.0
2017-04-26,18225.0
2017-04-27,18270.0
2017-04-28,18260.0
2017-05-02,18135.0
2017-05-04,17950.0
2017-05-08,17725.0
2017-05-10,18300.0
2017-05-11,18220.0
2017-05-12,18150.0
2017-05-15,18350.0
2017-05-16,18280.0
2017-05-17,18200.0
2017-05-18,18230.0
2017-05-19,18200.0
2017-05-22,18260.0
2017-05-23,18380.0
2017-05-24,18280.0
2017-05-25,18460.0
2017-05-26,18590.0
2017-05-29,18635.0
2017-05-30,18620.0
2017-05-31,18770.0
2017-06-01,18650.0
2017-06-02,18730.0
2017-06-05,18685.0
2017-06-07,18790.0
2017-06-08,18830.0
2017-06-09,18695.0
2017-06-12,18540.0
2017-06-13,18710.0
2017-06-14,18590.0
2017-06-15,18450.0
2017-06-16,18595.0
2017-06-19,18770.0
2017-06-20,18740.0
2017-06-21,18735.0
2017-06-22,18830.0
2017-06-23,18870.0
2017-06-26,18890.0
2017-06-27,18900.0
2017-06-28,18850.0
2017-06-29,18850.0
2017-06-30,18900.0
2017-07-03,18940.0
2017-07-04,18940.0
2017-07-05,19080.0
2017-07-06,19195.0
2017-07-07,19140.0
2017-07-10,19010.0
2017-07-11,19360.0
2017-07-12,19450.0
2017-07-13,19635.0
2017-07-14,19660.0
2017-07-17,19660.0
2017-07-18,19645.0
2017-07-19,19615.0
2017-07-20,19725.0
2017-07-21,19600.0
2017-07-24,19490.0
2017-07-25,19475.0
2017-07-26,19540.0
2017-07-27,19535.0
2017-07-28,19425.0
2017-07-31,19520.0
2017-08-01,19890.0
2017-08-02,20160.0
2017-08-03,20140.0
2017-08-04,20055.0
2017-08-07,20085.0
2017-08-08,20055.0
2017-08-09,20050.0
2017-08-10,19960.0
2017-08-11,19635.0
2017-08-14,19725.0
2017-08-16,19955.0
2017-08-17,19775.0
2017-08-18,19775.0
2017-08-21,19795.0
2017-08-22,20025.0
2017-08-23,20045.0
2017-08-24,20110.0
2017-08-25,20570.0
2017-08-28,20565.0
2017-08-29,20560.0
2017-08-30,20710.0
2017-08-31,20540.0
2017-09-01,20445.0
2017-09-04,20420.0
2017-09-05,20510.0
2017-09-06,20410.0
2017-09-07,20275.0
2017-09-08,20305.0
2017-09-11,20600.0
2017-09-12,20530.0
2017-09-13,20535.0
2017-09-14,20410.0
2017-09-15,20330.0
2017-09-18,20490.0
2017-09-19,20435.0
2017-09-20,20500.0
2017-09-21,20600.0
2017-09-22,20535.0
2017-09-25,20150.0
2017-09-26,20145.0
2017-09-27,20390.0
2017-09-28,20365.0
2017-09-29,20335.0
2017-10-10,21000.0
2017-10-11,21175.0
2017-10-12,21200.0
2017-10-13,21140.0
2017-10-16,21225.0
