Date,파워 중기국고채
2016-05-11,105645.0
2016-05-12,105665.0
2016-05-13,105640.0
2016-05-16,105605.0
2016-05-17,105585.0
2016-05-18,105575.0
2016-05-19,105460.0
2016-05-20,105525.0
2016-05-23,105545.0
2016-05-24,105605.0
2016-05-25,105605.0
2016-05-26,105600.0
2016-05-27,105580.0
2016-05-30,105505.0
2016-05-31,105535.0
2016-06-01,105690.0
2016-06-02,105710.0
2016-06-03,105720.0
2016-06-07,105830.0
2016-06-08,104675.0
2016-06-09,104825.0
2016-06-10,104890.0
2016-06-13,104900.0
2016-06-14,104845.0
2016-06-15,104845.0
2016-06-16,104970.0
2016-06-17,104855.0
2016-06-20,104810.0
2016-06-21,104820.0
2016-06-22,104805.0
2016-06-23,104805.0
2016-06-24,105205.0
2016-06-27,105200.0
2016-06-28,105185.0
2016-06-29,105205.0
2016-06-30,105205.0
2016-07-01,105270.0
2016-07-04,105260.0
2016-07-05,105300.0
2016-07-06,105370.0
2016-07-07,105350.0
2016-07-08,105365.0
2016-07-11,105390.0
2016-07-12,105340.0
2016-07-13,105345.0
2016-07-14,105430.0
2016-07-15,105355.0
2016-07-18,105325.0
2016-07-19,105370.0
2016-07-20,105335.0
2016-07-21,105315.0
2016-07-22,105315.0
2016-07-25,105345.0
2016-07-26,105375.0
2016-07-27,105360.0
2016-07-28,105435.0
2016-07-29,105450.0
2016-08-01,105435.0
2016-08-02,105435.0
2016-08-03,105335.0
2016-08-04,105360.0
2016-08-05,105440.0
2016-08-08,105400.0
2016-08-09,105385.0
2016-08-10,105475.0
2016-08-11,105455.0
2016-08-12,105445.0
2016-08-16,105470.0
2016-08-17,105435.0
2016-08-18,105465.0
2016-08-19,105455.0
2016-08-22,105435.0
2016-08-23,105450.0
2016-08-24,105455.0
2016-08-25,105445.0
2016-08-26,105415.0
2016-08-29,105345.0
2016-08-30,105335.0
2016-08-31,105240.0
2016-09-01,105245.0
2016-09-02,105160.0
2016-09-05,105235.0
2016-09-06,105260.0
2016-09-07,104135.0
2016-09-08,104155.0
2016-09-09,104005.0
2016-09-12,103950.0
2016-09-13,103920.0
2016-09-19,103920.0
2016-09-20,103940.0
2016-09-21,103955.0
2016-09-22,104115.0
2016-09-23,104125.0
2016-09-26,104080.0
2016-09-27,104100.0
2016-09-28,104110.0
2016-09-29,104140.0
2016-09-30,104315.0
2016-10-04,104195.0
2016-10-05,104075.0
2016-10-06,104100.0
2016-10-07,104080.0
2016-10-10,104075.0
2016-10-11,103900.0
2016-10-12,103970.0
2016-10-13,104140.0
2016-10-14,104100.0
2016-10-17,103980.0
2016-10-18,104020.0
2016-10-19,104045.0
2016-10-20,104000.0
2016-10-21,103955.0
2016-10-24,103920.0
2016-10-25,103910.0
2016-10-26,103890.0
2016-10-27,103825.0
2016-10-28,103745.0
2016-10-31,103785.0
2016-11-01,103735.0
2016-11-02,103825.0
2016-11-03,103870.0
2016-11-04,103830.0
2016-11-07,103810.0
2016-11-08,103825.0
2016-11-09,104050.0
2016-11-10,103695.0
2016-11-11,103545.0
2016-11-14,103245.0
2016-11-15,103175.0
2016-11-16,103110.0
2016-11-17,102780.0
2016-11-18,102905.0
2016-11-21,102940.0
2016-11-22,102980.0
2016-11-23,102810.0
2016-11-24,102750.0
2016-11-25,102695.0
2016-11-28,102820.0
2016-11-29,102945.0
2016-11-30,103050.0
2016-12-01,102620.0
2016-12-02,102735.0
2016-12-05,102795.0
2016-12-06,102795.0
2016-12-07,101305.0
2016-12-08,101405.0
2016-12-09,101405.0
2016-12-12,101375.0
2016-12-13,101460.0
2016-12-14,101650.0
2016-12-15,101565.0
2016-12-16,101565.0
2016-12-19,101565.0
2016-12-20,101550.0
2016-12-21,101590.0
2016-12-22,101675.0
2016-12-23,101675.0
2016-12-26,101675.0
2016-12-27,101665.0
2016-12-28,101735.0
2016-12-29,101830.0
2017-01-02,101800.0
2017-01-03,101830.0
2017-01-04,101855.0
