Date,TIGER 국채3년
2018-06-04,108665.0
2018-06-05,108640.0
2018-06-07,108030.0
2018-06-08,108170.0
2018-06-11,108125.0
2018-06-12,108195.0
2018-06-14,108120.0
2018-06-15,108220.0
2018-06-18,108300.0
2018-06-19,108435.0
2018-06-20,108390.0
2018-06-21,108430.0
2018-06-22,108490.0
2018-06-25,108500.0
2018-06-26,108445.0
2018-06-27,108540.0
2018-06-28,108585.0
2018-06-29,108575.0
2018-07-02,108605.0
2018-07-03,108615.0
2018-07-04,108680.0
2018-07-05,108745.0
2018-07-06,108745.0
2018-07-09,108700.0
2018-07-10,108710.0
2018-07-11,108900.0
2018-07-12,108840.0
2018-07-13,108765.0
2018-07-16,108755.0
2018-07-17,108840.0
2018-07-18,108835.0
2018-07-19,108865.0
2018-07-20,108895.0
2018-07-23,108895.0
2018-07-24,108800.0
2018-07-25,108840.0
2018-07-26,108935.0
2018-07-27,108840.0
2018-07-30,108735.0
2018-07-31,108800.0
2018-08-01,108790.0
2018-08-02,108855.0
2018-08-03,108845.0
2018-08-06,108920.0
2018-08-07,108915.0
2018-08-08,108975.0
2018-08-09,109080.0
2018-08-10,109060.0
2018-08-13,109135.0
2018-08-14,109110.0
2018-08-16,109125.0
2018-08-17,109255.0
2018-08-20,109370.0
2018-08-21,109435.0
2018-08-22,109515.0
2018-08-23,109485.0
2018-08-24,109505.0
2018-08-27,109520.0
2018-08-28,109500.0
2018-08-29,109495.0
2018-08-30,109530.0
2018-08-31,109665.0
2018-09-03,109730.0
2018-09-04,109740.0
2018-09-05,109775.0
2018-09-06,109405.0
2018-09-07,109395.0
2018-09-10,109405.0
2018-09-11,109380.0
2018-09-12,109460.0
2018-09-13,109410.0
2018-09-14,109290.0
2018-09-17,109265.0
2018-09-18,109200.0
2018-09-19,109160.0
2018-09-20,109035.0
2018-09-21,109035.0
2018-09-27,109135.0
2018-09-28,109175.0
2018-10-01,109135.0
2018-10-02,109170.0
2018-10-04,109015.0
2018-10-05,108960.0
