Date,KOSEF 통안채1년
2017-04-12,101035.0
2017-04-13,101055.0
2017-04-14,101070.0
2017-04-17,101080.0
2017-04-18,101065.0
2017-04-19,101050.0
2017-04-20,101060.0
2017-04-21,101055.0
2017-04-24,101045.0
2017-04-25,101070.0
2017-04-26,101090.0
2017-04-27,101090.0
2017-04-28,101125.0
2017-05-02,101130.0
2017-05-04,101160.0
2017-05-08,101165.0
2017-05-10,101170.0
2017-05-11,101150.0
2017-05-12,101175.0
2017-05-15,101180.0
2017-05-16,101195.0
2017-05-17,101195.0
2017-05-18,101220.0
2017-05-19,101210.0
2017-05-22,101215.0
2017-05-23,101220.0
2017-05-24,101200.0
2017-05-25,101210.0
2017-05-26,101220.0
2017-05-29,101230.0
2017-05-30,101250.0
2017-05-31,101250.0
2017-06-01,101285.0
2017-06-02,101295.0
2017-06-05,101290.0
2017-06-07,101300.0
2017-06-08,101310.0
2017-06-09,101310.0
2017-06-12,101315.0
2017-06-13,101325.0
2017-06-14,101315.0
2017-06-15,101325.0
2017-06-16,101325.0
2017-06-19,101340.0
2017-06-20,101335.0
2017-06-21,101335.0
2017-06-22,101350.0
2017-06-23,101350.0
2017-06-26,101345.0
2017-06-27,101345.0
2017-06-28,101340.0
2017-06-29,101365.0
2017-06-30,101370.0
2017-07-03,101370.0
2017-07-04,101370.0
2017-07-05,101385.0
2017-07-06,101385.0
2017-07-07,101385.0
2017-07-10,101395.0
2017-07-11,101400.0
2017-07-12,101400.0
2017-07-13,101410.0
2017-07-14,101420.0
2017-07-17,101425.0
2017-07-18,101435.0
2017-07-19,101445.0
2017-07-20,101455.0
2017-07-21,101475.0
2017-07-24,101475.0
2017-07-25,101490.0
2017-07-26,101505.0
2017-07-27,101510.0
2017-07-28,101520.0
2017-07-31,101530.0
2017-08-01,101525.0
2017-08-02,101540.0
2017-08-03,101575.0
2017-08-04,101555.0
2017-08-07,101550.0
2017-08-08,101550.0
2017-08-09,101535.0
2017-08-10,101500.0
2017-08-11,101520.0
2017-08-14,101500.0
2017-08-16,101480.0
2017-08-17,101505.0
2017-08-18,101520.0
2017-08-21,101525.0
2017-08-22,101520.0
2017-08-23,101525.0
2017-08-24,101540.0
2017-08-25,101555.0
2017-08-28,101560.0
2017-08-29,101565.0
2017-08-30,101575.0
2017-08-31,101620.0
2017-09-01,101615.0
2017-09-04,101625.0
2017-09-05,101640.0
2017-09-06,101640.0
2017-09-07,101650.0
2017-09-08,101655.0
2017-09-11,101645.0
2017-09-12,101645.0
2017-09-13,101640.0
2017-09-14,101640.0
2017-09-15,101650.0
2017-09-18,101660.0
2017-09-19,101650.0
2017-09-20,101645.0
2017-09-21,101655.0
2017-09-22,101660.0
2017-09-25,101660.0
2017-09-26,101655.0
2017-09-27,101640.0
2017-09-28,101675.0
2017-09-29,101665.0
2017-10-10,101670.0
2017-10-11,101635.0
2017-10-12,101670.0
2017-10-13,101645.0
2017-10-16,101635.0
2017-10-17,101630.0
2017-10-18,101625.0
2017-10-19,101545.0
2017-10-20,101455.0
2017-10-23,101500.0
2017-10-24,101505.0
2017-10-25,101520.0
2017-10-26,101495.0
2017-10-27,101450.0
2017-10-30,101455.0
2017-10-31,101440.0
2017-11-01,101435.0
2017-11-02,101475.0
2017-11-03,101535.0
2017-11-06,101560.0
2017-11-07,101570.0
2017-11-08,101580.0
2017-11-09,101595.0
2017-11-10,101585.0
2017-11-13,101585.0
2017-11-14,101590.0
2017-11-15,101595.0
2017-11-16,101610.0
2017-11-17,101605.0
2017-11-20,101620.0
2017-11-21,101620.0
2017-11-22,101630.0
2017-11-23,101640.0
2017-11-24,101630.0
2017-11-27,101615.0
2017-11-28,101620.0
2017-11-29,101640.0
2017-11-30,101690.0
2017-12-01,101675.0
2017-12-04,101710.0
2017-12-05,101715.0
2017-12-06,101705.0
2017-12-07,101735.0
2017-12-08,101740.0
2017-12-11,101750.0
2017-12-12,101770.0
2017-12-13,101785.0
2017-12-14,101795.0
2017-12-15,101780.0
2017-12-18,101755.0
2017-12-19,101750.0
2017-12-20,101770.0
2017-12-21,101790.0
2017-12-22,101770.0
2017-12-26,101780.0
2017-12-27,100500.0
2017-12-28,100525.0
2018-01-02,100575.0
2018-01-03,100570.0
2018-01-04,100595.0
2018-01-05,100615.0
2018-01-08,100615.0
2018-01-09,100620.0
2018-01-10,100615.0
2018-01-11,100630.0
2018-01-12,100635.0
2018-01-15,100600.0
2018-01-16,100605.0
2018-01-17,100615.0
2018-01-18,100635.0
2018-01-19,100650.0
2018-01-22,100665.0
2018-01-23,100665.0
2018-01-24,100680.0
2018-01-25,100710.0
2018-01-26,100715.0
2018-01-29,100670.0
2018-01-30,100665.0
2018-01-31,100695.0
2018-02-01,100730.0
2018-02-02,100730.0
2018-02-05,100740.0
2018-02-06,100750.0
2018-02-07,100755.0
2018-02-08,100755.0
2018-02-09,100780.0
2018-02-12,100780.0
2018-02-13,100800.0
2018-02-14,100790.0
2018-02-19,100810.0
2018-02-20,100785.0
2018-02-21,100800.0
2018-02-22,100830.0
2018-02-23,100850.0
2018-02-26,100860.0
2018-02-27,100880.0
