Date,KODEX 반도체
2017-01-12,20960.0
2017-01-13,20825.0
2017-01-16,20365.0
2017-01-17,20365.0
2017-01-18,20500.0
2017-01-19,20535.0
2017-01-20,20340.0
2017-01-23,20470.0
2017-01-24,20535.0
2017-01-25,20600.0
2017-01-26,20950.0
2017-01-31,21125.0
2017-02-01,21095.0
2017-02-02,20660.0
2017-02-03,20795.0
2017-02-06,20570.0
2017-02-07,20265.0
2017-02-08,20560.0
2017-02-09,20395.0
2017-02-10,19930.0
2017-02-13,20100.0
2017-02-14,19825.0
2017-02-15,19770.0
2017-02-16,20215.0
2017-02-17,20530.0
2017-02-20,20650.0
2017-02-21,20720.0
2017-02-22,20685.0
2017-02-23,20485.0
2017-02-24,19990.0
2017-02-27,19930.0
2017-02-28,19990.0
2017-03-02,20025.0
2017-03-03,19845.0
2017-03-06,20400.0
2017-03-07,20445.0
2017-03-08,20360.0
2017-03-09,20305.0
2017-03-10,20600.0
2017-03-13,20915.0
2017-03-14,20750.0
2017-03-15,20495.0
2017-03-16,20470.0
2017-03-17,20140.0
2017-03-20,20145.0
2017-03-21,20110.0
2017-03-22,20200.0
2017-03-23,20140.0
2017-03-24,20405.0
2017-03-27,20545.0
2017-03-28,20655.0
2017-03-29,20920.0
2017-03-30,20900.0
2017-03-31,20900.0
2017-04-03,21345.0
2017-04-04,21455.0
2017-04-05,21325.0
2017-04-06,21205.0
2017-04-07,21365.0
2017-04-10,21000.0
2017-04-11,21105.0
2017-04-12,21200.0
2017-04-13,21235.0
2017-04-14,21130.0
2017-04-17,21360.0
2017-04-18,21865.0
2017-04-19,21835.0
2017-04-20,21820.0
2017-04-21,21865.0
2017-04-24,21760.0
2017-04-25,21915.0
2017-04-26,22290.0
2017-04-27,22000.0
2017-04-28,22070.0
2017-05-02,22300.0
2017-05-04,22600.0
2017-05-08,22885.0
2017-05-10,22680.0
2017-05-11,23150.0
2017-05-12,22960.0
2017-05-15,23150.0
2017-05-16,22755.0
2017-05-17,22740.0
2017-05-18,22890.0
2017-05-19,22745.0
2017-05-22,23000.0
2017-05-23,22930.0
2017-05-24,22950.0
2017-05-25,22765.0
2017-05-26,22940.0
2017-05-29,23170.0
2017-05-30,23390.0
2017-05-31,23370.0
2017-06-01,23360.0
2017-06-02,23700.0
2017-06-05,23480.0
2017-06-07,23675.0
2017-06-08,24155.0
2017-06-09,24550.0
2017-06-12,23850.0
2017-06-13,24085.0
2017-06-14,24220.0
2017-06-15,24210.0
2017-06-16,24240.0
2017-06-19,24885.0
2017-06-20,24655.0
2017-06-21,24510.0
2017-06-22,24545.0
2017-06-23,24850.0
2017-06-26,25640.0
2017-06-27,25975.0
2017-06-28,25525.0
2017-06-29,25730.0
2017-06-30,25570.0
2017-07-03,24890.0
2017-07-04,24615.0
2017-07-05,25300.0
2017-07-06,25385.0
2017-07-07,25235.0
2017-07-10,25285.0
2017-07-11,25500.0
2017-07-12,25445.0
2017-07-13,26140.0
2017-07-14,26280.0
2017-07-17,26410.0
2017-07-18,26640.0
2017-07-19,27135.0
2017-07-20,27240.0
2017-07-21,27130.0
2017-07-24,27440.0
2017-07-25,26555.0
2017-07-26,25865.0
2017-07-27,26190.0
2017-07-28,25045.0
2017-07-31,25355.0
2017-08-01,25125.0
2017-08-02,25705.0
2017-08-03,24625.0
2017-08-04,24435.0
2017-08-07,24540.0
2017-08-08,25070.0
2017-08-09,24465.0
2017-08-10,24365.0
2017-08-11,23650.0
2017-08-14,24270.0
2017-08-16,24560.0
2017-08-17,24855.0
2017-08-18,25050.0
2017-08-21,24990.0
2017-08-22,25120.0
2017-08-23,25300.0
2017-08-24,25300.0
2017-08-25,25370.0
2017-08-28,25140.0
2017-08-29,25030.0
2017-08-30,25200.0
2017-08-31,25405.0
2017-09-01,25655.0
2017-09-04,25090.0
2017-09-05,25180.0
2017-09-06,25505.0
2017-09-07,25735.0
2017-09-08,25795.0
2017-09-11,26170.0
2017-09-12,26620.0
2017-09-13,26870.0
2017-09-14,27095.0
2017-09-15,27150.0
2017-09-18,27405.0
2017-09-19,27140.0
2017-09-20,27000.0
2017-09-21,26875.0
2017-09-22,26530.0
2017-09-25,26880.0
2017-09-26,26600.0
2017-09-27,26755.0
2017-09-28,26900.0
2017-09-29,26975.0
2017-10-10,27730.0
2017-10-11,27990.0
2017-10-12,27940.0
2017-10-13,27320.0
2017-10-16,26935.0
2017-10-17,27165.0
2017-10-18,26880.0
2017-10-19,27095.0
2017-10-20,27190.0
2017-10-23,27500.0
2017-10-24,27365.0
2017-10-25,27650.0
2017-10-26,26900.0
2017-10-27,26960.0
2017-10-30,27195.0
2017-10-31,27745.0
2017-11-01,27740.0
2017-11-02,27415.0
2017-11-03,27635.0
2017-11-06,27635.0
2017-11-07,27720.0
2017-11-08,27825.0
2017-11-09,27580.0
2017-11-10,27820.0
2017-11-13,28040.0
2017-11-14,28590.0
2017-11-15,28080.0
2017-11-16,28515.0
2017-11-17,28415.0
2017-11-20,28255.0
2017-11-21,28550.0
2017-11-22,28985.0
2017-11-23,28885.0
2017-11-24,29105.0
2017-11-27,28660.0
2017-11-28,28330.0
2017-11-29,28525.0
2017-11-30,27425.0
2017-12-01,27565.0
2017-12-04,27585.0
2017-12-05,27370.0
2017-12-06,26815.0
