Date,KOSEF 200
2018-01-05,33550.0
2018-01-08,33795.0
2018-01-09,33700.0
2018-01-10,33470.0
2018-01-11,33285.0
2018-01-12,33370.0
2018-01-15,33435.0
2018-01-16,33705.0
2018-01-17,33630.0
2018-01-18,33625.0
2018-01-19,33635.0
2018-01-22,33330.0
2018-01-23,33760.0
2018-01-24,33805.0
2018-01-25,34080.0
2018-01-26,34230.0
2018-01-29,34470.0
2018-01-30,34065.0
2018-01-31,34125.0
2018-02-01,34055.0
2018-02-02,33415.0
2018-02-05,33045.0
2018-02-06,32565.0
2018-02-07,31760.0
2018-02-08,32010.0
2018-02-09,31140.0
2018-02-12,31475.0
2018-02-13,31735.0
2018-02-14,32120.0
2018-02-19,32325.0
2018-02-20,31940.0
2018-02-21,32100.0
2018-02-22,31930.0
2018-02-23,32365.0
2018-02-26,32460.0
2018-02-27,32385.0
2018-02-28,32010.0
2018-03-02,31545.0
2018-03-05,31150.0
2018-03-06,31755.0
2018-03-07,31785.0
2018-03-08,32095.0
2018-03-09,32465.0
2018-03-12,32765.0
2018-03-13,32945.0
2018-03-14,32895.0
2018-03-15,33025.0
2018-03-16,32975.0
2018-03-19,32750.0
2018-03-20,32875.0
2018-03-21,32900.0
2018-03-22,33020.0
2018-03-23,31915.0
2018-03-26,32170.0
2018-03-27,32335.0
2018-03-28,31905.0
2018-03-29,32185.0
2018-03-30,32295.0
2018-04-02,32205.0
2018-04-03,32115.0
2018-04-04,31610.0
2018-04-05,32065.0
2018-04-06,31910.0
2018-04-09,32125.0
2018-04-10,32175.0
2018-04-11,32070.0
2018-04-12,32055.0
2018-04-13,32280.0
2018-04-16,32310.0
2018-04-17,32240.0
2018-04-18,32605.0
2018-04-19,32780.0
2018-04-20,32570.0
2018-04-23,32545.0
2018-04-24,32360.0
2018-04-25,32155.0
2018-04-26,32565.0
2018-04-27,32310.0
2018-04-30,32605.0
2018-05-02,32400.0
2018-05-03,32305.0
2018-05-04,31915.0
2018-05-08,31750.0
2018-05-09,31675.0
2018-05-10,31885.0
2018-05-11,32080.0
2018-05-14,31995.0
2018-05-15,31720.0
2018-05-16,31830.0
2018-05-17,31675.0
2018-05-18,31780.0
2018-05-21,31870.0
2018-05-23,32055.0
2018-05-24,31960.0
2018-05-25,32020.0
2018-05-28,32150.0
2018-05-29,31865.0
2018-05-30,31150.0
2018-05-31,31325.0
2018-06-01,31485.0
2018-06-04,31670.0
2018-06-05,31745.0
2018-06-07,32020.0
2018-06-08,31700.0
2018-06-11,31960.0
2018-06-12,31935.0
2018-06-14,31325.0
2018-06-15,31170.0
2018-06-18,30805.0
2018-06-19,30415.0
2018-06-20,30665.0
2018-06-21,30370.0
2018-06-22,30595.0
2018-06-25,30610.0
2018-06-26,30565.0
2018-06-27,30470.0
2018-06-28,30160.0
2018-06-29,30310.0
2018-07-02,29590.0
2018-07-03,29700.0
2018-07-04,29530.0
2018-07-05,29455.0
2018-07-06,29680.0
2018-07-09,29865.0
2018-07-10,29925.0
2018-07-11,29755.0
2018-07-12,29835.0
2018-07-13,30135.0
2018-07-16,30025.0
2018-07-17,29990.0
2018-07-18,29930.0
2018-07-19,29860.0
2018-07-20,29975.0
2018-07-23,29740.0
2018-07-24,29850.0
2018-07-25,29795.0
2018-07-26,29970.0
2018-07-27,30065.0
2018-07-30,30010.0
2018-07-31,30075.0
2018-08-01,30160.0
2018-08-02,29635.0
2018-08-03,29840.0
2018-08-06,29815.0
2018-08-07,30005.0
2018-08-08,30005.0
2018-08-09,30010.0
2018-08-10,29670.0
2018-08-13,29290.0
2018-08-14,29435.0
2018-08-16,29125.0
2018-08-17,29115.0
2018-08-20,29160.0
2018-08-21,29455.0
2018-08-22,29555.0
2018-08-23,29685.0
2018-08-24,29820.0
2018-08-27,29960.0
2018-08-28,29990.0
2018-08-29,30065.0
2018-08-30,30110.0
2018-08-31,30330.0
2018-09-03,30030.0
2018-09-04,30160.0
2018-09-05,29775.0
2018-09-06,29715.0
2018-09-07,29570.0
2018-09-10,29625.0
2018-09-11,29540.0
2018-09-12,29500.0
2018-09-13,29540.0
2018-09-14,29980.0
2018-09-17,29775.0
2018-09-18,29910.0
2018-09-19,29925.0
2018-09-20,30205.0
2018-09-21,30320.0
2018-09-27,30565.0
2018-09-28,30445.0
2018-10-01,30345.0
2018-10-02,29980.0
2018-10-04,29505.0
2018-10-05,29470.0
2018-10-08,29340.0
