Date,KOSEF 코스피100
2018-08-02,22500.0
2018-08-03,22650.0
2018-08-06,22620.0
2018-08-07,22780.0
2018-08-08,22795.0
2018-08-09,22810.0
2018-08-10,22490.0
2018-08-13,22195.0
2018-08-14,22290.0
2018-08-16,22055.0
2018-08-17,22080.0
2018-08-20,22065.0
2018-08-21,22335.0
2018-08-22,22435.0
2018-08-23,22535.0
2018-08-24,22630.0
2018-08-27,22755.0
2018-08-28,22765.0
2018-08-29,22825.0
2018-08-30,22845.0
2018-08-31,22995.0
2018-09-03,22775.0
2018-09-04,22890.0
2018-09-05,22580.0
2018-09-06,22525.0
2018-09-07,22385.0
2018-09-10,22445.0
2018-09-11,22325.0
2018-09-12,22310.0
2018-09-13,22310.0
2018-09-14,22695.0
2018-09-17,22545.0
2018-09-18,22615.0
2018-09-19,22685.0
2018-09-20,22895.0
2018-09-21,23015.0
2018-09-27,23135.0
2018-09-28,23035.0
2018-10-01,23020.0
2018-10-02,22725.0
2018-10-04,22345.0
