Date,KINDEX 중기국고채
2018-01-10,104310.0
2018-01-11,104430.0
2018-01-12,104395.0
2018-01-15,104245.0
2018-01-16,104265.0
2018-01-17,104275.0
2018-01-18,104415.0
2018-01-19,104405.0
2018-01-22,104395.0
2018-01-23,104355.0
2018-01-24,104380.0
2018-01-25,104365.0
2018-01-26,104345.0
2018-01-29,104125.0
2018-01-30,104085.0
2018-01-31,104145.0
2018-02-01,104225.0
2018-02-02,104240.0
2018-02-05,104235.0
2018-02-06,104325.0
2018-02-07,104350.0
2018-02-08,104330.0
2018-02-09,104345.0
2018-02-12,104250.0
2018-02-13,104285.0
2018-02-14,104360.0
2018-02-19,104295.0
2018-02-20,104305.0
2018-02-21,104295.0
2018-02-22,104325.0
2018-02-23,104365.0
2018-02-26,104470.0
2018-02-27,104500.0
2018-02-28,104495.0
2018-03-02,104580.0
2018-03-05,104415.0
2018-03-06,104415.0
2018-03-07,104135.0
2018-03-08,104175.0
2018-03-09,104175.0
2018-03-12,104150.0
2018-03-13,104170.0
2018-03-14,104250.0
2018-03-15,104315.0
2018-03-16,104305.0
2018-03-19,104365.0
2018-03-20,104260.0
2018-03-21,104230.0
2018-03-22,104310.0
2018-03-23,104525.0
2018-03-26,104510.0
2018-03-27,104480.0
2018-03-28,104550.0
2018-03-29,104545.0
2018-03-30,104520.0
2018-04-02,104530.0
2018-04-03,104615.0
2018-04-04,104710.0
2018-04-05,104730.0
2018-04-06,104805.0
2018-04-09,104770.0
2018-04-10,104720.0
2018-04-11,104770.0
2018-04-12,104845.0
2018-04-13,104825.0
2018-04-16,104810.0
2018-04-17,104730.0
2018-04-18,104690.0
2018-04-19,104650.0
2018-04-20,104725.0
2018-04-23,104635.0
2018-04-24,104640.0
2018-04-25,104580.0
2018-04-26,104630.0
2018-04-27,104745.0
2018-04-30,104730.0
2018-05-02,104650.0
2018-05-03,104695.0
2018-05-04,104555.0
2018-05-08,104465.0
2018-05-09,104485.0
2018-05-10,104560.0
2018-05-11,104580.0
2018-05-14,104540.0
2018-05-15,104520.0
2018-05-16,104505.0
2018-05-17,104680.0
2018-05-18,104765.0
2018-05-21,104780.0
