Date,KTOP 코스피50
2018-04-10,21680.0
2018-04-11,21695.0
2018-04-12,21700.0
2018-04-13,21855.0
2018-04-16,21780.0
2018-04-17,21810.0
2018-04-18,21990.0
2018-04-19,22230.0
2018-04-20,21960.0
2018-04-23,21985.0
2018-04-24,21735.0
2018-04-25,21705.0
2018-04-26,21955.0
2018-04-27,21990.0
2018-04-30,22135.0
2018-05-02,21895.0
2018-05-03,21955.0
2018-05-04,21610.0
2018-05-08,21435.0
2018-05-09,21455.0
2018-05-10,21410.0
2018-05-11,21585.0
2018-05-14,21355.0
2018-05-15,21240.0
2018-05-16,21375.0
2018-05-17,21220.0
2018-05-18,21310.0
2018-05-21,21320.0
2018-05-23,21590.0
2018-05-24,21485.0
2018-05-25,21685.0
2018-05-28,21580.0
2018-05-29,21460.0
2018-05-30,21030.0
2018-05-31,20955.0
2018-06-01,21200.0
2018-06-04,21305.0
2018-06-05,21325.0
2018-06-07,21405.0
2018-06-08,21310.0
2018-06-11,21335.0
2018-06-12,21415.0
2018-06-14,21000.0
2018-06-15,20925.0
2018-06-18,20555.0
2018-06-19,20435.0
2018-06-20,20565.0
2018-06-21,20445.0
2018-06-22,20535.0
2018-06-25,20485.0
2018-06-26,20570.0
2018-06-27,20525.0
2018-06-28,20245.0
2018-06-29,20325.0
2018-07-02,20000.0
2018-07-03,20065.0
2018-07-04,19900.0
2018-07-05,19925.0
2018-07-06,20035.0
2018-07-09,20100.0
2018-07-10,20135.0
2018-07-11,20100.0
2018-07-12,20090.0
2018-07-13,20335.0
2018-07-16,20360.0
2018-07-17,20270.0
2018-07-18,20290.0
2018-07-19,20390.0
2018-07-20,20455.0
2018-07-23,20135.0
2018-07-24,20235.0
2018-07-25,20120.0
2018-07-26,20240.0
2018-07-27,20365.0
2018-07-30,20335.0
2018-07-31,20290.0
2018-08-01,20340.0
2018-08-02,19995.0
2018-08-03,20165.0
2018-08-06,20130.0
2018-08-07,20220.0
2018-08-08,20330.0
2018-08-09,20300.0
2018-08-10,19945.0
2018-08-13,19780.0
2018-08-14,19820.0
2018-08-16,19650.0
2018-08-17,19610.0
2018-08-20,19575.0
2018-08-21,19910.0
2018-08-22,20030.0
2018-08-23,19980.0
2018-08-24,20165.0
2018-08-27,20290.0
2018-08-28,20165.0
2018-08-29,20300.0
2018-08-30,20305.0
2018-08-31,20500.0
2018-09-03,20205.0
2018-09-04,20360.0
2018-09-05,20140.0
2018-09-06,19950.0
2018-09-07,19890.0
2018-09-10,19900.0
2018-09-11,19760.0
2018-09-12,19810.0
2018-09-13,19700.0
2018-09-14,20050.0
2018-09-17,20005.0
2018-09-18,20100.0
2018-09-19,20070.0
2018-09-20,20290.0
2018-09-21,20420.0
2018-09-27,20590.0
2018-09-28,20350.0
2018-10-01,20440.0
2018-10-02,20180.0
2018-10-04,19740.0
2018-10-05,19860.0
