Date,마이티 코스피100
2018-01-09,25445.0
2018-01-10,25245.0
2018-01-11,25165.0
2018-01-12,25165.0
2018-01-15,25165.0
2018-01-16,25450.0
2018-01-17,25345.0
2018-01-18,25520.0
2018-01-19,25425.0
2018-01-22,25220.0
2018-01-23,25220.0
2018-01-24,25350.0
2018-01-25,25475.0
2018-01-26,25530.0
2018-01-29,25955.0
2018-01-30,25625.0
2018-01-31,25665.0
2018-02-01,25660.0
2018-02-02,25150.0
2018-02-05,24700.0
2018-02-06,24555.0
2018-02-07,24030.0
2018-02-08,24030.0
2018-02-09,23490.0
2018-02-12,23695.0
2018-02-13,24075.0
2018-02-14,24200.0
2018-02-19,24550.0
2018-02-20,24290.0
2018-02-21,24135.0
2018-02-22,24105.0
2018-02-23,24330.0
2018-02-26,24360.0
2018-02-27,24490.0
2018-02-28,24150.0
2018-03-02,23875.0
2018-03-05,23525.0
2018-03-06,23855.0
2018-03-07,24050.0
2018-03-08,24070.0
2018-03-09,24540.0
2018-03-12,24655.0
2018-03-13,24880.0
2018-03-14,24730.0
2018-03-15,24905.0
2018-03-16,24770.0
2018-03-19,24805.0
2018-03-20,24605.0
2018-03-21,24890.0
2018-03-22,25010.0
2018-03-23,24270.0
2018-03-26,24110.0
2018-03-27,24465.0
2018-03-28,24155.0
2018-03-29,24140.0
2018-03-30,24490.0
2018-04-02,24275.0
2018-04-03,24160.0
2018-04-04,23890.0
2018-04-05,24275.0
2018-04-06,24105.0
2018-04-09,24135.0
2018-04-10,24150.0
2018-04-11,24150.0
2018-04-12,24175.0
2018-04-13,24235.0
2018-04-16,24335.0
2018-04-17,24285.0
2018-04-18,24535.0
2018-04-19,24650.0
2018-04-20,24505.0
2018-04-23,24505.0
2018-04-24,24330.0
2018-04-25,24230.0
2018-04-26,24500.0
2018-04-27,24560.0
2018-04-30,24560.0
2018-05-02,24490.0
2018-05-03,24415.0
2018-05-04,24065.0
2018-05-08,23965.0
2018-05-09,23925.0
2018-05-10,23925.0
2018-05-11,24040.0
2018-05-14,24040.0
2018-05-15,23870.0
2018-05-16,23870.0
2018-05-17,23865.0
2018-05-18,23865.0
2018-05-21,23910.0
2018-05-23,24120.0
2018-05-24,24100.0
2018-05-25,24100.0
2018-05-28,24145.0
2018-05-29,24005.0
2018-05-30,23525.0
2018-05-31,23525.0
2018-06-01,23660.0
2018-06-04,23750.0
2018-06-05,23860.0
2018-06-07,23980.0
2018-06-08,23885.0
2018-06-11,23935.0
2018-06-12,23935.0
2018-06-14,23640.0
2018-06-15,23470.0
2018-06-18,23145.0
2018-06-19,22915.0
2018-06-20,23035.0
2018-06-21,22915.0
2018-06-22,22940.0
2018-06-25,22590.0
2018-06-26,22935.0
2018-06-27,22935.0
2018-06-28,22715.0
2018-06-29,22590.0
2018-07-02,22310.0
2018-07-03,22380.0
2018-07-04,22295.0
2018-07-05,22195.0
2018-07-06,22250.0
2018-07-09,22410.0
2018-07-10,22455.0
2018-07-11,22430.0
2018-07-12,22430.0
2018-07-13,22640.0
2018-07-16,22640.0
2018-07-17,22605.0
2018-07-18,22590.0
2018-07-19,22590.0
2018-07-20,22590.0
2018-07-23,22415.0
2018-07-24,22415.0
2018-07-25,22440.0
2018-07-26,22490.0
2018-07-27,22545.0
2018-07-30,22545.0
2018-07-31,22550.0
2018-08-01,22610.0
2018-08-02,22345.0
2018-08-03,22375.0
2018-08-06,22375.0
2018-08-07,22495.0
2018-08-08,22500.0
2018-08-09,22500.0
2018-08-10,22310.0
2018-08-13,22020.0
2018-08-14,22030.0
2018-08-16,21875.0
2018-08-17,21930.0
2018-08-20,21885.0
2018-08-21,22070.0
2018-08-22,22165.0
2018-08-23,22245.0
2018-08-24,22330.0
2018-08-27,22480.0
2018-08-28,22480.0
2018-08-29,22535.0
2018-08-30,22585.0
2018-08-31,22625.0
2018-09-03,22605.0
2018-09-04,22620.0
2018-09-05,22545.0
2018-09-06,22325.0
2018-09-07,22195.0
2018-09-10,22195.0
2018-09-11,22170.0
2018-09-12,22125.0
2018-09-13,22125.0
2018-09-14,22390.0
2018-09-17,22370.0
2018-09-18,22370.0
2018-09-19,22385.0
2018-09-20,22615.0
2018-09-21,22750.0
2018-09-27,22830.0
2018-09-28,22830.0
2018-10-01,22825.0
2018-10-02,22550.0
2018-10-04,22165.0
2018-10-05,22160.0
