Date,TIGER LG그룹+펀더멘털
2017-04-18,7445.0
2017-04-19,7435.0
2017-04-20,7440.0
2017-04-21,7495.0
2017-04-24,7545.0
2017-04-25,7580.0
2017-04-26,7615.0
2017-04-27,7375.0
2017-04-28,7245.0
2017-05-02,7290.0
2017-05-04,7315.0
2017-05-08,7525.0
2017-05-10,7505.0
2017-05-11,7570.0
2017-05-12,7605.0
2017-05-15,7530.0
2017-05-16,7550.0
2017-05-17,7575.0
2017-05-18,7590.0
2017-05-19,7675.0
2017-05-22,7730.0
2017-05-23,7765.0
2017-05-24,7850.0
2017-05-25,7940.0
2017-05-26,8035.0
2017-05-29,8125.0
2017-05-30,8170.0
2017-05-31,8170.0
2017-06-01,8145.0
2017-06-02,8265.0
2017-06-05,8270.0
2017-06-07,8295.0
2017-06-08,8580.0
2017-06-09,8450.0
2017-06-12,8220.0
2017-06-13,8430.0
2017-06-14,8330.0
2017-06-15,8345.0
2017-06-16,8320.0
2017-06-19,8290.0
2017-06-20,8265.0
2017-06-21,8280.0
2017-06-22,8205.0
2017-06-23,8235.0
2017-06-26,8275.0
2017-06-27,8335.0
2017-06-28,8185.0
2017-06-29,8190.0
2017-06-30,8245.0
2017-07-03,8240.0
2017-07-04,8240.0
2017-07-05,8285.0
2017-07-06,8165.0
2017-07-07,8015.0
2017-07-10,7990.0
2017-07-11,8135.0
2017-07-12,8065.0
2017-07-13,8205.0
2017-07-14,8130.0
2017-07-17,8180.0
2017-07-18,8240.0
2017-07-19,8285.0
2017-07-20,8205.0
2017-07-21,8195.0
2017-07-24,8210.0
2017-07-25,8160.0
2017-07-26,8145.0
2017-07-27,8175.0
2017-07-28,8035.0
2017-07-31,8115.0
2017-08-01,8150.0
2017-08-02,8190.0
2017-08-03,8090.0
2017-08-04,8215.0
2017-08-07,8210.0
2017-08-08,8165.0
2017-08-09,8045.0
2017-08-10,8070.0
2017-08-11,8035.0
2017-08-14,8070.0
2017-08-16,8060.0
2017-08-17,8110.0
2017-08-18,8095.0
2017-08-21,8210.0
2017-08-22,8320.0
2017-08-23,8330.0
2017-08-24,8355.0
2017-08-25,8315.0
2017-08-28,8325.0
2017-08-29,8250.0
2017-08-30,8515.0
2017-08-31,8465.0
2017-09-01,8440.0
2017-09-04,8325.0
2017-09-05,8400.0
2017-09-06,8350.0
2017-09-07,8370.0
2017-09-08,8340.0
2017-09-11,8470.0
2017-09-12,8480.0
2017-09-13,8700.0
2017-09-14,8715.0
2017-09-15,8730.0
2017-09-18,8705.0
2017-09-19,8600.0
2017-09-20,8420.0
2017-09-21,8400.0
2017-09-22,8190.0
2017-09-25,8200.0
2017-09-26,8150.0
2017-09-27,8150.0
2017-09-28,8180.0
2017-09-29,8320.0
2017-10-10,8280.0
2017-10-11,8320.0
2017-10-12,8235.0
2017-10-13,8240.0
2017-10-16,8270.0
2017-10-17,8275.0
2017-10-18,8360.0
2017-10-19,8505.0
2017-10-20,8520.0
2017-10-23,8600.0
2017-10-24,8530.0
2017-10-25,8520.0
2017-10-26,8535.0
2017-10-27,8635.0
2017-10-30,8640.0
2017-10-31,8580.0
2017-11-01,8650.0
2017-11-02,8725.0
2017-11-03,8670.0
2017-11-06,8660.0
2017-11-07,8680.0
2017-11-08,8660.0
2017-11-09,8805.0
2017-11-10,8750.0
2017-11-13,8525.0
2017-11-14,8455.0
2017-11-15,8450.0
2017-11-16,8565.0
2017-11-17,8615.0
2017-11-20,8620.0
2017-11-21,8735.0
2017-11-22,8815.0
2017-11-23,8860.0
2017-11-24,8865.0
2017-11-27,8770.0
2017-11-28,8800.0
2017-11-29,8775.0
2017-11-30,8790.0
2017-12-01,8735.0
2017-12-04,8825.0
2017-12-05,8815.0
2017-12-06,8725.0
2017-12-07,8700.0
2017-12-08,8610.0
2017-12-11,8660.0
2017-12-12,8575.0
2017-12-13,8660.0
2017-12-14,8685.0
2017-12-15,8825.0
2017-12-18,8785.0
2017-12-19,8745.0
2017-12-20,8755.0
2017-12-21,8660.0
2017-12-22,8720.0
2017-12-26,8720.0
2017-12-27,8905.0
2017-12-28,9000.0
2018-01-02,9070.0
2018-01-03,9135.0
2018-01-04,8955.0
2018-01-05,9010.0
2018-01-08,9080.0
2018-01-09,9245.0
2018-01-10,9240.0
2018-01-11,9305.0
2018-01-12,9215.0
2018-01-15,9280.0
2018-01-16,9380.0
2018-01-17,9345.0
2018-01-18,9265.0
2018-01-19,9315.0
2018-01-22,9295.0
2018-01-23,9450.0
2018-01-24,9460.0
2018-01-25,9505.0
2018-01-26,9410.0
2018-01-29,9530.0
2018-01-30,9425.0
2018-01-31,9360.0
2018-02-01,9280.0
2018-02-02,9105.0
2018-02-05,8890.0
2018-02-06,8755.0
2018-02-07,8575.0
2018-02-08,8660.0
2018-02-09,8530.0
2018-02-12,8515.0
2018-02-13,8585.0
2018-02-14,8580.0
2018-02-19,8740.0
2018-02-20,8725.0
2018-02-21,8680.0
2018-02-22,8610.0
2018-02-23,8705.0
2018-02-26,8780.0
2018-02-27,8765.0
2018-02-28,8650.0
2018-03-02,8530.0
2018-03-05,8520.0
2018-03-06,8550.0
2018-03-07,8520.0
2018-03-08,8520.0
2018-03-09,8730.0
2018-03-12,8835.0
2018-03-13,8850.0
2018-03-14,8810.0
2018-03-15,8820.0
2018-03-16,8810.0
2018-03-19,8775.0
2018-03-20,8690.0
2018-03-21,8730.0
2018-03-22,8715.0
2018-03-23,8410.0
2018-03-26,8485.0
2018-03-27,8565.0
2018-03-28,8430.0
2018-03-29,8445.0
2018-03-30,8500.0
2018-04-02,8465.0
2018-04-03,8420.0
2018-04-04,8245.0
2018-04-05,8290.0
2018-04-06,8300.0
2018-04-09,8410.0
2018-04-10,8360.0
2018-04-11,8325.0
2018-04-12,8380.0
2018-04-13,8300.0
2018-04-16,8250.0
2018-04-17,8345.0
2018-04-18,8440.0
2018-04-19,8440.0
2018-04-20,8450.0
2018-04-23,8375.0
2018-04-24,8345.0
2018-04-25,8140.0
2018-04-26,8120.0
2018-04-27,8065.0
2018-04-30,8175.0
2018-05-02,8115.0
2018-05-03,8155.0
2018-05-04,8075.0
2018-05-08,7885.0
2018-05-09,7910.0
2018-05-10,8010.0
2018-05-11,8100.0
2018-05-14,8240.0
2018-05-15,8175.0
2018-05-16,8100.0
2018-05-17,8135.0
2018-05-18,8130.0
2018-05-21,8110.0
2018-05-23,8120.0
2018-05-24,8085.0
2018-05-25,8060.0
2018-05-28,8115.0
2018-05-29,8110.0
2018-05-30,7920.0
2018-05-31,7940.0
2018-06-01,7935.0
2018-06-04,8120.0
2018-06-05,8155.0
2018-06-07,8165.0
2018-06-08,8205.0
2018-06-11,8240.0
2018-06-12,8320.0
2018-06-14,8270.0
2018-06-15,8155.0
2018-06-18,8000.0
2018-06-19,7800.0
2018-06-20,7850.0
2018-06-21,7710.0
2018-06-22,7615.0
2018-06-25,7755.0
2018-06-26,7660.0
2018-06-27,7590.0
2018-06-28,7480.0
2018-06-29,7580.0
2018-07-02,7355.0
2018-07-03,7300.0
2018-07-04,7320.0
