Date,TIGER 모멘텀
2018-01-15,26430.0
2018-01-16,26510.0
2018-01-17,26360.0
2018-01-18,26280.0
2018-01-19,26115.0
2018-01-22,26010.0
2018-01-23,26525.0
2018-01-24,26515.0
2018-01-25,26795.0
2018-01-26,27200.0
2018-01-29,27385.0
2018-01-30,27330.0
2018-01-31,27140.0
2018-02-01,26845.0
2018-02-02,26235.0
2018-02-05,25545.0
2018-02-06,25215.0
2018-02-07,24825.0
2018-02-08,25075.0
2018-02-09,24680.0
2018-02-12,25035.0
2018-02-13,24740.0
2018-02-14,24985.0
2018-02-19,25405.0
2018-02-20,25130.0
2018-02-21,25285.0
2018-02-22,25100.0
2018-02-23,25455.0
2018-02-26,25550.0
2018-02-27,25550.0
2018-02-28,24965.0
2018-03-02,24730.0
2018-03-05,24605.0
2018-03-06,25050.0
2018-03-07,24795.0
2018-03-08,24985.0
2018-03-09,25640.0
2018-03-12,26185.0
2018-03-13,26065.0
2018-03-14,26005.0
2018-03-15,26005.0
2018-03-16,25945.0
2018-03-19,25775.0
2018-03-20,25930.0
2018-03-21,25990.0
2018-03-22,26180.0
2018-03-23,25110.0
2018-03-26,25610.0
2018-03-27,25840.0
2018-03-28,25330.0
2018-03-29,25570.0
2018-03-30,25725.0
2018-04-02,25610.0
2018-04-03,25555.0
2018-04-04,25160.0
2018-04-05,25490.0
2018-04-06,25470.0
2018-04-09,25580.0
2018-04-10,25765.0
2018-04-11,25825.0
2018-04-12,25835.0
2018-04-13,26010.0
2018-04-16,26180.0
2018-04-17,26045.0
2018-04-18,26270.0
2018-04-19,26050.0
2018-04-20,26075.0
2018-04-23,25960.0
2018-04-24,25860.0
2018-04-25,25785.0
2018-04-26,25850.0
2018-04-27,25535.0
2018-04-30,25825.0
2018-05-02,26000.0
2018-05-03,25710.0
2018-05-04,25600.0
2018-05-08,25210.0
2018-05-09,25305.0
2018-05-10,25685.0
2018-05-11,26015.0
2018-05-14,26245.0
2018-05-15,26130.0
2018-05-16,26055.0
2018-05-17,25920.0
2018-05-18,26095.0
2018-05-21,26140.0
2018-05-23,26045.0
2018-05-24,26175.0
2018-05-25,25740.0
2018-05-28,26065.0
2018-05-29,25945.0
2018-05-30,25680.0
2018-05-31,25640.0
2018-06-01,25740.0
2018-06-04,25745.0
2018-06-05,25825.0
2018-06-07,26040.0
2018-06-08,25865.0
2018-06-11,26060.0
2018-06-12,26270.0
2018-06-14,26160.0
2018-06-15,25765.0
2018-06-18,24940.0
2018-06-19,24510.0
