Date,KODEX 구리선물(H)
2017-05-10,5350.0
2017-05-11,5365.0
2017-05-12,5370.0
2017-05-15,5425.0
2017-05-16,5395.0
2017-05-17,5450.0
2017-05-18,5405.0
2017-05-19,5430.0
2017-05-22,5510.0
2017-05-23,5505.0
2017-05-24,5490.0
2017-05-25,5515.0
2017-05-26,5560.0
2017-05-29,5460.0
2017-05-30,5470.0
2017-05-31,5475.0
2017-06-01,5475.0
2017-06-02,5495.0
2017-06-05,5490.0
2017-06-07,5435.0
2017-06-08,5450.0
2017-06-09,5545.0
2017-06-12,5610.0
2017-06-13,5595.0
2017-06-14,5555.0
2017-06-15,5530.0
2017-06-16,5480.0
2017-06-19,5520.0
2017-06-20,5520.0
2017-06-21,5465.0
2017-06-22,5525.0
2017-06-23,5555.0
2017-06-26,5610.0
2017-06-27,5600.0
2017-06-28,5640.0
2017-06-29,5750.0
2017-06-30,5750.0
2017-07-03,5750.0
2017-07-04,5655.0
2017-07-05,5710.0
2017-07-06,5640.0
2017-07-07,5660.0
2017-07-10,5605.0
2017-07-11,5640.0
2017-07-12,5725.0
2017-07-13,5720.0
2017-07-14,5670.0
2017-07-17,5770.0
2017-07-18,5790.0
2017-07-19,5800.0
2017-07-20,5750.0
2017-07-21,5800.0
2017-07-24,5795.0
2017-07-25,5865.0
2017-07-26,6100.0
2017-07-27,6110.0
2017-07-28,6035.0
2017-07-31,6160.0
2017-08-01,6100.0
2017-08-02,6085.0
2017-08-03,6135.0
2017-08-04,6135.0
2017-08-07,6120.0
2017-08-08,6180.0
2017-08-09,6240.0
2017-08-10,6210.0
2017-08-11,6120.0
2017-08-14,6180.0
2017-08-16,6125.0
2017-08-17,6285.0
2017-08-18,6265.0
2017-08-21,6290.0
2017-08-22,6320.0
2017-08-23,6290.0
2017-08-24,6355.0
2017-08-25,6460.0
2017-08-28,6500.0
2017-08-29,6495.0
2017-08-30,6545.0
2017-08-31,6505.0
2017-09-01,6545.0
2017-09-04,6635.0
2017-09-05,6680.0
2017-09-06,6645.0
2017-09-07,6570.0
2017-09-08,6550.0
2017-09-11,6400.0
2017-09-12,6440.0
2017-09-13,6345.0
2017-09-14,6235.0
2017-09-15,6235.0
