Date,TIGER 베타플러스
2018-07-06,13285.0
2018-07-09,13380.0
2018-07-10,13410.0
2018-07-11,13370.0
2018-07-12,13285.0
2018-07-13,13445.0
2018-07-16,13385.0
2018-07-17,13400.0
2018-07-18,13400.0
2018-07-19,13325.0
2018-07-20,13315.0
2018-07-23,13380.0
2018-07-24,13380.0
2018-07-25,13455.0
2018-07-26,13520.0
2018-07-27,13440.0
2018-07-30,13470.0
2018-07-31,13475.0
2018-08-01,13545.0
2018-08-02,13510.0
2018-08-03,13370.0
2018-08-06,13405.0
2018-08-07,13465.0
2018-08-08,13480.0
2018-08-09,13495.0
2018-08-10,13430.0
2018-08-13,13155.0
2018-08-14,13270.0
2018-08-16,13165.0
2018-08-17,13210.0
2018-08-20,13235.0
2018-08-21,13295.0
2018-08-22,13300.0
2018-08-23,13325.0
2018-08-24,13360.0
2018-08-27,13475.0
2018-08-28,13485.0
2018-08-29,13545.0
2018-08-30,13585.0
2018-08-31,13565.0
2018-09-03,13550.0
2018-09-04,13550.0
2018-09-05,13450.0
2018-09-06,13280.0
2018-09-07,13275.0
2018-09-10,13315.0
2018-09-11,13290.0
2018-09-12,13260.0
2018-09-13,13330.0
2018-09-14,13405.0
2018-09-17,13320.0
2018-09-18,13320.0
2018-09-19,13345.0
2018-09-20,13455.0
2018-09-21,13550.0
2018-09-27,13710.0
2018-09-28,13625.0
2018-10-01,13630.0
2018-10-02,13495.0
2018-10-04,13225.0
