Date,KODEX 국채선물10년
2017-11-27,64230.0
2017-11-28,64190.0
2017-11-29,64465.0
2017-11-30,64485.0
2017-12-01,64465.0
2017-12-04,64420.0
2017-12-05,64480.0
2017-12-06,64605.0
2017-12-07,64570.0
2017-12-08,64530.0
2017-12-11,64530.0
2017-12-12,64635.0
2017-12-13,64700.0
2017-12-14,64700.0
2017-12-15,64775.0
2017-12-18,64810.0
2017-12-19,64770.0
2017-12-20,64625.0
2017-12-21,64475.0
2017-12-22,64550.0
2017-12-26,64425.0
2017-12-27,64385.0
2017-12-28,64545.0
2018-01-02,64445.0
2018-01-03,64360.0
2018-01-04,64365.0
2018-01-05,64310.0
2018-01-08,64255.0
2018-01-09,64045.0
2018-01-10,63620.0
2018-01-11,63880.0
2018-01-12,63730.0
2018-01-15,63560.0
2018-01-16,63630.0
2018-01-17,63705.0
2018-01-18,63790.0
2018-01-19,63700.0
2018-01-22,63530.0
2018-01-23,63705.0
2018-01-24,63715.0
2018-01-25,63690.0
2018-01-26,63620.0
2018-01-29,63265.0
2018-01-30,62945.0
2018-01-31,63130.0
2018-02-01,63215.0
2018-02-02,63195.0
2018-02-05,63005.0
2018-02-06,63300.0
2018-02-07,63475.0
2018-02-08,63405.0
2018-02-09,63290.0
2018-02-12,63135.0
2018-02-13,63150.0
2018-02-14,63325.0
2018-02-19,63140.0
2018-02-20,63090.0
2018-02-21,63185.0
2018-02-22,63120.0
2018-02-23,63135.0
2018-02-26,63300.0
2018-02-27,63470.0
2018-02-28,63450.0
2018-03-02,63500.0
2018-03-05,63485.0
2018-03-06,63405.0
2018-03-07,63525.0
2018-03-08,63550.0
2018-03-09,63490.0
2018-03-12,63430.0
2018-03-13,63505.0
2018-03-14,63630.0
2018-03-15,63775.0
2018-03-16,63680.0
2018-03-19,63595.0
2018-03-20,63570.0
2018-03-21,63620.0
2018-03-22,63710.0
2018-03-23,64015.0
2018-03-26,63890.0
2018-03-27,63890.0
2018-03-28,64155.0
2018-03-29,64175.0
2018-03-30,64180.0
2018-04-02,64110.0
2018-04-03,64140.0
2018-04-04,64270.0
2018-04-05,64120.0
2018-04-06,64270.0
2018-04-09,64310.0
2018-04-10,64240.0
2018-04-11,64400.0
2018-04-12,64470.0
2018-04-13,64465.0
2018-04-16,64295.0
2018-04-17,64205.0
2018-04-18,64275.0
2018-04-19,64090.0
2018-04-20,63910.0
2018-04-23,63770.0
2018-04-24,63770.0
2018-04-25,63580.0
2018-04-26,63595.0
2018-04-27,63885.0
2018-04-30,63890.0
2018-05-02,63620.0
2018-05-03,63670.0
2018-05-04,63600.0
2018-05-08,63415.0
2018-05-09,63390.0
2018-05-10,63460.0
2018-05-11,63500.0
2018-05-14,63480.0
2018-05-15,63345.0
2018-05-16,63280.0
2018-05-17,63490.0
2018-05-18,63560.0
2018-05-21,63615.0
2018-05-23,63695.0
2018-05-24,63920.0
2018-05-25,63955.0
2018-05-28,63905.0
2018-05-29,63980.0
2018-05-30,64000.0
2018-05-31,64105.0
2018-06-01,64030.0
2018-06-04,63870.0
2018-06-05,63850.0
2018-06-07,63790.0
2018-06-08,63940.0
2018-06-11,63870.0
2018-06-12,63950.0
2018-06-14,63985.0
2018-06-15,64075.0
2018-06-18,64265.0
2018-06-19,64470.0
2018-06-20,64450.0
2018-06-21,64590.0
2018-06-22,64590.0
2018-06-25,64600.0
2018-06-26,64540.0
2018-06-27,64690.0
2018-06-28,64905.0
2018-06-29,64755.0
2018-07-02,64965.0
2018-07-03,64790.0
2018-07-04,64885.0
2018-07-05,64915.0
2018-07-06,64920.0
2018-07-09,64880.0
2018-07-10,64940.0
2018-07-11,65095.0
2018-07-12,65025.0
2018-07-13,64950.0
2018-07-16,64925.0
2018-07-17,64995.0
2018-07-18,65050.0
2018-07-19,65020.0
2018-07-20,65110.0
2018-07-23,65045.0
2018-07-24,64875.0
2018-07-25,65015.0
2018-07-26,64975.0
2018-07-27,64965.0
2018-07-30,64855.0
2018-07-31,64975.0
2018-08-01,64760.0
2018-08-02,64880.0
2018-08-03,64805.0
2018-08-06,64910.0
2018-08-07,65010.0
2018-08-08,64940.0
2018-08-09,65170.0
2018-08-10,65290.0
2018-08-13,65310.0
2018-08-14,65330.0
2018-08-16,65405.0
2018-08-17,65605.0
2018-08-20,65710.0
2018-08-21,65960.0
2018-08-22,65935.0
2018-08-23,65835.0
2018-08-24,65895.0
2018-08-27,66015.0
