Date,TIGER 200
2016-11-04,25245.0
2016-11-07,25475.0
2016-11-08,25525.0
2016-11-09,24980.0
2016-11-10,25475.0
2016-11-11,25220.0
2016-11-14,25035.0
2016-11-15,24940.0
2016-11-16,25025.0
2016-11-17,25010.0
2016-11-18,25010.0
2016-11-21,24940.0
2016-11-22,25235.0
2016-11-23,25330.0
2016-11-24,25195.0
2016-11-25,25220.0
2016-11-28,25315.0
2016-11-29,25290.0
2016-11-30,25425.0
2016-12-01,25445.0
2016-12-02,25270.0
2016-12-05,25240.0
2016-12-06,25520.0
2016-12-07,25590.0
2016-12-08,26000.0
2016-12-09,26085.0
2016-12-12,26040.0
2016-12-13,26090.0
2016-12-14,26145.0
2016-12-15,26100.0
2016-12-16,26160.0
2016-12-19,26160.0
2016-12-20,26220.0
2016-12-21,26210.0
2016-12-22,26210.0
2016-12-23,26180.0
2016-12-26,26200.0
2016-12-27,26230.0
2016-12-28,26345.0
2016-12-29,26340.0
2017-01-02,26450.0
2017-01-03,26660.0
2017-01-04,26665.0
2017-01-05,26550.0
2017-01-06,26685.0
2017-01-09,26755.0
2017-01-10,26700.0
2017-01-11,27185.0
2017-01-12,27260.0
2017-01-13,27190.0
2017-01-16,27025.0
2017-01-17,27130.0
2017-01-18,27125.0
2017-01-19,27165.0
2017-01-20,27090.0
2017-01-23,27080.0
2017-01-24,27095.0
2017-01-25,27205.0
2017-01-26,27395.0
2017-01-31,27225.0
2017-02-01,27340.0
2017-02-02,27220.0
2017-02-03,27255.0
2017-02-06,27310.0
2017-02-07,27255.0
2017-02-08,27150.0
2017-02-09,27180.0
2017-02-10,27230.0
2017-02-13,27235.0
2017-02-14,27190.0
2017-02-15,27270.0
2017-02-16,27260.0
2017-02-17,27240.0
2017-02-20,27330.0
2017-02-21,27595.0
2017-02-22,27650.0
2017-02-23,27640.0
2017-02-24,27435.0
2017-02-27,27320.0
2017-02-28,27370.0
2017-03-02,27635.0
2017-03-03,27365.0
2017-03-06,27390.0
2017-03-07,27555.0
2017-03-08,27595.0
2017-03-09,27530.0
2017-03-10,27575.0
2017-03-13,27885.0
2017-03-14,28145.0
2017-03-15,28175.0
2017-03-16,28375.0
2017-03-17,28505.0
2017-03-20,28460.0
2017-03-21,28740.0
2017-03-22,28630.0
2017-03-23,28665.0
2017-03-24,28620.0
2017-03-27,28435.0
2017-03-28,28510.0
2017-03-29,28590.0
2017-03-30,28575.0
2017-03-31,28525.0
2017-04-03,28575.0
2017-04-04,28505.0
2017-04-05,28465.0
2017-04-06,28355.0
2017-04-07,28315.0
2017-04-10,28145.0
2017-04-11,28035.0
2017-04-12,28045.0
2017-04-13,28310.0
2017-04-14,28190.0
2017-04-17,28255.0
2017-04-18,28240.0
2017-04-19,28115.0
2017-04-20,28225.0
2017-04-21,28470.0
2017-04-24,28600.0
2017-04-25,28905.0
2017-04-26,29065.0
2017-04-27,28690.0
2017-04-28,28725.0
2017-05-02,28960.0
2017-05-04,29255.0
2017-05-08,30010.0
2017-05-10,29685.0
2017-05-11,30010.0
2017-05-12,29885.0
2017-05-15,29980.0
2017-05-16,30015.0
2017-05-17,30005.0
2017-05-18,29940.0
2017-05-19,29885.0
2017-05-22,30125.0
2017-05-23,30220.0
2017-05-24,30260.0
2017-05-25,30590.0
2017-05-26,30775.0
2017-05-29,30750.0
2017-05-30,30545.0
2017-05-31,30545.0
2017-06-01,30480.0
2017-06-02,30860.0
2017-06-05,30825.0
2017-06-07,30635.0
2017-06-08,30775.0
2017-06-09,31015.0
2017-06-12,30705.0
2017-06-13,30885.0
2017-06-14,30870.0
2017-06-15,30740.0
2017-06-16,30755.0
2017-06-19,30925.0
2017-06-20,31005.0
2017-06-21,30815.0
2017-06-22,31025.0
2017-06-23,31095.0
2017-06-26,31265.0
2017-06-27,31285.0
2017-06-28,31190.0
2017-06-29,31390.0
2017-06-30,31305.0
2017-07-03,31360.0
2017-07-04,31180.0
2017-07-05,31290.0
2017-07-06,31310.0
2017-07-07,31175.0
2017-07-10,31260.0
2017-07-11,31475.0
2017-07-12,31470.0
2017-07-13,31820.0
2017-07-14,31835.0
2017-07-17,31960.0
2017-07-18,31980.0
2017-07-19,32005.0
2017-07-20,32165.0
2017-07-21,32290.0
2017-07-24,32295.0
2017-07-25,32150.0
2017-07-26,32070.0
2017-07-27,32155.0
2017-07-28,31480.0
2017-07-31,31490.0
2017-08-01,31770.0
2017-08-02,31835.0
2017-08-03,31290.0
2017-08-04,31430.0
2017-08-07,31460.0
2017-08-08,31390.0
2017-08-09,31020.0
2017-08-10,30855.0
2017-08-11,30315.0
2017-08-14,30565.0
2017-08-16,30770.0
2017-08-17,30960.0
2017-08-18,30910.0
2017-08-21,30880.0
2017-08-22,31000.0
2017-08-23,31025.0
2017-08-24,31145.0
2017-08-25,31175.0
2017-08-28,31000.0
2017-08-29,30915.0
2017-08-30,31030.0
2017-08-31,30840.0
2017-09-01,30825.0
2017-09-04,30500.0
2017-09-05,30470.0
2017-09-06,30400.0
2017-09-07,30775.0
2017-09-08,30795.0
2017-09-11,31095.0
2017-09-12,31095.0
2017-09-13,31070.0
2017-09-14,31405.0
2017-09-15,31415.0
2017-09-18,31940.0
2017-09-19,31885.0
2017-09-20,31885.0
2017-09-21,31910.0
2017-09-22,31710.0
2017-09-25,31680.0
2017-09-26,31515.0
2017-09-27,31440.0
2017-09-28,31495.0
2017-09-29,31740.0
2017-10-10,32300.0
2017-10-11,32625.0
2017-10-12,32840.0
2017-10-13,32820.0
2017-10-16,32860.0
2017-10-17,32930.0
2017-10-18,32910.0
2017-10-19,32750.0
2017-10-20,32955.0
2017-10-23,33050.0
2017-10-24,33000.0
2017-10-25,33035.0
2017-10-26,32790.0
2017-10-27,33010.0
2017-10-30,33075.0
2017-10-31,33430.0
2017-11-01,33930.0
2017-11-02,33845.0
2017-11-03,33930.0
2017-11-06,33780.0
2017-11-07,33725.0
2017-11-08,33865.0
2017-11-09,33770.0
2017-11-10,33660.0
2017-11-13,33490.0
2017-11-14,33460.0
2017-11-15,33270.0
2017-11-16,33485.0
2017-11-17,33475.0
2017-11-20,33320.0
2017-11-21,33395.0
2017-11-22,33600.0
2017-11-23,33545.0
2017-11-24,33600.0
2017-11-27,33040.0
