Date,close,adj_close
2008.9.25,567000,11340
2008.9.26,553000,11060
2008.9.29,544000,10880
2008.9.30,539000,10780
2008.10.1,533000,10660
2008.10.2,528000,10560
2008.10.6,517000,10340
2008.10.7,531000,10620
2008.10.8,528000,10560
2008.10.9,541000,10820
2008.10.10,521000,10420
2008.10.13,524000,10480
2008.10.14,560000,11200
2008.10.15,547000,10940
2008.10.16,504000,10080
2008.10.17,505000,10100
2008.10.20,521000,10420
2008.10.21,519000,10380
2008.10.22,508000,10160
2008.10.23,472500,9450
2008.10.24,407500,8150
2008.10.27,438000,8760
2008.10.28,463500,9270
2008.10.29,475000,9500
2008.10.30,537000,10740
2008.10.31,535000,10700
2008.11.3,516000,10320
2008.11.4,514000,10280
2008.11.5,515000,10300
2008.11.6,491500,9830
2008.11.7,489500,9790
2008.11.10,474500,9490
2008.11.11,470500,9410
2008.11.12,480500,9610
2008.11.13,474000,9480
2008.11.14,465000,9300
2008.11.17,450500,9010
2008.11.18,435000,8700
2008.11.19,438000,8760
2008.11.20,423000,8460
2008.11.21,442000,8840
2008.11.24,440000,8800
2008.11.25,451500,9030
2008.11.26,473000,9460
2008.11.27,485000,9700
2008.11.28,486000,9720
2008.12.1,476500,9530
2008.12.2,454000,9080
2008.12.3,441000,8820
2008.12.4,430500,8610
2008.12.5,427000,8540
2008.12.8,464000,9280
2008.12.9,469500,9390
2008.12.10,481000,9620
2008.12.11,482500,9650
2008.12.12,465000,9300
2008.12.15,472000,9440
2008.12.16,457000,9140
2008.12.17,459500,9190
2008.12.18,468000,9360
2008.12.19,489500,9790
2008.12.22,486000,9720
2008.12.23,456500,9130
2008.12.24,460000,9200
2008.12.26,456000,9120
2008.12.29,454000,9080
2008.12.30,451000,9020
2009.1.2,470000,9400
2009.1.5,476000,9520
2009.1.6,498000,9960
2009.1.7,524000,10480
2009.1.8,508000,10160
2009.1.9,493000,9860
2009.1.12,489500,9790
2009.1.13,491500,9830
2009.1.14,489500,9790
2009.1.15,459500,9190
2009.1.16,469000,9380
2009.1.19,475000,9500
2009.1.20,464000,9280
2009.1.21,448500,8970
2009.1.22,461000,9220
2009.1.23,442000,8840
2009.1.28,488500,9770
2009.1.29,498500,9970
2009.1.30,488000,9760
2009.2.2,473500,9470
2009.2.3,490000,9800
2009.2.4,518000,10360
2009.2.5,521000,10420
2009.2.6,545000,10900
2009.2.9,527000,10540
2009.2.10,520000,10400
2009.2.11,513000,10260
2009.2.12,520000,10400
2009.2.13,511000,10220
2009.2.16,504000,10080
2009.2.17,490500,9810
2009.2.18,478000,9560
2009.2.19,480500,9610
2009.2.20,467500,9350
2009.2.23,485000,9700
2009.2.24,467500,9350
2009.2.25,478000,9560
2009.2.26,477000,9540
2009.2.27,477000,9540
2009.3.2,462000,9240
2009.3.3,475500,9510
2009.3.4,489000,9780
2009.3.5,503000,10060
2009.3.6,503000,10060
2009.3.9,515000,10300
2009.3.10,504000,10080
2009.3.11,525000,10500
2009.3.12,536000,10720
2009.3.13,528000,10560
2009.3.16,523000,10460
2009.3.17,534000,10680
2009.3.18,540000,10800
2009.3.19,541000,10820
2009.3.20,542000,10840
2009.3.23,549000,10980
2009.3.24,559000,11180
2009.3.25,556000,11120
2009.3.26,570000,11400
2009.3.27,584000,11680
2009.3.30,567000,11340
2009.3.31,568000,11360
2009.4.1,570000,11400
2009.4.2,591000,11820
2009.4.3,593000,11860
2009.4.6,594000,11880
2009.4.7,584000,11680
2009.4.8,557000,11140
2009.4.9,580000,11600
2009.4.10,603000,12060
2009.4.13,583000,11660
2009.4.14,575000,11500
2009.4.15,585000,11700
2009.4.16,581000,11620
2009.4.17,597000,11940
2009.4.20,592000,11840
2009.4.21,591000,11820
2009.4.22,609000,12180
2009.4.23,627000,12540
2009.4.24,592000,11840
2009.4.27,585000,11700
2009.4.28,575000,11500
2009.4.29,586000,11720
2009.4.30,592000,11840
2009.5.4,582000,11640
2009.5.6,565000,11300
2009.5.7,566000,11320
2009.5.8,569000,11380
2009.5.11,563000,11260
2009.5.12,561000,11220
2009.5.13,560000,11200
2009.5.14,552000,11040
2009.5.15,555000,11100
2009.5.18,556000,11120
2009.5.19,570000,11400
2009.5.20,576000,11520
2009.5.21,563000,11260
2009.5.22,550000,11000
2009.5.25,545000,10900
2009.5.26,538000,10760
2009.5.27,535000,10700
2009.5.28,559000,11180
2009.5.29,558000,11160
2009.6.1,558000,11160
2009.6.2,556000,11120
2009.6.3,552000,11040
2009.6.4,555000,11100
2009.6.5,569000,11380
2009.6.8,575000,11500
2009.6.9,565000,11300
2009.6.10,587000,11740
2009.6.11,585000,11700
2009.6.12,584000,11680
2009.6.15,579000,11580
2009.6.16,565000,11300
2009.6.17,575000,11500
2009.6.18,565000,11300
2009.6.19,562000,11240
2009.6.22,575000,11500
2009.6.23,575000,11500
2009.6.24,580000,11600
