Date,Mkt,SMB,HML,Rf
1989.2.3,0.008114502,0.004460237,-0.003010813,0.000385498
1989.2.4,0.001794552,0.005866911,0.002325303,0.000305448
1989.2.8,0.004375072,0.006774677,0.001158082,0.000424928
1989.2.9,0.000567945,0.001315384,0.003555356,0.000432055
1989.2.10,-0.011146272,-0.001307934,-0.003247948,0.000446272
1989.2.11,0.004353728,0.001546235,-0.005776535,0.000446272
1989.2.13,0.010953728,-0.001507585,-0.004210379,0.000446272
1989.2.14,0.002214892,0.002385781,-0.000989833,0.000485108
1989.2.15,-0.007021359,0.007263305,0.00410209,0.000421359
1989.2.16,0.001232498,0.006727075,-0.000788965,0.000467502
1989.2.17,0.004814892,0.003496,0.006554559,0.000485108
1989.2.18,0.008914892,0.002009066,0.004078274,0.000485108
1989.2.20,0.006114892,-0.005138609,-0.003244528,0.000485108
1989.2.21,0.002614892,-0.003458406,-0.007652077,0.000485108
1989.2.22,0.006736028,-0.001858701,-0.001984588,0.000463972
1989.2.23,-0.000427048,0.003786472,0.002029055,0.000527048
1989.2.24,-0.008485108,0.005158979,0.006107462,0.000485108
1989.2.25,0.001246639,0.00010503,-0.001701853,0.000453361
1989.2.27,0.003714892,-0.004225286,-0.001895652,0.000485108
1989.2.28,-0.005381593,0.002440398,-0.001278076,0.000481593
1989.3.2,-0.002192129,0.006202952,-0.002058824,0.000492129
1989.3.3,-0.007685108,0.010464035,0.002349282,0.000485108
1989.3.4,0.003814892,-0.002421663,-0.001056194,0.000485108
1989.3.6,0.008214892,-0.005873899,0.003140582,0.000485108
1989.3.7,0.001314892,-0.002619596,0.002568906,0.000485108
1989.3.8,0.017104365,-0.013878939,0.005262658,0.000495635
1989.3.9,0.011614892,0.000175426,-0.000573042,0.000485108
1989.3.11,0.012379911,0.001206548,0.003999855,0.000520089
1989.3.13,0.008614892,0.010831627,0.000632962,0.000485108
1989.3.14,-0.001681593,0.010310027,0.000519536,0.000481593
1989.3.15,0.015204365,0.010564609,0.002173102,0.000495635
1989.3.16,-0.000385108,0.007297429,0.000240809,0.000485108
1989.3.17,-0.000885108,-0.001370261,0.002957693,0.000485108
1989.3.18,-0.004820089,-0.0052867,-0.001430607,0.000520089
1989.3.20,0.009879911,-0.003903375,-0.006728892,0.000520089
1989.3.21,0.000514892,-0.002045796,-0.00342588,0.000485108
1989.3.22,-0.011409121,0.004221672,-0.00080008,0.000309121
1989.3.23,0.001514892,0.000261931,0.000199005,0.000485108
1989.3.24,-0.012785108,0.009436207,0.002594778,0.000485108
1989.3.25,0.007379911,-4.91E-05,-0.000856333,0.000520089
1989.3.27,-0.006685108,0.00995788,0.000641064,0.000485108
1989.3.28,0.005114892,0.008543135,-0.002910107,0.000485108
1989.3.29,0.006314892,0.004656504,0.003470341,0.000485108
1989.3.30,0.001814892,0.014141768,0.029464645,0.000485108
1989.3.31,0.015614892,0.001315702,-0.000314032,0.000485108
1989.4.1,0.003914892,0.000163125,-0.001606991,0.000485108
1989.4.3,-0.002106133,-0.000958799,-0.001234782,0.000506133
1989.4.4,-0.005585108,0.013667386,0.0016539,0.000485108
1989.4.6,-0.018785108,0.012565273,0.004482351,0.000485108
1989.4.7,-0.005085108,0.017124772,0.004805622,0.000485108
1989.4.8,0.004114892,0.006398634,-0.000378706,0.000485108
1989.4.10,-0.020085108,0.006731443,0.001259418,0.000485108
1989.4.11,-0.008685108,0.010579799,0.002440391,0.000485108
1989.4.12,-0.029285108,0.006741344,0.00456966,0.000485108
1989.4.13,0.024814892,-0.003432225,-0.00909103,0.000485108
1989.4.14,-0.007685108,-0.000418422,-0.003351076,0.000485108
1989.4.15,0.005614892,-0.001929235,-0.000595846,0.000485108
1989.4.17,0.012514892,-0.011537164,-0.005126826,0.000485108
1989.4.18,-0.003285108,0.002532801,-0.000962698,0.000485108
1989.4.19,-0.002285108,0.004067948,-0.000309084,0.000485108
1989.4.20,-0.004985108,0.002454488,-0.001843324,0.000485108
1989.4.21,-0.006985108,0.00296986,-0.002978803,0.000485108
1989.4.22,-0.006685108,0.0021294,0.001447916,0.000485108
1989.4.24,0.007214892,-0.020159416,-0.003738469,0.000485108
1989.4.25,-0.006085108,0.001858875,-0.003521508,0.000485108
1989.4.26,-0.010085108,-0.003251202,-3.33E-05,0.000485108
1989.4.27,0.004314892,-0.008295763,-0.002231732,0.000485108
1989.4.28,-0.004485108,-0.001310954,-0.001355473,0.000485108
1989.4.29,0.004914892,-0.005526781,-0.004881111,0.000485108
1989.5.1,0.005514892,-0.000744194,-0.008320297,0.000485108
1989.5.2,-0.005885108,-0.001420421,-0.001181568,0.000485108
1989.5.3,-0.008385108,-0.000691452,0.002323653,0.000485108
1989.5.4,0.008214892,-0.006746025,-0.005733216,0.000485108
1989.5.6,0.007114892,0.001445939,-0.000296947,0.000485108
1989.5.8,-0.005185108,0.002967199,0.001963197,0.000485108
1989.5.9,0.005514892,0.000612641,-0.000493183,0.000485108
1989.5.10,0.000514892,0.003546918,0.001466425,0.000485108
1989.5.11,-0.005985108,0.004018839,0.001473983,0.000485108
1989.5.13,-0.006985108,-0.000596385,0.002744647,0.000485108
1989.5.15,-0.013885108,0.006016524,0.007223805,0.000485108
1989.5.16,-0.002285108,0.001821758,-0.000563365,0.000485108
1989.5.17,0.002714892,-0.002530812,0.0015577,0.000485108
1989.5.18,-0.002085108,-0.004928357,0.004239688,0.000485108
1989.5.19,0.006814892,-0.00159742,-0.000109092,0.000485108
1989.5.20,0.003014892,0.000772405,0.003510818,0.000485108
1989.5.22,-0.007716459,0.002874282,0.006487681,0.000316459
1989.5.23,-0.006285108,0.001746157,0.000853429,0.000485108
1989.5.24,0.010762536,-0.006286516,-0.006329983,0.000537464
1989.5.25,-0.005609627,0.00017718,0.001394164,0.000509627
1989.5.26,0.005204365,-0.005622836,-0.0029552,0.000495635
1989.5.27,0.002204365,-0.002441925,-0.002382391,0.000495635
1989.5.29,-0.001385108,-0.0004322,0.000712702,0.000485108
1989.5.30,0.000414892,-0.007350866,-0.008212558,0.000485108
1989.5.31,-0.006285108,-0.00020159,0.002696298,0.000485108
1989.6.1,-0.000785108,-0.003048251,-0.001595661,0.000485108
1989.6.2,-0.008485108,-0.001576031,0.002823965,0.000485108
1989.6.3,-0.004685108,0.00471081,-0.0001681,0.000485108
1989.6.5,-0.021885108,-0.001257434,0.007065166,0.000485108
1989.6.7,-0.028568523,-0.000500984,0.002792165,0.000268523
1989.6.8,0.024514892,-0.005889548,-0.004166531,0.000485108
1989.6.9,0.007114892,0.011787838,0.001320698,0.000485108
1989.6.10,0.006614892,0.010738062,0.001085204,0.000485108
1989.6.12,0.009814892,0.009299092,-0.001016639,0.000485108
1989.6.13,-0.000985108,-0.006878125,-0.002104435,0.000485108
1989.6.14,0.010714892,0.004084509,-0.001773868,0.000485108
1989.6.15,-0.001085108,0.005902865,-0.002050296,0.000485108
1989.6.16,-0.017185108,0.008630065,0.006312196,0.000485108
1989.6.17,-0.004885108,0.003402261,0.000830716,0.000485108
1989.6.19,-0.016485108,0.003267168,0.0070817,0.000485108
1989.6.20,0.012414892,-0.001411037,-0.003885483,0.000485108
1989.6.21,-0.004585108,0.004150673,0.000447733,0.000485108
1989.6.22,-0.009963825,0.001446123,0.0054976,0.000363825
1989.6.23,-0.008085108,0.005210786,0.003649207,0.000485108
1989.6.24,-0.000885108,-0.003371516,-1.58E-05,0.000485108
1989.6.26,-0.006085108,-0.000820465,0.002081858,0.000485108
1989.6.27,-0.004085108,-0.002333907,0.002947355,0.000485108
